Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
0.4,421080,361080,361080,361080,20,24,24,24,41992,41992,41992,41992,0.99525
0.5,300000,360000,360000,240000,40,36,36,44,65535,65535,65535,65535,0.975664
0.6,360000,285000,240000,360000,36,41,42,36,65535,65535,65535,65535,0.973573
0.7,300000,345000,300000,300000,37,39,45,38,66983,66983,66983,65535,0.996096
0.8,255000,270000,360000,360000,44,41,37,37,66983,66983,66983,66983,0.975779
0.9,300000,315000,315000,315000,47,47,38,32,68431,68431,66983,66983,0.999565
1,360000,360000,300000,240000,39,39,43,36,68431,68431,68431,55610,0.975664
1.1,345000,345000,315000,240000,41,30,37,31,60473,61858,68431,46524,0.981339
1.2,360000,240000,330000,315000,26,32,31,24,53486,46879,59974,42006,0.980222
1.3,255000,330000,405000,255000,29,22,19,15,44095,36029,48496,35761,0.961614
1.4,435000,315000,285000,225000,14,12,21,14,34409,28210,35364,27093,0.944325
1.5,285000,300000,375000,285000,15,13,16,14,31051,29658,29639,28541,0.985833
1.6,315000,285000,360000,285000,15,15,13,18,32499,31106,31087,29989,0.990368
1.7,315000,315000,300000,315000,17,15,14,18,33947,32554,32535,31437,0.999565
1.8,345000,315000,270000,315000,17,17,19,18,35395,34002,33983,32885,0.992651
1.9,345000,285000,285000,345000,19,16,23,14,36843,34002,35431,34333,0.991011
2,285000,315000,345000,300000,16,18,25,17,36843,35450,36879,35781,0.994945
2.1,345000,270000,375000,255000,14,25,19,21,38291,36898,38327,37229,0.974675
2.2,210000,375000,315000,345000,27,17,21,19,39739,38346,39775,38677,0.961614
2.3,405000,255000,315000,285000,21,23,25,16,41187,39794,41223,38677,0.969231
2.4,315000,345000,345000,240000,27,21,14,27,42635,41242,41223,40125,0.981339
2.5,315000,315000,210000,405000,24,18,29,19,42635,41242,42671,41573,0.953099
2.6,270000,270000,435000,270000,25,23,21,26,44083,42690,44119,43021,0.949945
2.7,375000,285000,255000,330000,25,27,31,16,45531,44138,45567,43021,0.979107
2.8,375000,405000,240000,240000,20,25,27,29,45531,45586,45567,44469,0.945338
2.9,300000,225000,405000,315000,19,28,27,29,46979,45586,47015,45917,0.959471
3,255000,300000,345000,345000,27,27,29,24,48427,47034,48463,45917,0.985833
3.1,405000,405000,195000,240000,24,24,28,31,48427,47034,48463,47365,0.914631
3.2,300000,195000,420000,345000,19,32,29,31,49875,48482,49911,48813,0.937301
3.3,255000,300000,315000,375000,31,33,35,16,51323,49930,51359,48813,0.981339
3.4,465000,360000,180000,240000,20,33,35,27,51323,49930,51359,50261,0.889133
3.5,120000,315000,465000,345000,33,27,31,29,52771,51378,52807,51709,0.863283
3.6,405000,345000,345000,150000,37,35,16,35,54219,52826,52807,51709,0.912692
3.7,300000,315000,240000,405000,27,26,37,33,54219,52826,54255,53157,0.966046
3.8,315000,210000,330000,390000,33,37,37,19,55667,54274,54255,53157,0.958403
3.9,405000,360000,225000,255000,26,35,37,29,55667,54274,55703,54605,0.946811
4,180000,255000,435000,375000,37,33,30,30,57115,55722,55703,54605,0.906925
4.1,495000,465000,120000,180000,28,26,39,37,57115,55722,57151,56053,0.781222
4.2,105000,210000,525000,405000,38,31,35,30,58563,57170,58599,56053,0.783197
4.3,465000,405000,225000,150000,39,28,28,39,58563,57170,58599,57501,0.854715
4.4,180000,180000,420000,465000,36,35,33,35,60011,58618,60047,58949,0.847147
4.5,405000,405000,315000,120000,41,41,20,39,60011,60066,60047,58949,0.877356
4.6,315000,180000,300000,465000,29,41,37,37,61459,60066,61495,60397,0.906475
4.7,300000,435000,330000,180000,41,41,25,37,61459,61514,61495,60397,0.921482
4.8,345000,180000,285000,435000,29,41,39,39,62907,61514,62551,61845,0.918533
4.9,270000,435000,345000,195000,43,41,27,36,62907,61514,61918,61845,0.92445
5,360000,180000,300000,420000,30,42,36,39,64355,62962,58652,63293,0.926471
5.1,285000,435000,270000,255000,44,43,28,34,64355,62962,58652,63293,0.948898
5.2,330000,195000,330000,390000,33,44,34,35,65803,64410,60100,59407,0.949945
5.3,330000,450000,255000,210000,44,45,26,34,65803,66258,61877,59407,0.921482
5.4,285000,210000,360000,390000,37,44,33,35,67596,65802,60639,59407,0.952045
5.5,375000,465000,240000,180000,42,39,20,38,62022,62204,56372,60855,0.888218
5.6,300000,195000,300000,450000,31,38,29,35,59929,58737,53145,62825,0.921482
5.7,330000,435000,240000,240000,39,40,21,31,59929,58737,53145,57452,0.937534
5.8,360000,225000,285000,375000,29,33,30,35,59929,58737,50072,54296,0.963766
5.9,375000,375000,210000,300000,27,37,32,26,56707,55722,50072,54296,0.95558
6,375000,285000,270000,315000,26,34,34,28,56707,55722,51520,51262,0.983581
6.1,180000,270000,435000,360000,40,39,21,26,58155,57170,51520,51262,0.91366
6.2,435000,585000,75000,150000,37,20,35,35,58155,57170,52968,52710,0.692501
6.3,195000,120000,495000,435000,39,31,35,28,59603,58618,54416,52710,0.796232
6.4,390000,465000,240000,165000,41,38,23,32,59603,58618,54416,54158,0.875869
6.5,390000,120000,345000,390000,28,41,30,33,61051,60066,51812,55606,0.885476
6.6,240000,495000,180000,330000,40,41,30,21,61051,61514,51812,55606,0.872909
6.7,390000,300000,330000,225000,35,29,35,39,62499,61514,53260,57054,0.964846
6.8,435000,315000,180000,330000,28,43,35,33,62499,62962,53260,57054,0.92356
6.9,255000,300000,345000,345000,41,31,37,33,63947,62962,54708,58502,0.985833
7,405000,345000,255000,240000,28,44,32,39,63947,64410,54708,58502,0.955214
7.1,300000,300000,300000,345000,37,34,37,35,63097,64410,56156,59950,0.996096
7.2,375000,360000,270000,240000,28,45,31,39,63097,65858,56156,57659,0.967013
7.3,300000,300000,285000,375000,35,37,39,32,63097,65858,57604,57659,0.987682
7.4,330000,375000,330000,210000,31,43,29,37,63097,63781,57604,56472,0.962689
7.5,330000,300000,255000,360000,35,37,37,32,64545,63781,55658,55547,0.984706
7.6,285000,345000,420000,195000,39,41,21,38,62509,61849,55658,55547,0.934482
7.7,435000,315000,135000,375000,30,38,38,31,62509,61849,57106,53595,0.887324
7.8,210000,300000,510000,225000,39,41,19,34,60524,60012,55253,53595,0.871143
7.9,390000,495000,60000,300000,31,29,38,34,60524,60012,55253,51818,0.789661
8,195000,150000,510000,390000,40,38,29,23,58678,60012,53391,51818,0.819729
8.1,390000,570000,165000,120000,39,29,28,36,58678,61460,53391,53266,0.74718
8.2,255000,135000,390000,480000,36,32,34,27,58678,61460,53391,51523,0.852174
8.3,330000,480000,180000,255000,40,43,29,22,60126,62908,54839,51523,0.8873
8.4,405000,165000,405000,270000,27,43,32,29,60126,64356,54839,49957,0.905018
8.5,375000,480000,150000,240000,29,43,37,25,61574,64356,56287,49957,0.858978
8.6,315000,285000,405000,255000,30,37,35,35,61574,65804,56287,51405,0.969231
8.7,330000,360000,315000,240000,32,45,27,35,61386,65804,57735,51405,0.980222
8.8,315000,390000,255000,285000,33,32,39,35,61386,67252,59183,52853,0.974675
8.9,315000,285000,405000,240000,38,46,22,35,61386,67252,59183,52853,0.963766
9,300000,420000,180000,345000,39,31,41,33,59942,68700,60631,54301,0.927437
9.1,300000,270000,510000,180000,41,47,19,36,59942,68700,60631,52898,0.871542
9.2,360000,435000,105000,345000,38,31,40,33,61390,70148,60631,52898,0.863283
9.3,255000,270000,510000,210000,41,47,21,34,61390,70148,62079,52898,0.876463
9.4,390000,450000,90000,315000,37,35,40,33,62838,71596,60731,51608,0.838894
9.5,225000,255000,510000,270000,42,48,24,29,61578,70395,60731,51608,0.884654
