Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
11,900000,345000,165,106,126928,150365,0.834221
11.1,840000,405000,188,113,126928,153261,0.891203
11.2,870000,375000,191,130,126928,153261,0.8635
11.3,795000,450000,195,133,126928,150365,0.928687
11.4,735000,525000,193,124,126928,150365,0.972973
11.5,780000,465000,192,127,126928,150365,0.939836
11.6,780000,465000,194,130,126928,150365,0.939836
11.7,765000,480000,193,132,126928,149933,0.950207
11.8,765000,495000,193,133,126928,149933,0.956098
11.9,750000,495000,193,133,126928,149933,0.959738
12,735000,510000,193,136,126928,149933,0.968372
12.1,750000,495000,193,137,126928,149933,0.959738
12.2,735000,516160,196,134,129824,149933,0.970315
12.3,750000,493560,194,140,126928,152829,0.95921
12.4,750000,510360,193,148,126928,152829,0.96511
12.5,735000,501920,193,139,126928,149933,0.96571
12.6,720000,532200,177,120,97217,150285,0.978002
12.7,770000,478400,126,113,100113,110096,0.948264
12.8,570000,655920,141,69,95280,151045,0.995112
12.9,870000,105000,143,94,99050,102803,0.618957
13,795000,450000,150,98,99050,125563,0.928687
13.1,810000,435000,164,102,98602,151045,0.916822
13.2,810000,450000,162,106,98602,150329,0.924528
13.3,780000,465000,170,109,98602,150329,0.939836
13.4,795000,450000,177,113,98602,150329,0.928687
13.5,810000,435000,180,117,101498,150329,0.916822
13.6,780000,465000,177,125,98602,153225,0.939836
13.7,735000,525000,179,129,98602,150329,0.972973
13.8,690000,555000,181,117,98602,150329,0.988379
13.9,750000,495000,175,116,95131,161413,0.959738
14,765000,480000,173,121,95131,161487,0.950207
14.1,720000,540000,178,121,95131,161487,0.98
14.2,750000,495000,177,125,95131,161487,0.959738
14.3,705000,540000,177,126,95131,161487,0.982739
14.4,705000,540000,177,126,95131,161487,0.982739
14.5,720000,525000,170,128,84544,161487,0.976056
14.6,645000,615000,172,124,84544,161784,0.999433
14.7,690000,555000,170,123,84544,161784,0.988379
14.8,675000,570000,173,130,87440,166476,0.992937
14.9,675000,570000,168,133,84544,163580,0.992937
15,600000,650200,171,114,84544,169451,0.99839
15.1,750000,496200,170,119,84544,178081,0.960175
15.2,735000,525000,170,124,84544,178081,0.972973
15.3,690000,555000,168,127,84544,178081,0.988379
15.4,645000,600000,172,128,84544,178081,0.998695
15.5,675000,570000,170,130,84544,178081,0.992937
15.6,645000,615000,168,130,80439,178081,0.999433
15.7,630000,615000,170,131,83335,178081,0.999855
15.8,645000,603080,166,130,80439,178273,0.998873
15.9,615000,631160,167,129,79929,181687,0.999832
16,645000,600000,168,144,79929,181687,0.998695
16.1,615000,640560,170,131,82825,178791,0.999586
16.2,675000,572640,163,117,79929,180599,0.993314
16.3,690000,555000,164,121,79929,180599,0.988379
16.4,675000,570000,167,124,79929,180599,0.992937
16.5,675000,570000,167,127,79929,180599,0.992937
16.6,660000,600000,166,128,79929,180599,0.997738
16.7,630000,615000,166,128,77009,180599,0.999855
16.8,630000,615000,166,129,77009,180837,0.999855
16.9,630000,619880,166,127,77009,180837,0.999934
17,630000,615000,169,128,79905,182758,0.999855
17.1,660000,585000,162,137,77009,185654,0.996384
17.2,585000,675000,166,143,77009,182758,0.994924
17.3,630000,611400,166,121,77009,183194,0.999776
17.4,675000,570280,165,117,79905,184385,0.992978
17.5,720000,525000,159,124,77009,184385,0.976056
17.6,615000,645000,164,123,78461,184385,0.999433
17.7,660000,585000,166,126,78461,184385,0.996384
17.8,645000,600000,167,128,78461,184385,0.998695
17.9,645000,600000,167,130,78461,184385,0.998695
18,630000,630000,166,136,78461,184385,1
18.1,615000,621720,167,137,78461,184385,0.99997
18.2,630000,620800,168,129,78461,184385,0.999946
18.3,630000,613400,170,141,81357,187281,0.999822
18.4,645000,608920,165,141,78461,184385,0.999173
18.5,600000,649520,167,116,78461,184385,0.998432
18.6,705000,538920,166,120,78461,184385,0.982486
18.7,690000,555000,166,125,78461,184385,0.988379
18.8,660000,600000,164,127,78461,184385,0.997738
18.9,630000,615000,167,128,78459,184385,0.999855
19,645000,600000,167,132,78459,184385,0.998695
19.1,630000,619840,167,130,78459,184385,0.999934
19.2,630000,614520,167,136,78459,184385,0.999845
19.3,630000,622080,167,141,78459,184385,0.99996
19.4,615000,633520,167,136,78459,187209,0.99978
19.5,645000,608640,167,140,78459,187209,0.99916
19.6,615000,634960,169,136,81355,184313,0.999745
19.7,630000,604720,164,117,78459,184313,0.999581
19.8,705000,552520,164,122,78459,184529,0.98551
19.9,660000,585000,167,124,78459,184529,0.996384
20,660000,585000,167,127,79077,183406,0.996384
20.1,660000,600000,165,129,79077,183406,0.997738
20.2,615000,630000,168,130,79077,183406,0.999855
20.3,630000,615000,167,134,79077,185400,0.999855
20.4,645000,606080,167,132,79077,185400,0.999033
20.5,615000,629520,170,138,81973,185400,0.999864
20.6,645000,605680,165,144,79077,188296,0.999013
20.7,615000,636680,166,148,79077,188296,0.9997
20.8,615000,623760,168,127,79077,185400,0.99995
20.9,660000,588760,168,83,81973,5792,0.996756
21,1.035e+06,210000,139,69,79077,5792,0.694876
21.1,735000,60000,137,69,77385,5792,0.581092
21.2,735000,0,138,73,83596,5792,0.5
21.3,750000,60000,138,73,86492,185488,0.579491
21.4,795000,180000,149,103,97962,185488,0.715374
21.5,735000,510000,153,118,95066,188384,0.968372
21.6,645000,600000,168,127,95066,185488,0.998695
21.7,660000,600000,178,119,95066,185488,0.997738
21.8,750000,495000,176,125,95066,185488,0.959738
21.9,720000,525000,175,132,95066,185488,0.976056
22,660000,585000,179,137,95066,185488,0.996384
22.1,675000,574440,179,143,95066,185488,0.993564
22.2,690000,561680,177,143,95066,185488,0.989599
22.3,660000,586440,177,147,95066,185488,0.996529
22.4,690000,562920,178,148,95066,185488,0.989817
22.5,645000,592920,178,146,95066,185488,0.998233
22.6,675000,579320,178,145,95066,185400,0.994215
22.7,660000,586600,172,149,85097,188384,0.996545
22.8,630000,622000,169,136,82201,185488,0.999959
22.9,630000,609680,169,118,82201,185488,0.999731
23,720000,538040,168,122,82201,185488,0.979509
23.1,690000,555000,169,128,82201,185488,0.988379
23.2,660000,585000,166,131,82201,185488,0.996384
23.3,615000,630000,170,134,82201,180928,0.999855
23.4,660000,589040,165,133,76727,181544,0.996783
23.5,600000,647720,166,128,76727,181866,0.998539
23.6,630000,630000,165,128,76727,181866,1
23.7,630000,619760,163,127,76727,181866,0.999933
23.8,615000,630000,165,128,76727,184762,0.999855
23.9,630000,615000,165,139,76727,184762,0.999855
24,615000,639560,167,130,79623,182062,0.999617
24.1,660000,585360,159,116,76727,183801,0.996421
24.2,675000,570000,160,119,76727,184550,0.992937
24.3,660000,585000,162,122,76727,184550,0.996384
24.4,645000,600000,164,124,75599,184550,0.998695
24.5,660000,600000,163,126,75599,184550,0.997738
24.6,615000,630000,163,126,75599,184550,0.999855
24.7,615000,630000,166,126,75599,184126,0.999855
24.8,645000,600000,166,128,75599,185156,0.998695
24.9,630000,630000,168,128,78495,185156,1
25,645000,600000,161,138,75599,188052,0.998695
25.1,585000,663600,165,144,75599,185156,0.996053
25.2,615000,626760,166,121,75599,186283,0.99991
25.3,675000,570280,165,118,78495,186283,0.992978
25.4,720000,540000,156,124,75599,186283,0.98
25.5,585000,660000,163,123,77607,186283,0.996384
25.6,645000,600000,166,125,77607,186283,0.998695
25.7,660000,585000,166,129,77607,186434,0.996384
25.8,630000,615000,166,131,77607,186434,0.999855
25.9,630000,630000,166,136,77607,186434,1
26,615000,636000,166,136,77607,186434,0.999718
26.1,630000,604040,166,130,77607,186434,0.999558
26.2,630000,630000,168,141,80503,189330,1
26.3,630000,607840,164,138,77607,186434,0.99968
26.4,585000,664000,167,114,77607,186434,0.996015
26.5,720000,540000,164,120,77607,186434,0.98
26.6,675000,570000,165,124,77607,186434,0.992937
26.7,660000,585000,162,128,75839,186434,0.996384
26.8,600000,645000,165,129,75839,185842,0.998695
26.9,630000,615000,166,133,75839,185842,0.999855
27,630000,620160,166,129,75839,186555,0.999938
27.1,630000,630000,165,134,75839,186555,1
27.2,600000,635000,165,137,75839,186555,0.999197
27.3,615000,634760,166,136,75839,189451,0.99975
27.4,630000,620640,166,142,75839,189451,0.999944
27.5,615000,633360,167,132,78735,186555,0.999784
27.6,660000,593640,160,117,75839,186555,0.997206
27.7,675000,570000,160,122,75839,186683,0.992937
27.8,630000,615000,163,123,76539,186683,0.999855
27.9,645000,600000,167,126,77647,186683,0.998695
28,660000,600000,163,128,77647,186683,0.997738
28.1,600000,645000,167,129,77647,186683,0.998695
28.2,645000,600000,166,133,77647,186683,0.998695
28.3,630000,621600,166,130,77647,186683,0.999955
28.4,615000,630000,167,137,77647,186683,0.999855
28.5,630000,623160,166,141,77647,189579,0.99997
28.6,615000,630880,166,145,77647,186683,0.999838
28.7,615000,625720,167,124,77647,186683,0.999925
28.8,675000,572200,167,120,80543,186771,0.993252
28.9,720000,540000,158,126,77647,186771,0.98
29,585000,660000,165,125,77647,186771,0.996384
29.1,660000,585000,165,128,76314,186771,0.996384
29.2,615000,630000,167,128,76314,186771,0.999855
29.3,645000,615000,163,135,76314,186771,0.999433
29.4,585000,651280,167,137,76314,186771,0.997134
29.5,645000,602480,165,135,76314,186771,0.99884
29.6,615000,637440,166,131,76314,186879,0.999679
29.7,615000,630000,168,141,79210,189775,0.999855
29.8,630000,621400,163,137,76314,186879,0.999953
29.9,600000,650600,165,114,76314,186879,0.998366
30,720000,525000,162,121,76314,186879,0.976056
30.1,660000,585000,165,125,79210,186879,0.996384
30.2,660000,600000,159,127,74619,186879,0.997738
30.3,585000,660000,165,127,76297,186879,0.996384
30.4,645000,600000,165,129,76297,186879,0.998695
30.5,630000,621800,165,130,76297,187528,0.999957
30.6,615000,630000,165,133,76297,187528,0.999855
30.7,615000,637240,165,134,76297,187528,0.999685
30.8,615000,629920,165,141,76297,190424,0.999856
30.9,630000,623760,166,144,76297,190424,0.999975
31,615000,634200,167,128,79193,187528,0.999764
31.1,660000,589800,160,117,76297,187528,0.996855
31.2,675000,570000,161,122,76297,187528,0.992937
31.3,645000,600000,163,125,76297,187528,0.998695
31.4,645000,600000,160,127,5792,187528,0.998695
31.5,525000,720000,125,95,5792,5792,0.976056
31.6,120000,390000,125,70,5792,5792,0.781081
31.7,120000,60000,125,69,5792,5792,0.9
31.8,390000,0,139,73,79817,5792,0.5
31.9,840000,60000,142,77,96366,191499,0.571066
32,885000,240000,160,115,112279,191499,0.752609
32.1,720000,525000,170,124,109383,188603,0.976056
32.2,660000,585000,187,118,109383,188603,0.996384
32.3,810000,435000,187,138,109383,224596,0.916822
32.4,735000,510000,190,144,112279,224596,0.968372
32.5,660000,591800,187,151,109383,224596,0.997041
32.6,735000,514920,188,153,109383,224596,0.96993
32.7,690000,559920,187,153,109383,224596,0.989285
32.8,720000,533440,186,156,109383,224596,0.978327
32.9,675000,563080,188,153,109383,224596,0.991894
33,720000,536440,188,155,109383,224596,0.979102
33.1,705000,545800,187,154,109383,227492,0.984058
33.2,690000,548080,187,154,109383,227492,0.987031
33.3,705000,546680,189,153,112279,227492,0.984253
33.4,690000,552320,188,154,109383,227492,0.987867
33.5,705000,552320,173,153,87189,227492,0.985468
33.6,615000,631880,177,145,87189,227492,0.999817
33.7,690000,552680,173,150,90085,227492,0.987936
33.8,645000,598720,170,148,87189,227492,0.998617
33.9,630000,627320,173,147,87189,227492,0.999995
34,660000,583560,173,150,87189,227492,0.996236
34.1,630000,620600,168,148,79236,227492,0.999944
34.2,615000,627480,167,148,79236,227492,0.999899
34.3,630000,627640,167,148,79236,227492,0.999996
34.4,615000,631360,166,149,79236,227492,0.999828
34.5,630000,622880,168,147,79236,227492,0.999968
34.6,615000,631720,169,148,82132,227492,0.99982
34.7,645000,590240,164,150,79236,227492,0.998039
34.8,585000,674760,167,147,79236,227492,0.994949
34.9,630000,610360,168,148,78525,227492,0.999749
35,615000,632240,165,147,73995,227492,0.999809
35.1,600000,648120,163,146,73995,227492,0.998516
35.2,600000,658880,164,143,73995,227492,0.997817
35.3,615000,631720,164,146,73995,227492,0.99982
35.4,600000,642840,167,145,73995,227492,0.998813
35.5,615000,625720,165,146,74726,227492,0.999925
35.6,630000,627480,158,147,71830,227492,0.999996
35.7,540000,701400,163,143,71830,227492,0.983377
35.8,630000,615840,162,144,71830,227492,0.999871
35.9,585000,673720,164,146,74726,227492,0.995057
36,615000,632240,158,144,71830,227492,0.999809
36.1,555000,690120,163,140,71830,227492,0.988361
36.2,615000,632240,163,144,71830,227492,0.999809
36.3,600000,645680,162,144,69669,227492,0.998657
36.4,585000,664000,161,143,69669,227492,0.996015
36.5,585000,664360,160,143,69784,227492,0.995981
36.6,585000,664000,162,141,69784,227404,0.996015
36.7,615000,640560,162,144,69784,227404,0.999586
36.8,585000,657320,164,143,72680,227404,0.996623
36.9,615000,632600,157,145,69784,227404,0.999801
37,555000,694720,161,141,69784,227404,0.987655
37.1,615000,626080,161,145,70476,227404,0.99992
37.2,570000,678320,163,143,73372,227404,0.992527
37.3,615000,637360,157,143,70476,227404,0.999681
37.4,555000,693320,162,140,70476,227404,0.987871
37.5,615000,637360,161,143,70476,227404,0.999681
37.6,570000,668440,163,142,70476,227404,0.993721
37.7,600000,652360,162,140,70476,227404,0.998255
37.8,585000,663320,160,141,70476,227404,0.996079
37.9,600000,647600,161,142,70476,227404,0.998546
38,600000,651680,162,143,70476,227404,0.998298
38.1,600000,651840,163,142,73372,227404,0.998288
38.2,600000,646920,157,144,70476,227404,0.998586
38.3,555000,690640,162,137,70476,227404,0.988282
38.4,615000,628240,160,144,69412,227404,0.999887
38.5,570000,680240,163,138,72418,227404,0.992285
38.6,630000,618880,156,143,69522,227404,0.999921
38.7,540000,711120,161,136,70766,227404,0.981637
38.8,615000,629280,161,143,70766,227404,0.999868
38.9,585000,658200,162,140,70766,227492,0.996545
39,600000,656440,161,142,70766,227492,0.997986
39.1,585000,663320,160,139,70766,227492,0.996079
39.2,585000,662960,162,142,70766,227492,0.996113
39.3,600000,640400,163,141,70766,227492,0.99894
39.4,600000,652200,164,141,73662,227492,0.998265
39.5,615000,640400,157,143,70766,227492,0.999591
39.6,555000,689600,162,139,70766,227492,0.988439
39.7,615000,635280,161,143,70766,227492,0.999737
39.8,585000,662960,163,139,73662,227492,0.996113
39.9,615000,628760,157,143,69471,227492,0.999878
40,555000,696120,160,135,69471,227492,0.987437
40.1,600000,645520,161,142,69471,227492,0.998666
40.2,585000,662960,161,138,69471,227492,0.996113
40.3,600000,655400,160,142,69471,227492,0.998056
40.4,570000,669480,159,137,69471,227492,0.9936
40.5,585000,667040,161,141,69471,227492,0.995725
40.6,600000,650800,161,139,69471,227492,0.998353
40.7,585000,652040,163,143,72367,226468,0.997072
40.8,615000,645680,156,142,69471,226468,0.999408
40.9,540000,695080,161,139,69471,226716,0.984479
41,615000,646040,160,141,68971,226716,0.999394
41.1,570000,666680,162,141,71867,226716,0.993925
41.2,615000,641800,156,141,68971,226716,0.999545
41.3,540000,710600,160,136,68971,226716,0.981731
41.4,615000,635280,159,141,68971,226716,0.999737
41.5,570000,677960,161,138,68971,226716,0.992572
41.6,600000,640400,160,141,68971,226716,0.99894
41.7,570000,674600,159,138,69274,226716,0.992986
41.8,585000,661920,161,141,69274,226716,0.996209
41.9,600000,651320,161,134,69274,5792,0.998321
42,585000,667040,151,82,5792,5792,0.995725
42.1,450000,161240,125,72,5792,5792,0.817543
42.2,60000,45000,129,69,5792,5792,0.98
42.3,120000,0,135,73,73363,5792,0.5
42.4,720000,60000,140,70,88700,18807,0.582759
42.5,960000,30000,145,71,105725,18807,0.53122
42.6,1.17e+06,45000,155,71,131483,18807,0.538405
42.7,1.215e+06,30000,154,72,135123,18807,0.524676
42.8,1.215e+06,45000,157,71,135123,18807,0.536986
42.9,1.2e+06,45000,161,71,135123,18807,0.537447
43,1.215e+06,30000,164,72,135123,18807,0.524676
43.1,1.2e+06,45000,174,72,135123,18807,0.537447
43.2,1.2e+06,45000,173,72,135123,21703,0.537447
43.3,1.23e+06,30000,175,73,135123,21703,0.524376
43.4,1.185e+06,60000,180,73,135123,21703,0.550503
43.5,1.2e+06,45000,194,73,132566,21703,0.537447
43.6,1.2e+06,45000,185,74,132566,24599,0.537447
43.7,1.2e+06,60000,187,74,132566,25405,0.549875
43.8,1.185e+06,60000,191,75,132566,25405,0.550503
43.9,1.185e+06,60000,200,75,135462,25405,0.550503
44,1.17932e+06,75000,190,75,132566,28517,0.56334
44.1,1.1724e+06,75000,190,76,132918,28517,0.563711
44.2,1.17e+06,75000,195,77,131541,28685,0.56384
44.3,1.16108e+06,90000,199,77,131541,32101,0.577051
44.4,1.17432e+06,75000,198,78,131541,32101,0.563607
44.5,1.13168e+06,105000,192,76,131821,29313,0.591991
44.6,1.17e+06,90000,197,75,131821,32843,0.576471
44.7,1.1756e+06,60000,199,77,131821,33063,0.550905
44.8,1.159e+06,90000,208,77,131821,33063,0.577188
44.9,1.1628e+06,90000,190,77,131821,33063,0.576938
45,1.155e+06,90000,195,77,131821,35314,0.577452
45.1,1.15896e+06,90000,194,78,127865,35314,0.57719
45.2,1.14084e+06,105000,200,78,130761,35314,0.591264
45.3,1.1616e+06,90000,184,78,127865,35314,0.577017
45.4,1.125e+06,120000,188,77,127865,35314,0.605467
45.5,1.17e+06,90000,189,78,127865,35314,0.576471
45.6,1.14e+06,105000,193,78,130129,38210,0.59133
45.7,1.155e+06,90000,183,81,127233,38210,0.577452
45.8,1.095e+06,150000,189,77,127233,35314,0.634463
45.9,1.155e+06,105000,190,76,125970,39938,0.590164
46,1.17e+06,75000,190,79,125970,44025,0.56384
46.1,1.14e+06,105000,187,81,125970,44025,0.59133
46.2,1.095e+06,150000,187,80,125970,44025,0.634463
46.3,1.125e+06,120000,190,80,125970,44025,0.605467
46.4,1.125e+06,135000,191,80,125680,45574,0.618297
46.5,1.125e+06,120000,193,81,128576,45574,0.605467
46.6,1.11e+06,135000,184,82,125680,45574,0.619849
46.7,1.095e+06,150000,189,81,125680,46854,0.634463
46.8,1.125e+06,135000,191,81,125680,46854,0.618297
46.9,1.11e+06,135000,193,83,128576,49750,0.619849
47,1.095e+06,150000,184,85,125680,47393,0.634463
47.1,1.065e+06,180000,191,80,125680,50289,0.66432
47.2,1.11e+06,135000,191,80,125680,52609,0.619849
47.3,1.14e+06,120000,189,83,122122,52939,0.60411
47.4,1.095e+06,150000,183,84,122122,52939,0.634463
47.5,1.065e+06,180000,185,83,122122,52939,0.66432
47.6,1.08e+06,165000,189,83,122122,52939,0.649293
47.7,1.11e+06,150000,189,84,122122,54374,0.632712
47.8,1.08e+06,165000,189,84,121900,54374,0.649293
47.9,1.065e+06,180000,185,83,121900,54374,0.66432
48,1.08e+06,165000,188,84,121900,55330,0.649293
48.1,1.08e+06,165000,190,85,121900,58226,0.649293
48.2,1.095e+06,165000,192,88,124796,58226,0.647339
48.3,1.035e+06,210000,185,84,121900,55330,0.694876
48.4,1.05e+06,195000,189,81,121900,61760,0.679523
48.5,1.125e+06,120000,187,86,119233,61760,0.605467
48.6,1.065e+06,195000,190,86,123333,61760,0.677159
48.7,1.065e+06,180000,182,87,120437,61760,0.66432
48.8,1.035e+06,210000,186,86,120437,61760,0.694876
48.9,1.05e+06,195000,189,86,120437,62070,0.679523
49,1.065e+06,180000,189,87,120437,62070,0.66432
49.1,1.05e+06,210000,187,86,120437,63214,0.692308
49.2,1.05e+06,195000,185,87,120437,63214,0.679523
49.3,1.05e+06,195000,189,87,120437,66241,0.679523
49.4,1.05e+06,195000,189,91,120437,66241,0.679523
49.5,1.035e+06,225000,192,90,123333,63345,0.707581
49.6,1.005e+06,240000,187,84,120437,66661,0.725922
49.7,1.065e+06,180000,189,87,120437,72339,0.66432
49.8,1.05e+06,195000,187,90,116567,72339,0.679523
49.9,1.02e+06,225000,190,90,119463,72339,0.710353
50,1.035e+06,225000,180,91,116567,72339,0.707581
50.1,990000,255000,186,89,116567,74584,0.74155
50.2,1.02e+06,225000,186,91,115733,75717,0.710353
50.3,1.005e+06,240000,186,91,115733,75717,0.725922
50.4,1.02e+06,240000,181,91,115733,75717,0.722951
50.5,975000,270000,184,90,115733,78613,0.757199
50.6,1.02e+06,225000,186,95,115733,78613,0.710353
50.7,975000,270000,187,94,115733,76969,0.757199
50.8,945000,300000,187,86,115733,78138,0.788396
50.9,1.05e+06,210000,181,91,115733,85126,0.692308
51,1.005e+06,240000,185,93,115733,85126,0.725922
51.1,990000,255000,184,95,112777,85126,0.74155
51.2,960000,285000,187,94,115673,85126,0.772829
51.3,990000,270000,178,95,112777,85126,0.753846
51.4,945000,300000,184,94,112777,86324,0.788396
51.5,975000,270000,183,95,109657,86324,0.757199
51.6,960000,285000,183,95,109657,86324,0.772829
51.7,960000,285000,178,95,109657,89902,0.772829
51.8,960000,300000,179,99,109657,89902,0.784698
51.9,915000,330000,184,94,109657,87541,0.819144
52,945000,300000,182,90,109657,96734,0.788396
52.1,1.005e+06,240000,181,96,109657,96809,0.725922
52.2,960000,300000,177,97,109657,96809,0.784698
52.3,915000,330000,182,97,107500,96809,0.819144
52.4,945000,300000,182,94,107500,5792,0.788396
52.5,930000,315000,184,73,110396,5792,0.803851
52.6,1.185e+06,60000,144,72,5792,5792,0.550503
52.7,330000,45000,129,69,5792,5792,0.633874
52.8,120000,45000,125,70,5792,5792,0.828767
52.9,270000,15000,143,78,107500,99782,0.555385
53,945000,225000,146,85,107500,99782,0.725322
53.1,945000,315000,147,86,106456,99782,0.8
53.2,960000,285000,153,88,106555,99782,0.772829
53.3,915000,330000,154,88,108380,99782,0.819144
53.4,945000,300000,157,90,108380,99782,0.788396
53.5,945000,315000,161,93,108380,103969,0.8
53.6,915000,330000,174,98,111276,103969,0.819144
53.7,915000,330000,172,94,108380,102341,0.819144
53.8,930000,315000,176,92,108380,105339,0.803851
53.9,990000,270000,177,97,110314,106542,0.753846
54,930000,315000,185,99,113210,106542,0.803851
54.1,945000,300000,178,102,110314,106542,0.788396
54.2,870000,375000,185,101,110314,106542,0.8635
54.3,915000,330000,186,102,110314,106542,0.819144
54.4,915000,345000,185,102,110314,106542,0.830118
