Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,526080,526080,10,21,31856,53576,1
0.5,510000,735000,30,66,57920,114392,0.968372
0.6,345000,900000,39,74,66856,128872,0.834221
0.7,465000,780000,44,70,67414,128872,0.939836
0.8,420000,825000,38,75,67752,128872,0.904306
0.9,420000,840000,41,73,68202,128872,0.9
1,540000,705000,37,56,68682,129705,0.982739
1.1,435000,810000,34,26,69072,91991,0.916822
1.2,675000,570000,38,46,69792,91991,0.992937
1.3,570000,690000,38,50,70347,91991,0.991011
1.4,540000,705000,40,49,70898,91991,0.982739
1.5,540000,705000,37,52,71362,91991,0.982739
1.6,525000,720000,42,48,71942,91991,0.976056
1.7,600000,645000,41,51,72487,91991,0.998695
1.8,555000,705000,40,52,72991,94887,0.986026
1.9,495000,750000,41,49,73467,91991,0.959738
2,570000,675000,44,44,74027,86378,0.992937
2.1,630000,615000,40,48,74559,86378,0.999855
2.2,570000,690000,40,50,75084,89274,0.991011
2.3,510000,735000,43,41,75570,86378,0.968372
2.4,645000,600000,44,38,76164,76720,0.998695
2.5,660000,585000,38,45,76677,76720,0.996384
2.6,570000,675000,41,42,77217,79616,0.992937
2.7,615000,645000,44,32,77806,76720,0.999433
2.8,705000,540000,44,40,78404,76720,0.982739
2.9,645000,600000,43,40,78950,76720,0.998695
3,645000,600000,40,44,79470,76720,0.998695
3.1,600000,660000,45,36,80042,76720,0.997738
3.2,675000,570000,44,40,80614,76720,0.992937
3.3,660000,585000,43,41,81141,74419,0.996384
3.4,630000,615000,43,41,81666,74419,0.999855
3.5,645000,600000,46,35,82241,71362,0.998695
3.6,720000,540000,43,40,82791,71362,0.98
3.7,645000,600000,46,38,83366,71362,0.998695
3.8,690000,555000,46,37,83939,66356,0.988379
3.9,690000,555000,45,34,84467,66356,0.988379
4,720000,540000,45,35,85043,66356,0.98
4.1,690000,555000,48,34,85619,66356,0.988379
4.2,720000,525000,48,34,86195,66356,0.976056
4.3,720000,525000,48,35,86771,69252,0.976056
4.4,720000,525000,45,34,87299,66356,0.976056
4.5,720000,540000,49,34,87900,66356,0.98
4.6,735000,510000,49,35,88452,66356,0.968372
4.7,735000,510000,48,37,89004,67519,0.968372
4.8,690000,555000,48,31,89533,64623,0.988379
4.9,765000,495000,50,34,90131,64623,0.956098
5,735000,510000,49,33,90683,62858,0.968372
5.1,750000,495000,50,36,91254,65754,0.959738
5.2,720000,525000,50,30,91782,60033,0.976056
5.3,780000,465000,50,32,92354,60033,0.939836
5.4,780000,480000,49,33,92904,60033,0.946352
5.5,750000,495000,49,33,93454,62929,0.959738
5.6,750000,495000,51,29,94026,60033,0.959738
5.7,795000,450000,51,32,94598,60033,0.928687
5.8,780000,480000,49,33,95148,60033,0.946352
5.9,735000,510000,53,30,95702,60033,0.968372
6,795000,450000,54,30,96269,60033,0.928687
6.1,795000,450000,51,33,96794,58223,0.928687
6.2,750000,495000,54,30,97340,58223,0.959738
6.3,810000,450000,54,30,97907,58223,0.924528
6.4,795000,450000,53,32,98453,61119,0.928687
6.5,780000,465000,54,30,98999,58223,0.939836
6.6,795000,450000,55,27,99566,54541,0.928687
6.7,840000,420000,54,29,100120,54541,0.9
6.8,810000,435000,54,31,100660,57437,0.916822
6.9,795000,450000,55,25,101200,54541,0.928687
7,855000,390000,57,28,101780,54541,0.87758
7.1,825000,420000,56,30,102320,54541,0.904306
7.2,825000,435000,56,30,102860,57437,0.912571
7.3,810000,435000,56,25,103400,54541,0.916822
7.4,855000,390000,57,29,103980,54541,0.87758
7.5,825000,420000,55,29,104500,51060,0.904306
7.6,825000,435000,58,27,105068,51060,0.912571
7.7,855000,390000,57,25,105600,51060,0.87758
7.8,855000,390000,57,27,106132,51060,0.87758
7.9,855000,390000,58,27,106683,51060,0.87758
8,840000,405000,61,25,107234,49251,0.891203
8.1,885000,375000,58,29,107766,52147,0.85923
8.2,825000,420000,59,24,108298,49251,0.904306
8.3,885000,360000,61,25,108868,49251,0.849026
8.4,885000,360000,60,26,109419,49251,0.849026
8.5,870000,390000,58,30,109951,52147,0.873267
8.6,825000,420000,62,22,110495,49251,0.904306
8.7,915000,330000,61,26,111035,49251,0.819144
8.8,870000,375000,60,27,111539,48166,0.8635
8.9,855000,390000,63,26,112079,48166,0.87758
9,885000,375000,62,22,112601,48166,0.85923
9.1,915000,330000,62,26,113141,48166,0.819144
9.2,870000,375000,62,25,113663,47040,0.8635
9.3,870000,375000,64,24,114203,47040,0.8635
9.4,915000,345000,64,24,114743,47040,0.830118
9.5,900000,345000,62,25,115265,47040,0.834221
9.6,885000,360000,65,22,115823,44487,0.849026
9.7,930000,315000,64,24,116363,44487,0.803851
9.8,900000,345000,66,26,116897,47383,0.834221
9.9,900000,360000,67,20,117407,44487,0.844828
10,960000,285000,65,24,117934,44487,0.772829
10.1,900000,345000,63,25,118427,44487,0.834221
10.2,900000,345000,66,23,118954,44487,0.834221
10.3,945000,315000,67,16,119498,5792,0.8
10.4,1.005e+06,240000,60,4,120008,5792,0.725922
10.5,1.185e+06,60000,62,4,120688,5792,0.550503
10.6,1.185e+06,60000,61,4,121351,53175,0.550503
10.7,1.125e+06,120000,69,27,122048,56071,0.605467
10.8,915000,345000,68,31,122558,84794,0.830118
10.9,840000,405000,68,27,123034,99644,0.891203
11,900000,345000,71,34,123548,99644,0.834221
11.1,840000,405000,71,37,123996,99644,0.891203
11.2,825000,435000,70,38,124428,99644,0.912571
11.3,810000,435000,71,39,124860,99644,0.916822
11.4,810000,435000,73,39,125308,99644,0.916822
11.5,795000,450000,72,39,125724,100667,0.928687
11.6,810000,435000,75,45,126172,103563,0.916822
11.7,795000,465000,74,44,126588,100667,0.935809
11.8,735000,510000,75,37,126988,108704,0.968372
11.9,855000,390000,72,44,127420,110858,0.87758
12,765000,480000,74,46,127836,110858,0.950207
12.1,780000,480000,76,47,128268,110858,0.946352
12.2,765000,480000,75,48,128668,110858,0.950207
12.3,765000,480000,75,50,129068,110858,0.950207
12.4,750000,495000,75,50,129468,110858,0.959738
12.5,750000,495000,77,58,129884,113754,0.959738
12.6,735000,525000,76,52,130268,111514,0.972973
12.7,690000,555000,77,47,130636,120046,0.988379
12.8,810000,435000,88,55,131067,120424,0.916822
12.9,712320,540000,101,55,131442,120424,0.981418
13,754160,495000,107,59,131907,120424,0.958733
13.1,709120,540000,105,59,132372,120424,0.981999
13.2,723960,525000,106,61,132852,120424,0.975251
13.3,709120,540000,106,62,133332,123320,0.981999
13.4,708080,540000,106,72,133797,123320,0.982187
13.5,666080,570000,108,61,134262,121028,0.993994
13.6,665040,585000,106,59,134682,127709,0.995917
13.7,752160,495000,106,66,135192,129282,0.959217
13.8,665040,585000,106,66,135627,129282,0.995917
13.9,709120,540000,106,69,136107,129282,0.981999
14,665040,585000,106,70,136542,129282,0.995917
14.1,666080,585000,108,70,137007,129282,0.995817
14.2,665040,585000,108,74,137442,132178,0.995917
14.3,660960,585000,108,76,137892,129282,0.996297
14.4,622000,615000,110,67,138312,130819,0.999968
14.5,687600,562840,106,69,138747,135224,0.990143
14.6,686560,570000,110,72,139227,135224,0.991469
14.7,660960,585000,106,74,139647,135224,0.996297
14.8,665040,585000,108,76,140076,135224,0.995917
14.9,617920,630000,108,76,140468,135224,0.999906
15,659920,585000,108,78,140874,135224,0.996391
15.1,633280,615000,106,85,141252,138120,0.999786
15.2,628160,615000,108,82,141658,135224,0.999888
15.3,611760,636800,108,70,142036,135224,0.999598
15.4,719360,526880,106,73,142470,135576,0.976701
15.5,638400,615000,110,74,142890,135576,0.999652
15.6,659560,585000,109,76,143296,135576,0.996424
15.7,650040,600000,108,77,143688,135576,0.9984
15.8,639440,615000,108,78,144094,135576,0.999621
15.9,643520,600000,108,80,144486,138472,0.998777
16,617920,630000,108,91,144878,138472,0.999906
16.1,638400,604960,108,81,145270,135576,0.999277
16.2,623040,621840,108,68,145662,135576,0.999999
16.3,729600,525000,106,75,146096,135576,0.974094
16.4,617920,630000,108,74,146502,135576,0.999906
16.5,686560,570000,106,77,146908,135576,0.991469
16.6,623040,615000,108,77,147314,135576,0.999958
16.7,633280,615000,108,78,147706,135576,0.999786
16.8,649680,600000,106,84,148098,138472,0.998422
16.9,633280,615000,108,90,148504,135576,0.999786
17,633280,622360,106,75,148882,135576,0.999924
17.1,649680,587680,106,70,149288,135703,0.997496
17.2,681440,570000,108,73,149722,135703,0.992133
17.3,654800,600000,108,75,150103,135703,0.998096
17.4,654800,585000,108,77,150480,135703,0.99684
17.5,638040,615000,107,77,150844,135703,0.999662
17.6,644920,600000,108,79,151221,135703,0.9987
17.7,628160,615000,108,85,151585,138599,0.999888
17.8,638400,615000,108,87,151949,135703,0.999652
17.9,612800,638200,108,73,152313,135703,0.999588
18,686560,557000,106,72,152690,135703,0.989262
18.1,659560,585000,107,74,153080,135703,0.996424
18.2,650040,600000,108,75,153457,135703,0.9984
18.3,644560,600000,108,77,153834,135703,0.99872
18.4,659920,600000,106,78,154198,135703,0.997743
18.5,623040,615000,108,79,154575,135703,0.999958
18.6,633280,615000,108,92,154939,138599,0.999786
18.7,633280,618960,108,86,155303,135703,0.999869
18.8,628160,625320,108,70,155667,135703,0.999995
18.9,702960,537320,106,74,156057,135703,0.982477
19,628160,615000,110,74,156447,135703,0.999888
19.1,681440,570000,106,78,156811,135703,0.992133
19.2,623040,630000,108,77,157188,135703,0.999969
19.3,643520,600000,108,78,157552,135703,0.998777
19.4,632920,615000,109,84,157929,138599,0.999794
19.5,638400,615000,109,91,158293,135703,0.999652
19.6,624440,620800,108,76,158657,135703,0.999991
19.7,658520,590480,105,70,159008,135703,0.997041
19.8,672600,570000,108,73,159424,135703,0.993229
19.9,653400,600000,107,74,159788,135703,0.998188
