Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
0.4,556080,496080,8,21,31856,53576,0.996759
0.5,525000,720000,33,63,60816,111496,0.976056
0.6,405000,855000,36,79,66918,137560,0.886878
0.7,405000,840000,43,89,67445,137560,0.891203
0.8,465000,776920,40,100,67872,137560,0.940662
0.9,345000,897760,42,71,68232,123128,0.834841
1,540000,709280,35,8,61540,136776,0.98197
1.1,630000,620440,21,51,33587,95095,0.999942
1.2,330000,915000,21,89,34262,138535,0.819144
1.3,300000,956280,22,100,34864,147223,0.785607
1.4,315000,938640,7,120,35043,147223,0.801623
1.5,60000,1.17908e+06,25,99,35690,147223,0.550756
1.6,360000,895600,24,101,36325,147223,0.846052
1.7,315000,923640,25,98,36950,147223,0.805508
1.8,195000,1.05648e+06,16,110,37062,147223,0.678494
1.9,225000,1.02472e+06,26,98,37729,147223,0.709473
2,345000,900720,23,102,38277,147223,0.834023
2.1,330000,921880,13,117,38601,147223,0.817305
2.2,90000,1.1542e+06,28,98,39136,147223,0.577505
2.3,405000,840920,25,102,39769,147223,0.890936
2.4,300000,945160,27,100,40341,147223,0.788356
2.5,180000,1.078e+06,21,106,40494,147223,0.662447
2.6,300000,948520,26,101,41106,147223,0.78752
2.7,375000,874080,25,103,41707,147223,0.862332
2.8,315000,923640,10,124,41857,147223,0.805508
2.9,135000,1.11592e+06,30,98,42545,147223,0.619231
3,405000,847440,25,102,43078,147223,0.889051
3.1,360000,883960,15,117,43414,147223,0.84932
3.2,90000,1.1542e+06,30,98,43890,147223,0.577505
3.3,420000,825920,30,100,44548,147223,0.90404
3.4,375000,883960,24,107,44964,147223,0.859524
3.5,90000,1.1542e+06,32,98,45286,147223,0.577505
3.6,465000,787640,29,101,45923,147223,0.937786
3.7,360000,880600,32,100,46508,147223,0.850272
3.8,165000,1.078e+06,27,106,46642,147223,0.649557
3.9,390000,863840,31,100,47302,147223,0.875031
4,390000,852560,34,99,47912,147223,0.878287
4.1,225000,1.02984e+06,25,110,48041,147223,0.708527
4.2,360000,890480,31,100,48686,147223,0.847484
4.3,420000,825920,32,101,49276,147223,0.90404
4.4,210000,1.02984e+06,24,112,49402,147223,0.695775
4.5,345000,905480,33,101,50071,147223,0.832713
4.6,435000,810920,35,100,50686,147223,0.916561
4.7,225000,1.02984e+06,26,112,50809,147223,0.708527
4.8,375000,878840,33,100,51458,147223,0.860975
4.9,420000,825920,35,98,52058,147223,0.90404
5,195000,1.04148e+06,29,108,52178,147223,0.680892
5.1,420000,840920,35,101,52847,147223,0.899737
5.2,420000,827320,35,100,53393,147223,0.903637
5.3,165000,1.078e+06,35,102,53588,147223,0.649557
5.4,510000,734720,35,102,54239,147223,0.968435
5.5,420000,835800,29,104,54657,127064,0.901202
5.6,135000,1.10092e+06,36,7,54961,147968,0.620808
5.7,720000,450000,33,50,55781,86407,0.949438
5.8,510000,735000,35,86,56447,155911,0.968372
5.9,420000,825000,22,122,56705,181975,0.904306
6,255000,1.0062e+06,35,104,57245,181975,0.738134
6.1,450000,788000,33,75,57749,149080,0.93063
6.2,510000,748280,20,15,56472,65711,0.965381
6.3,510000,675000,13,71,27889,112047,0.980981
6.4,180000,1.065e+06,20,43,28626,183807,0.66432
6.5,330000,930000,17,58,29274,132670,0.815157
6.6,255000,990000,20,69,29978,129774,0.74155
6.7,270000,975000,23,75,30664,129774,0.757199
6.8,315000,930000,16,81,31136,129774,0.803851
6.9,180000,1.08e+06,16,86,31535,131558,0.662162
7,180000,1.05564e+06,21,79,32059,128662,0.665695
7.1,285000,965880,22,77,32703,129350,0.771435
7.2,300000,945000,20,77,33271,109894,0.788396
7.3,225000,1.035e+06,16,67,33582,112790,0.707581
7.4,240000,1.005e+06,20,52,34196,109894,0.725922
7.5,330000,915000,21,61,34859,109894,0.819144
7.6,315000,930000,22,63,35510,109894,0.803851
7.7,330000,930000,25,62,36207,107228,0.815157
7.8,345000,900000,22,61,36777,104332,0.834221
7.9,330000,915000,18,66,37282,104332,0.819144
8,300000,945000,19,65,37835,104332,0.788396
8.1,315000,930000,22,63,38489,103644,0.803851
8.2,330000,930000,22,57,39079,103644,0.815157
8.3,375000,870000,22,63,39713,103644,0.8635
8.4,330000,915000,22,62,40285,103644,0.819144
8.5,330000,915000,25,61,40898,103644,0.819144
8.6,375000,885000,24,57,41503,99542,0.85923
8.7,390000,855000,23,59,42100,99542,0.87758
8.8,375000,870000,24,61,42737,99542,0.8635
8.9,360000,885000,24,60,43315,99542,0.849026
9,360000,885000,25,58,43887,99542,0.849026
9.1,405000,855000,24,59,44498,99542,0.886878
9.2,390000,855000,27,58,45145,95387,0.87758
9.3,405000,840000,26,57,45740,95387,0.891203
