Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,526080,526080,10,21,31856,53576,1
0.5,510000,735000,30,66,57920,114392,0.968372
0.6,345000,900000,39,74,66856,128872,0.834221
0.7,465000,780000,44,70,67414,128872,0.939836
0.8,420000,825000,38,75,67752,128872,0.904306
0.9,420000,840000,41,73,68202,128872,0.9
1,540000,705000,37,56,68682,129705,0.982739
1.1,435000,810000,34,26,69072,91991,0.916822
1.2,675000,570000,38,47,69792,94887,0.992937
1.3,570000,690000,38,48,70347,91991,0.991011
1.4,555000,690000,39,50,70898,91991,0.988379
1.5,525000,720000,37,52,71362,91991,0.976056
1.6,525000,720000,40,49,71913,94887,0.976056
1.7,570000,675000,41,47,72459,91991,0.992937
1.8,585000,675000,40,50,72991,91991,0.994924
1.9,525000,720000,37,54,73439,91991,0.976056
2,510000,735000,44,43,73999,86378,0.968372
2.1,645000,600000,41,46,74559,86378,0.998695
2.2,585000,675000,40,48,75084,86378,0.994924
2.3,540000,705000,39,48,75543,86378,0.982739
2.4,570000,675000,45,37,76137,77082,0.992937
2.5,675000,570000,40,42,76677,77082,0.992937
2.6,600000,645000,41,41,77217,77082,0.998695
2.7,630000,630000,41,41,77780,77082,1
2.8,630000,615000,44,39,78352,77082,0.999855
2.9,660000,585000,44,43,78924,79978,0.996384
3,630000,615000,40,41,79418,77082,0.999855
3.1,630000,630000,45,41,80016,77082,1
3.2,645000,600000,46,38,80588,73948,0.998695
3.3,675000,570000,44,42,81116,76844,0.992937
3.4,645000,600000,43,39,81641,73948,0.998695
3.5,645000,600000,46,37,82216,71362,0.998695
3.6,690000,570000,47,37,82791,71362,0.991011
3.7,705000,540000,44,41,83341,74258,0.982739
3.8,645000,600000,45,34,83891,66356,0.998695
3.9,705000,540000,45,35,84443,66356,0.982739
4,705000,555000,46,34,85019,66356,0.986026
4.1,720000,525000,47,36,85595,69252,0.976056
4.2,705000,540000,48,32,86171,66356,0.982739
4.3,735000,510000,47,35,86747,66356,0.968372
4.4,705000,540000,47,36,87299,66356,0.982739
4.5,720000,540000,47,36,87854,66356,0.98
4.6,705000,540000,49,32,88406,66356,0.982739
4.7,765000,480000,48,36,88981,66356,0.950207
4.8,705000,540000,47,36,89510,64623,0.982739
4.9,705000,555000,49,33,90062,64623,0.986026
5,735000,510000,52,31,90660,64623,0.968372
5.1,780000,465000,48,35,91210,64623,0.939836
5.2,720000,525000,51,31,91760,60540,0.976056
5.3,765000,480000,52,31,92332,60540,0.950207
5.4,780000,480000,49,35,92860,63436,0.946352
5.5,735000,510000,50,29,93410,60540,0.968372
5.6,780000,465000,52,31,94004,60540,0.939836
5.7,780000,465000,53,31,94576,60540,0.939836
5.8,795000,465000,50,35,95126,63436,0.935809
5.9,735000,510000,52,28,95660,60540,0.968372
6,810000,435000,52,32,96227,59046,0.916822
6.1,780000,465000,52,32,96773,59046,0.939836
6.2,780000,465000,53,33,97319,59046,0.939836
6.3,780000,480000,53,28,97865,59046,0.946352
6.4,810000,435000,53,31,98432,59046,0.916822
6.5,780000,465000,54,31,98978,56729,0.939836
6.6,780000,465000,56,29,99545,56729,0.939836
6.7,840000,420000,55,32,100100,59625,0.9
6.8,795000,450000,54,30,100620,56729,0.928687
6.9,795000,450000,55,27,101160,54987,0.928687
7,825000,420000,57,28,101720,54987,0.904306
7.1,840000,405000,57,31,102280,57883,0.891203
7.2,810000,450000,55,26,102800,54987,0.924528
7.3,840000,405000,58,28,103380,54987,0.891203
7.4,840000,405000,56,28,103920,52713,0.891203
7.5,825000,420000,56,29,104460,55609,0.904306
7.6,840000,420000,58,26,105030,52713,0.9
7.7,855000,390000,57,29,105562,52713,0.87758
7.8,825000,420000,57,29,106075,52713,0.904306
7.9,825000,420000,60,27,106626,52713,0.904306
8,855000,390000,60,27,107158,52713,0.87758
8.1,870000,390000,56,30,107671,52713,0.873267
8.2,810000,435000,60,26,108222,51462,0.916822
8.3,870000,375000,61,25,108773,49640,0.8635
8.4,885000,360000,60,26,109324,49640,0.849026
8.5,870000,390000,56,25,109837,49640,0.873267
8.6,855000,390000,62,25,110423,49640,0.87758
8.7,900000,345000,62,27,110963,49640,0.834221
8.8,870000,375000,60,30,111467,52536,0.8635
8.9,810000,435000,65,23,111989,49640,0.916822
9,930000,330000,63,26,112529,49640,0.815157
9.1,885000,360000,61,26,113033,47040,0.849026
9.2,870000,375000,61,26,113555,49936,0.8635
9.3,870000,375000,63,22,114095,47040,0.8635
9.4,945000,315000,63,26,114653,47040,0.8
9.5,885000,360000,62,26,115175,47040,0.849026
9.6,870000,375000,64,24,115715,47040,0.8635
9.7,900000,345000,65,24,116255,47040,0.834221
9.8,885000,360000,66,24,116778,47040,0.849026
9.9,915000,345000,66,23,117288,43822,0.830118
10,915000,330000,67,23,117815,43822,0.819144
10.1,930000,315000,63,26,118308,46718,0.803851
10.2,885000,360000,67,21,118835,43822,0.849026
10.3,975000,285000,66,14,119379,5792,0.769298
10.4,1.035e+06,210000,61,3,119923,5792,0.694876
10.5,1.2e+06,45000,62,4,120603,5792,0.537447
10.6,1.185e+06,60000,61,6,121266,49614,0.550503
10.7,1.095e+06,150000,69,20,121946,55406,0.634463
10.8,975000,285000,68,30,122490,79609,0.769298
10.9,855000,390000,69,22,122983,81292,0.87758
11,945000,300000,69,25,123500,81292,0.788396
11.1,915000,330000,70,27,123996,81292,0.819144
11.2,915000,345000,69,28,124476,81479,0.830118
11.3,885000,360000,71,28,124956,82119,0.849026
11.4,885000,360000,72,28,125436,82119,0.849026
11.5,900000,345000,70,29,125900,84525,0.834221
11.6,885000,360000,72,32,126380,87421,0.849026
11.7,870000,390000,72,35,126844,84525,0.873267
11.8,825000,420000,73,27,127292,90417,0.904306
11.9,915000,330000,73,33,127772,94377,0.819144
12,855000,390000,74,35,128236,94377,0.87758
12.1,855000,405000,73,36,128684,94377,0.886878
12.2,840000,405000,74,37,129132,94377,0.891203
12.3,840000,405000,74,38,129580,94377,0.891203
12.4,825000,420000,75,38,130028,95423,0.904306
12.5,825000,420000,75,42,130460,98319,0.904306
12.6,810000,450000,83,43,130908,95423,0.924528
12.7,768000,480000,98,34,131307,102129,0.949438
12.8,880640,360000,103,42,131802,105080,0.850261
12.9,805440,450000,103,43,132342,105080,0.925791
13,810040,435000,104,46,132882,105080,0.916811
13.1,778800,465000,106,46,133422,105080,0.940158
13.2,777760,465000,106,47,133932,105080,0.940437
13.3,793800,465000,105,47,134457,105464,0.936131
13.4,774040,465000,104,54,134967,108360,0.941434
13.5,767520,480000,106,52,135492,105464,0.949561
13.6,692720,555000,108,43,135972,113651,0.987963
13.7,863840,390000,102,52,136497,115566,0.875031
13.8,735760,510000,104,53,137007,115566,0.968203
13.9,756240,495000,106,55,137517,115566,0.95823
14,735760,510000,104,56,137997,115566,0.968203
14.1,729600,525000,106,56,138492,115566,0.974094
14.2,730640,510000,106,57,138987,115566,0.969341
14.3,724480,525000,106,65,139467,118462,0.975145
14.4,702960,540000,108,58,139936,116737,0.983102
14.5,686200,570000,105,54,140342,122759,0.991516
14.6,779160,465000,106,61,140832,124449,0.940062
14.7,687600,555000,104,62,141252,124449,0.988741
14.8,724480,525000,106,65,141714,124449,0.975145
14.9,676320,570000,106,65,142134,124449,0.992775
15,697840,555000,108,65,142582,124449,0.987168
15.1,692720,555000,106,69,143002,127345,0.987963
15.2,681440,570000,108,73,143436,124449,0.992133
15.3,649680,600000,108,62,143842,126099,0.998422
15.4,674920,570000,105,63,144234,131307,0.992947
15.5,725880,525000,106,68,144696,131307,0.974859
15.6,659920,585000,106,69,145102,131307,0.996391
15.7,687600,555000,106,72,145536,131307,0.988741
15.8,659920,600000,106,72,145942,131307,0.997743
15.9,644560,600000,108,72,146362,131307,0.99872
16,665040,585000,108,79,146768,134203,0.995917
16.1,654800,585000,108,82,147174,131307,0.99684
16.2,601520,648320,110,72,147566,133789,0.9986
16.3,708080,543600,104,71,147958,135224,0.983025
16.4,644560,600000,110,72,148406,135224,0.99872
16.5,659920,585000,108,74,148798,135224,0.996391
16.6,666080,585000,108,77,149218,135224,0.995817
16.7,643520,615000,108,77,149610,135224,0.999487
16.8,644560,600000,108,78,149999,135224,0.99872
16.9,626760,615000,109,89,150363,138120,0.99991
17,639440,615000,109,84,150740,135224,0.999621
17.1,622000,627200,107,70,151078,135792,0.999983
17.2,709120,537840,105,73,151481,135792,0.981482
17.3,623400,615000,108,74,151858,135792,0.999954
17.4,671200,585000,108,76,152248,135792,0.995313
17.5,633280,615000,108,76,152612,135792,0.999786
17.6,649680,600000,106,77,152976,135792,0.998422
17.7,633280,615000,108,80,153353,138688,0.999786
17.8,633280,615000,108,93,153717,135792,0.999786
17.9,628160,609520,110,80,154094,135792,0.999773
18,638400,616560,106,68,154432,135792,0.999697
18.1,707720,540000,109,74,154861,135792,0.982252
18.2,638400,615000,107,74,155212,135792,0.999652
18.3,672600,570000,106,77,155602,135792,0.993229
18.4,622000,630000,108,77,155966,135792,0.999959
18.5,660960,585000,106,79,156343,135792,0.996297
18.6,622000,615000,108,85,156707,138688,0.999968
18.7,639440,615000,108,91,157084,135576,0.999621
18.8,616880,638040,108,75,157435,135576,0.999716
18.9,671200,574800,106,70,157812,135576,0.99405
19,681440,555000,108,74,158215,135576,0.989651
19.1,644560,615000,108,75,158592,135576,0.99945
19.2,659920,585000,108,77,158969,135576,0.996391
19.3,623040,630000,108,76,159333,135576,0.999969
19.4,659920,585000,106,79,159697,135576,0.996391
19.5,628160,615000,106,90,160061,138472,0.999888
19.6,628160,615000,108,85,160438,135576,0.999888
19.7,616880,638160,108,71,160789,135576,0.999713
19.8,707720,541880,105,73,161179,135576,0.982692
19.9,650040,600000,108,74,161548,135576,0.9984
