Time,Flow1_NewReno_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,526080,526080,10,21,31856,53576,1
0.5,510000,735000,30,66,57920,114392,0.968372
0.6,345000,900000,39,74,66856,128872,0.834221
0.7,465000,780000,44,70,67414,128872,0.939836
0.8,420000,825000,38,75,67752,128872,0.904306
0.9,420000,840000,41,73,68202,128872,0.9
1,540000,705000,37,56,68682,129705,0.982739
1.1,435000,810000,34,26,69072,91991,0.916822
1.2,675000,570000,38,47,69792,94887,0.992937
1.3,570000,690000,38,48,70347,91991,0.991011
1.4,555000,690000,39,50,70898,91991,0.988379
1.5,525000,720000,37,52,71362,91991,0.976056
1.6,525000,720000,40,49,71913,94887,0.976056
1.7,570000,675000,41,47,72459,91991,0.992937
1.8,585000,675000,40,50,72991,91991,0.994924
1.9,525000,720000,37,54,73439,91991,0.976056
2,510000,735000,44,43,73999,86378,0.968372
2.1,645000,600000,41,46,74559,86378,0.998695
2.2,585000,675000,40,48,75084,86378,0.994924
2.3,540000,705000,39,48,75543,86378,0.982739
2.4,570000,675000,45,37,76137,77082,0.992937
2.5,675000,570000,40,42,76677,77082,0.992937
2.6,600000,645000,41,41,77217,77082,0.998695
2.7,630000,630000,41,41,77780,77082,1
2.8,630000,615000,44,39,78352,77082,0.999855
2.9,660000,585000,44,43,78924,79978,0.996384
3,630000,615000,40,41,79418,77082,0.999855
3.1,630000,630000,45,41,80016,77082,1
3.2,645000,600000,46,38,80588,73948,0.998695
3.3,675000,570000,44,42,81116,76844,0.992937
3.4,645000,600000,43,39,81641,73948,0.998695
3.5,645000,600000,46,37,82216,71362,0.998695
3.6,690000,570000,47,37,82791,71362,0.991011
3.7,705000,540000,44,41,83341,74258,0.982739
3.8,645000,600000,45,34,83891,66356,0.998695
3.9,705000,540000,45,35,84443,66356,0.982739
4,705000,555000,46,34,85019,66356,0.986026
4.1,720000,525000,47,36,85595,69252,0.976056
4.2,705000,540000,48,32,86171,66356,0.982739
4.3,735000,510000,47,35,86747,66356,0.968372
4.4,705000,540000,47,36,87299,66356,0.982739
4.5,720000,540000,47,36,87854,66356,0.98
4.6,705000,540000,49,32,88406,66356,0.982739
4.7,765000,480000,48,36,88981,66356,0.950207
4.8,705000,540000,47,36,89510,64623,0.982739
4.9,705000,555000,49,33,90062,64623,0.986026
5,735000,510000,52,31,90660,64623,0.968372
5.1,780000,465000,48,35,91210,64623,0.939836
5.2,720000,525000,51,31,91760,60540,0.976056
5.3,765000,480000,52,31,92332,60540,0.950207
5.4,780000,480000,49,35,92860,63436,0.946352
5.5,735000,510000,50,29,93410,60540,0.968372
5.6,780000,465000,52,31,94004,60540,0.939836
5.7,780000,465000,53,31,94576,60540,0.939836
5.8,795000,465000,50,35,95126,63436,0.935809
5.9,735000,510000,52,28,95660,60540,0.968372
6,810000,435000,52,32,96227,59046,0.916822
6.1,780000,465000,52,32,96773,59046,0.939836
6.2,780000,465000,53,33,97319,59046,0.939836
6.3,780000,480000,53,28,97865,59046,0.946352
6.4,810000,435000,53,31,98432,59046,0.916822
6.5,780000,465000,54,31,98978,56729,0.939836
6.6,780000,465000,56,29,99545,56729,0.939836
6.7,840000,420000,55,32,100100,59625,0.9
6.8,795000,450000,54,30,100620,56729,0.928687
6.9,795000,450000,55,27,101160,54987,0.928687
7,825000,420000,57,28,101720,54987,0.904306
7.1,840000,405000,57,31,102280,57883,0.891203
7.2,810000,450000,55,26,102800,54987,0.924528
7.3,840000,405000,58,28,103380,54987,0.891203
7.4,840000,405000,56,28,103920,52713,0.891203
7.5,825000,420000,56,29,104460,55609,0.904306
7.6,840000,420000,58,26,105030,52713,0.9
7.7,855000,390000,57,29,105562,52713,0.87758
7.8,825000,420000,57,29,106075,52713,0.904306
7.9,825000,420000,60,27,106626,52713,0.904306
8,855000,390000,60,27,107158,52713,0.87758
8.1,870000,390000,56,30,107671,52713,0.873267
8.2,810000,435000,60,26,108222,51462,0.916822
8.3,870000,375000,61,25,108773,49640,0.8635
8.4,885000,360000,60,26,109324,49640,0.849026
8.5,870000,390000,56,25,109837,49640,0.873267
8.6,855000,390000,62,25,110423,49640,0.87758
8.7,900000,345000,62,27,110963,49640,0.834221
8.8,870000,375000,60,30,111467,52536,0.8635
8.9,810000,435000,65,23,111989,49640,0.916822
9,930000,330000,63,26,112529,49640,0.815157
9.1,885000,360000,61,26,113033,47040,0.849026
9.2,870000,375000,61,26,113555,49936,0.8635
9.3,870000,375000,63,22,114095,47040,0.8635
9.4,945000,315000,63,26,114653,47040,0.8
9.5,885000,360000,62,26,115175,47040,0.849026
9.6,870000,375000,64,24,115715,47040,0.8635
9.7,900000,345000,65,24,116255,47040,0.834221
9.8,885000,360000,66,24,116778,47040,0.849026
9.9,915000,345000,66,23,117288,43822,0.830118
10,915000,330000,67,23,117815,43822,0.819144
10.1,930000,315000,63,26,118308,46718,0.803851
10.2,885000,360000,67,21,118835,43822,0.849026
10.3,975000,285000,66,14,119379,5792,0.769298
10.4,1.035e+06,210000,61,3,119923,5792,0.694876
10.5,1.2e+06,45000,62,4,120603,5792,0.537447
10.6,1.185e+06,60000,61,6,121266,49614,0.550503
10.7,1.095e+06,150000,69,20,121946,55406,0.634463
10.8,975000,285000,68,24,122490,79609,0.769298
10.9,930000,315000,68,27,123017,81292,0.803851
11,885000,360000,70,27,123516,81292,0.849026
11.1,900000,345000,70,32,123996,84188,0.834221
11.2,870000,390000,70,28,124460,84525,0.873267
11.3,885000,360000,70,27,124924,92397,0.849026
11.4,900000,345000,70,32,125404,92397,0.834221
11.5,870000,375000,70,34,125868,92397,0.8635
11.6,840000,405000,73,35,126332,92397,0.891203
11.7,855000,405000,72,35,126780,92397,0.886878
11.8,840000,405000,72,36,127228,92397,0.891203
11.9,840000,405000,73,36,127676,93506,0.891203
12,825000,420000,74,42,128124,96402,0.904306
12.1,810000,450000,74,37,128556,95205,0.924528
12.2,810000,435000,73,35,128972,102812,0.916822
12.3,855000,390000,76,40,129452,102812,0.87758
12.4,810000,435000,76,41,129884,102812,0.916822
12.5,810000,435000,76,43,130316,102812,0.916822
12.6,810000,450000,77,44,130732,103505,0.924528
12.7,780000,465000,92,44,131157,103505,0.939836
12.8,804360,450000,101,45,131577,106401,0.926091
12.9,788000,450000,104,54,132087,106826,0.93063
13,762400,495000,104,46,132597,105688,0.956732
13.1,750760,495000,101,44,133077,113156,0.959555
13.2,805800,435000,106,49,133647,113156,0.918017
13.3,767160,480000,105,52,134157,113156,0.949654
13.4,762760,495000,106,53,134667,113156,0.956644
13.5,750760,495000,105,54,135162,113156,0.959555
13.6,729600,510000,107,54,135657,113156,0.969571
13.7,742280,510000,106,57,136152,116547,0.966739
13.8,734720,510000,106,62,136632,113651,0.968435
13.9,702600,555000,107,52,137112,117433,0.986412
14,736120,510000,104,55,137577,121519,0.968122
14.1,735760,510000,108,57,138102,121519,0.968203
14.2,735760,510000,104,60,138567,121519,0.968203
14.3,702960,540000,106,61,139047,121519,0.983102
14.4,712840,540000,105,62,139512,121519,0.981323
14.5,714600,540000,106,63,139978,121519,0.981
14.6,687600,555000,106,68,140412,124415,0.988741
14.7,702960,540000,106,69,140846,121926,0.983102
14.8,628160,630000,106,59,141238,126099,0.999998
14.9,729600,510000,104,64,141672,130819,0.969571
15,687600,555000,108,67,142134,130819,0.988741
15.1,702960,555000,106,70,142554,130819,0.986355
15.2,654800,585000,108,71,142974,130819,0.99684
15.3,676320,570000,106,72,143380,130819,0.992775
15.4,659560,600000,107,72,143800,130819,0.997769
15.5,666440,585000,106,82,144206,133715,0.995783
15.6,638400,600000,108,78,144612,130819,0.999039
15.7,601520,652920,108,68,144990,135224,0.998324
15.8,729600,507840,106,73,145424,135576,0.968884
15.9,644560,615000,106,73,145830,135576,0.99945
16,665040,585000,108,75,146250,135576,0.995917
16.1,639440,600000,108,77,146656,135576,0.998988
16.2,643520,600000,108,78,147048,135576,0.998777
16.3,644560,615000,108,80,147454,138472,0.99945
16.4,626760,615000,109,91,147846,135576,0.99991
16.5,624440,620840,108,79,148238,135576,0.999992
16.6,643520,605080,106,69,148616,135704,0.999053
16.7,714240,540000,106,74,149064,135704,0.981066
16.8,611760,630000,108,73,149456,135704,0.999784
16.9,692720,555000,106,78,149869,135704,0.987963
17,611760,645000,108,76,150233,135704,0.999301
17.1,649680,600000,108,77,150610,135704,0.998422
17.2,633280,615000,108,82,150974,138600,0.999786
17.3,633280,600000,108,87,151338,135704,0.999272
17.4,628160,623600,110,74,151715,135704,0.999987
17.5,686560,570400,104,71,152066,135704,0.991532
17.6,671200,570000,108,74,152482,135704,0.993396
17.7,654800,600000,106,75,152846,135704,0.998096
17.8,644560,600000,108,77,153236,135224,0.99872
17.9,638400,615000,106,77,153587,135224,0.999652
18,644560,600000,106,78,153964,135224,0.99872
18.1,622000,615000,108,85,154328,138120,0.999968
18.2,639440,615000,108,82,154705,135224,0.999621
18.3,631880,621600,109,70,155069,135224,0.999933
18.4,687600,556360,107,72,155459,135224,0.988992
18.5,650040,600000,108,73,155836,135224,0.9984
18.6,666080,585000,106,76,156213,135224,0.995817
18.7,638400,600000,108,77,156590,135224,0.999039
18.8,638040,615000,107,77,156954,135224,0.999662
18.9,644920,600000,108,79,157331,138120,0.9987
19,628160,615000,106,92,157682,138120,0.999888
19.1,628160,619960,108,83,158059,135224,0.999957
19.2,616880,635600,110,68,158423,135576,0.999777
19.3,735760,512280,106,74,158826,135576,0.968932
19.4,622000,630000,108,74,159190,135576,0.999959
19.5,675960,570000,107,77,159580,135576,0.99282
19.6,623400,630000,108,76,159944,135576,0.999972
19.7,644560,600000,108,77,160321,135576,0.99872
19.8,638400,615000,108,83,160685,138472,0.999652
19.9,644560,600000,106,88,161049,135576,0.99872
