Time,NewReno_1_Bps,Bbr_2_Bps,NewReno_1_PktLoss,Bbr_2_PktLoss,NewReno_1_Cwnd,Bbr_2_Cwnd,JainsFairnessIndex
11.2,450000,795000,77,66,122150,325232,0.928687
11.3,915000,336760,46,89,54184,120920,0.824137
11.4,441600,805800,62,18,50079,165552,0.921451
11.5,979960,137280,29,42,51225,66983,0.637391
11.6,615000,495000,47,21,52385,66983,0.988448
11.7,870000,270000,37,94,53322,133591,0.78308
11.8,465000,780000,43,48,54018,159655,0.939836
11.9,645000,607560,38,41,54740,191991,0.999107
12,735000,510000,42,52,55714,209360,0.968372
12.1,645000,600000,44,60,56528,209360,0.998695
12.2,600000,645000,44,65,57252,209360,0.998695
12.3,570000,690000,45,69,57936,209360,0.991011
12.4,555000,679160,46,75,58610,209360,0.98998
12.5,555000,693160,47,83,59275,212256,0.987896
12.6,570000,685360,46,81,59905,212256,0.991626
12.7,570000,680400,46,78,60552,212256,0.992265
12.8,540000,703560,49,78,61198,211920,0.982995
12.9,585000,664360,48,79,61839,212008,0.995981
13,570000,675120,49,80,62466,212008,0.992923
13.1,570000,678840,49,81,63093,212008,0.992462
13.2,570000,674240,50,79,63715,212008,0.99303
13.3,570000,683080,50,77,64323,212008,0.991922
13.4,585000,657680,51,78,64963,212008,0.996591
13.5,585000,672680,51,79,65570,212008,0.995163
13.6,600000,652720,51,79,66190,212096,0.998232
13.7,585000,662440,51,78,66779,212096,0.996161
13.8,585000,657320,52,78,67399,212096,0.996623
13.9,600000,645520,52,81,68007,212096,0.998666
14,585000,667200,54,79,68607,212096,0.995709
14.1,600000,652560,52,82,69177,212096,0.998242
14.2,585000,656440,52,80,69747,212096,0.996699
14.3,615000,637200,53,82,70361,212096,0.999686
14.4,585000,666680,54,81,70941,212096,0.99576
14.5,615000,626080,54,81,71521,212096,0.99992
14.6,600000,641800,54,80,72101,212096,0.998868
14.7,615000,646560,54,81,72668,212096,0.999375
14.8,600000,645160,56,80,73256,211496,0.998686
14.9,615000,631560,55,79,73816,211496,0.999824
15,615000,630160,57,80,74404,211496,0.999852
15.1,615000,640920,56,79,74962,211496,0.999574
15.2,600000,635280,57,80,75502,211496,0.999185
15.3,615000,635800,58,78,76069,211496,0.999724
15.4,630000,618520,58,79,76636,211920,0.999915
15.5,630000,624520,59,79,77203,211920,0.999981
15.6,630000,614120,57,81,77740,211920,0.999837
15.7,615000,637240,59,81,78286,211920,0.999685
15.8,615000,627680,58,79,78806,211920,0.999896
15.9,630000,613760,60,80,79378,211920,0.99983
16,630000,628760,61,79,79924,211920,0.999999
16.1,645000,603520,60,80,80470,211920,0.998897
16.2,630000,613760,60,80,81002,211920,0.99983
16.3,630000,620280,61,79,81527,211920,0.99994
16.4,645000,607240,60,80,82052,211920,0.999092
16.5,630000,613760,61,80,82577,211920,0.99983
16.6,645000,603880,62,82,83127,211920,0.998917
16.7,630000,618520,62,80,83652,211920,0.999915
16.8,645000,598760,64,81,84189,211920,0.99862
16.9,645000,602120,63,81,84693,211920,0.998819
17,645000,603520,62,81,85197,210808,0.998897
17.1,645000,598760,64,81,85725,210808,0.99862
17.2,660000,602120,64,81,86253,210808,0.997901
17.3,630000,613760,64,80,86757,210808,0.99983
17.4,660000,587120,65,83,87285,210808,0.996597
17.5,660000,592240,65,83,87795,210808,0.997081
17.6,645000,593640,64,81,88278,210808,0.998284
17.7,645000,608640,66,79,88784,210808,0.99916
17.8,660000,586600,66,80,89290,210808,0.996545
17.9,660000,582000,67,80,89796,210896,0.996071
18,660000,596480,67,82,90302,210896,0.997451
18.1,660000,586600,67,82,90808,211144,0.996545
18.2,660000,592240,68,83,91308,211144,0.997081
18.3,660000,582880,68,82,91792,211144,0.996165
18.4,660000,582000,68,82,92276,211144,0.996071
