Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
11.2,360000,890480,10,64,48963,133216,0.847484
11.3,420000,820800,9,70,52054,133216,0.905518
11.4,375000,874080,14,68,53683,133216,0.862332
11.5,435000,820800,16,68,53683,133216,0.913759
11.6,435000,804400,17,70,53816,133216,0.918415
11.7,465000,782880,20,72,56182,133216,0.939064
11.8,450000,794160,20,70,58959,133216,0.92892
11.9,495000,761360,21,74,58959,133216,0.956985
12,495000,746000,22,74,58959,133216,0.9607
12.1,510000,749720,24,75,61855,133216,0.965053
12.2,525000,714600,21,76,59700,133216,0.97714
12.3,480000,776360,25,75,62786,133216,0.94729
12.4,540000,698200,26,78,63518,133216,0.983938
12.5,525000,724480,28,76,66414,133216,0.975145
12.6,555000,701560,28,79,63518,133216,0.986579
12.7,525000,719720,31,72,67836,133216,0.976112
12.8,585000,665040,32,80,67836,133216,0.995917
12.9,555000,686560,35,78,68566,133216,0.988896
13,585000,659920,36,80,68566,133216,0.996391
13.1,585000,670160,33,78,69619,133216,0.995418
13.2,570000,681440,36,80,69619,133216,0.992133
13.3,600000,643520,37,80,71608,133216,0.998777
13.4,585000,659920,40,80,74504,133216,0.996391
13.5,630000,622000,32,82,71608,133216,0.999959
13.6,540000,702960,38,76,71608,133216,0.983102
13.7,615000,643520,38,80,71608,133216,0.999487
13.8,585000,653400,38,79,71608,133216,0.996959
13.9,600000,655160,36,80,71608,133216,0.998072
14,570000,674920,38,75,71608,133216,0.992947
14.1,615000,628520,37,82,71608,133216,0.999882
14.2,585000,665040,38,78,71608,133216,0.995917
14.3,600000,643520,41,82,74504,133216,0.998777
14.4,615000,638400,34,82,71608,133216,0.999652
14.5,570000,681440,37,80,71608,133216,0.992133
14.6,600000,643520,36,80,69367,133216,0.998777
14.7,585000,665040,37,80,72263,133216,0.995917
14.8,600000,653400,31,81,69367,133216,0.998188
14.9,540000,708080,36,75,69367,133216,0.982187
15,600000,650040,36,80,69367,133216,0.9984
15.1,570000,665040,37,78,69367,133216,0.994113
15.2,600000,659920,35,78,69256,133216,0.997743
15.3,570000,665040,34,78,69256,133216,0.994113
15.4,585000,665040,35,80,69256,133216,0.995917
15.5,585000,665040,37,78,69256,133216,0.995917
15.6,585000,659920,38,80,72152,133216,0.996391
15.7,600000,648640,32,82,69256,133216,0.998485
15.8,540000,708080,36,78,69256,133216,0.982187
15.9,615000,638400,35,82,68300,133216,0.999652
16,570000,674920,36,79,68626,133216,0.992947
16.1,600000,650040,33,80,68626,133216,0.9984
16.2,540000,708080,35,74,68626,133216,0.982187
16.3,600000,653400,35,79,68626,133216,0.998188
16.4,585000,655160,36,80,68626,133216,0.99681
16.5,585000,659920,39,80,71522,133216,0.996391
16.6,585000,670160,32,78,68626,133216,0.995418
16.7,570000,681440,35,78,68626,133216,0.992133
16.8,600000,643520,35,82,68626,133216,0.998777
16.9,570000,674920,37,81,71522,133216,0.992947
17,600000,655160,31,80,68626,133216,0.998072
17.1,540000,702960,35,76,68626,133216,0.983102
17.2,600000,643520,35,80,68626,133216,0.998777
17.3,570000,681440,36,76,68626,133216,0.992133
17.4,600000,643520,35,80,68626,133216,0.998777
17.5,570000,686560,33,76,68626,133216,0.991469
17.6,570000,670160,36,82,68626,133216,0.993519
17.7,600000,654800,36,80,68626,133216,0.998096
17.8,585000,665040,38,80,71522,133216,0.995917
17.9,600000,643520,31,82,68626,133216,0.998777
18,540000,708080,35,78,68626,133216,0.982187
18.1,600000,653400,35,81,68626,133216,0.998188
18.2,570000,676680,36,78,68626,133216,0.992731
18.3,615000,638400,31,80,68626,133216,0.999652
18.4,540000,708080,34,74,68662,133216,0.982187
18.5,585000,658520,35,81,68662,133216,0.996517
18.6,585000,659920,36,79,68662,133216,0.996391
18.7,585000,671560,37,78,68662,133216,0.995277
18.8,585000,648640,32,80,68662,133216,0.997346
18.9,555000,696440,36,79,68662,133216,0.987387
19,600000,650040,36,80,68662,133216,0.9984
19.1,585000,659920,38,80,71558,133216,0.996391
19.2,600000,648640,31,82,68662,133216,0.998485
19.3,540000,708080,35,76,68662,133216,0.982187
19.4,615000,638400,34,82,68662,133216,0.999652
19.5,555000,686560,36,78,68662,133216,0.988896
19.6,600000,659920,34,80,68565,133216,0.997743
19.7,555000,686560,34,76,68565,133216,0.988896
19.8,585000,665040,35,80,68565,133216,0.995917
19.9,585000,665040,37,78,68565,133216,0.995917
