Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
11.1,540000,708080,45,77,72011,133216,0.982187
11.2,615000,638400,45,83,72011,133216,0.999652
11.3,585000,658520,47,82,72011,133216,0.996517
11.4,600000,650040,46,83,72011,133216,0.9984
11.5,585000,659920,44,81,72011,133216,0.996391
11.6,585000,665040,46,83,72011,133216,0.995917
11.7,600000,638400,47,83,72011,133216,0.999039
11.8,585000,665040,49,83,74907,133216,0.995917
11.9,630000,616880,41,85,72011,133216,0.999889
12,540000,708080,47,79,72011,133216,0.982187
12.1,615000,637000,46,84,72011,133216,0.999691
12.2,585000,671560,47,81,72011,133216,0.995277
12.3,600000,638400,46,83,72011,133216,0.999039
12.4,585000,665040,45,81,72011,133216,0.995917
12.5,585000,665040,46,83,70671,133216,0.995917
12.6,600000,643520,47,83,70671,133216,0.998777
12.7,600000,654800,48,83,73567,133216,0.998096
12.8,600000,643520,41,85,70671,133216,0.998777
12.9,555000,686560,45,83,70671,133216,0.988896
13,615000,643520,45,85,70671,133216,0.999487
13.1,570000,681440,46,81,70671,133216,0.992133
13.2,600000,643520,43,83,70671,133216,0.998777
13.3,555000,686560,45,79,70671,133216,0.988896
13.4,600000,658520,46,82,70671,133216,0.997843
13.5,585000,650040,47,81,70567,133216,0.997234
13.6,600000,659920,48,83,73463,133216,0.997743
13.7,600000,638400,42,83,70567,133216,0.999039
13.8,555000,691680,46,83,70567,133216,0.988123
13.9,615000,638400,45,83,70448,133216,0.999652
14,570000,686560,47,81,73344,133216,0.991469
14.1,615000,622000,40,85,70448,133216,0.999968
14.2,540000,717960,45,78,70448,133216,0.98038
14.3,615000,628520,45,83,70448,133216,0.999882
14.4,570000,680040,46,80,70448,133216,0.99231
14.5,600000,644920,45,83,70448,133216,0.9987
14.6,585000,665040,43,81,70448,133216,0.995917
14.7,585000,665040,45,83,70448,133216,0.995917
14.8,585000,665040,46,83,70448,133216,0.995917
14.9,585000,659920,49,83,73344,133216,0.996391
15,630000,622000,39,85,70448,133216,0.999959
