Time,Dctcp_1_Bps,Dctcp_2_Bps,Dctcp_1_PktLoss,Dctcp_2_PktLoss,Dctcp_1_Cwnd,Dctcp_2_Cwnd,JainsFairnessIndex
7.5,255000.0,990000.0,59.0,39.0,110216.0,108979.0,0.74155
7.6,861280.0,379840.0,84.0,88.0,110216.0,110427.0,0.869208
7.7,743760.0,510000.0,102.0,68.0,111664.0,110427.0,0.966405
7.8,660000.0,585000.0,82.0,90.0,111664.0,109794.0,0.996384
7.9,480000.0,765000.0,103.0,43.0,113112.0,109794.0,0.9502070000000001
8.0,900000.0,360000.0,83.0,93.0,113112.0,111242.0,0.844828
8.1,240000.0,996800.0,86.0,71.0,111008.0,111242.0,0.727578
8.2,862000.0,390000.0,63.0,75.0,111008.0,110847.0,0.87556
8.3,375000.0,870000.0,85.0,95.0,112456.0,112295.0,0.8635
8.4,149200.0,1098800.0,106.0,74.0,113904.0,112295.0,0.633326
8.5,1125000.0,135000.0,87.0,90.0,112158.0,113743.0,0.618297
8.6,165000.0,1080000.0,77.0,85.0,112158.0,112210.0,0.649293
8.7,660000.0,585000.0,35.0,48.0,112158.0,112210.0,0.996384
8.8,16400.0,783640.0,34.0,75.0,112158.0,115106.0,0.520919
8.9,3160.0,1245000.0,33.0,77.0,112158.0,116554.0,0.502538
9.0,0.0,1245000.0,33.0,77.0,112158.0,118002.0,0.5
9.1,0.0,1245000.0,33.0,79.0,112158.0,119450.0,0.5
9.2,0.0,1245000.0,33.0,79.0,112158.0,120898.0,0.5
9.3,0.0,1245000.0,33.0,81.0,112158.0,122346.0,0.5
9.4,0.0,1260000.0,33.0,82.0,112158.0,123794.0,0.5
9.5,0.0,1245000.0,33.0,82.0,112158.0,125242.0,0.5
9.6,0.0,1245000.0,33.0,84.0,112158.0,126690.0,0.5
9.7,0.0,1245000.0,34.0,86.0,1448.0,128138.0,0.5
9.8,15000.0,1245000.0,34.0,86.0,1448.0,129586.0,0.512046
9.9,15000.0,1230000.0,33.0,88.0,1448.0,131034.0,0.512193
10.0,0.0,1252920.0,33.0,106.0,1448.0,131034.0,0.5
10.1,0.0,1246320.0,35.0,109.0,2896.0,132482.0,0.5
10.2,30000.0,1213640.0,37.0,109.0,5792.0,133930.0,0.524704
10.3,60000.0,1190720.0,37.0,113.0,8688.0,135378.0,0.550262
10.4,120000.0,1121040.0,33.0,121.0,11584.0,136826.0,0.605831
10.5,0.0,1245400.0,49.0,110.0,23168.0,138274.0,0.5
10.6,240000.0,1008320.0,65.0,110.0,46336.0,138274.0,0.7252579999999998
10.7,480000.0,777760.0,97.0,110.0,92672.0,139722.0,0.946929
10.8,195000.0,1051360.0,84.0,126.0,92672.0,141170.0,0.679306
