Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow3_Bbr_Bps,Flow4_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow3_PktLoss,Flow4_PktLoss,Flow1_Cwnd,Flow2_Cwnd,Flow3_Cwnd,Flow4_Cwnd,JainsFairnessIndex
5.0,375000.0,300000.0,255000.0,315000.0,62.0,47.0,30.0,49.0,74637.0,57199.0,49678.0,91599.0,0.9813389999999999
5.1,435000.0,285000.0,180000.0,360000.0,58.0,51.0,31.0,45.0,70981.0,58647.0,51126.0,91599.0,0.9177940000000001
5.2,390000.0,270000.0,210000.0,375000.0,53.0,49.0,31.0,44.0,70981.0,58647.0,51126.0,91599.0,0.945772
5.3,405000.0,270000.0,255000.0,315000.0,61.0,58.0,31.0,48.0,69103.0,66234.0,52574.0,93047.0,0.965928
5.4,408960.0,285000.0,195000.0,360000.0,57.0,68.0,34.0,50.0,69103.0,81483.0,52574.0,93144.0,0.9372190000000001
5.5,345000.0,330000.0,240000.0,330000.0,62.0,53.0,35.0,28.0,67514.0,57030.0,54022.0,81799.0,0.982459
5.6,389800.0,337880.0,195000.0,330000.0,61.0,71.0,30.0,48.0,67514.0,72592.0,54022.0,81799.0,0.9498099999999999
5.7,405000.0,525000.0,315000.0,0.0,66.0,48.0,31.0,62.0,67514.0,52916.0,48977.0,81799.0,0.719102
5.8,407840.0,150000.0,75000.0,615000.0,65.0,63.0,37.0,22.0,68962.0,52916.0,48977.0,81799.0,0.679741
5.9,375000.0,300000.0,360000.0,225000.0,66.0,54.0,28.0,50.0,66179.0,50687.0,50425.0,73108.0,0.966046
6.0,465000.0,225000.0,135000.0,412840.0,69.0,66.0,38.0,21.0,66179.0,50687.0,51873.0,73108.0,0.840948
6.1,420000.0,330000.0,315000.0,186600.0,67.0,60.0,33.0,46.0,66179.0,50687.0,51873.0,76004.0,0.9338989999999999
6.2,465000.0,270000.0,180000.0,330000.0,78.0,64.0,40.0,36.0,69075.0,52135.0,53321.0,76004.0,0.9002880000000001
6.3,390000.0,285000.0,270000.0,300000.0,72.0,59.0,32.0,50.0,69075.0,52135.0,53321.0,77452.0,0.977995
