Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
7.5,880240.0,375000.0,108.0,43.0,188519.0,85432.0,0.860578
7.6,901760.0,345000.0,106.0,43.0,188519.0,86880.0,0.833736
7.7,895600.0,345000.0,107.0,47.0,188519.0,88328.0,0.8354399999999998
7.8,853600.0,390000.0,110.0,46.0,188519.0,89776.0,0.8779850000000001
7.9,900360.0,360000.0,106.0,49.0,188519.0,91224.0,0.844728
8.0,863840.0,375000.0,107.0,47.0,188519.0,92672.0,0.8652729999999998
8.1,867560.0,390000.0,84.0,51.0,129024.0,95568.0,0.873965
8.2,840920.0,405000.0,12.0,51.0,152400.0,97016.0,0.890936
8.3,117280.0,840000.0,10.0,40.0,15873.0,98464.0,0.636949
8.4,120000.0,795000.0,13.0,26.0,21665.0,99912.0,0.647581
8.5,210000.0,570000.0,12.0,48.0,27632.0,102808.0,0.8243899999999998
8.6,205000.0,780000.0,12.666666666666666,46.0,30528.0,105704.0,0.7457873333333334
8.7,245000.0,875000.0,15.333333333333334,30.666666666666668,35951.0,107152.0,0.759544
8.8,345000.0,670000.0,18.0,46.0,43905.666666666664,110048.0,0.9063916666666666
8.9,445000.0,780000.0,19.333333333333332,46.666666666666664,48605.333333333336,112944.0,0.929548
9.0,450000.0,795000.0,23.0,43.666666666666664,57862.0,115840.0,0.928687
9.1,490000.0,755000.0,23.666666666666668,48.666666666666664,59567.0,118736.0,0.9565610000000001
9.2,515000.0,745000.0,26.0,51.666666666666664,60690.333333333336,121632.0,0.9676503333333333
9.3,505000.0,740000.0,31.333333333333332,54.333333333333336,61267.666666666664,125493.33333333333,0.965494
9.4,520000.0,725000.0,32.0,57.0,63439.0,128872.0,0.973161
9.5,535000.0,710000.0,33.333333333333336,64.33333333333333,62690.666666666664,131768.0,0.9801636666666668
9.6,520000.0,729826.6666666666,37.0,76.0,63231.333333333336,133216.0,0.9725106666666666
9.7,560000.0,694746.6666666666,40.0,79.66666666666667,65162.0,133216.0,0.988521
9.8,560000.0,683093.3333333334,38.666666666666664,82.33333333333333,65592.0,133216.0,0.9896886666666668
9.9,550000.0,700906.6666666666,40.0,82.33333333333333,65559.33333333333,133216.0,0.9823216666666666
10.0,560000.0,683146.6666666666,42.666666666666664,81.0,66097.33333333333,133216.0,0.9874510000000001
10.1,585000.0,667866.6666666666,44.333333333333336,83.0,68355.33333333333,133216.0,0.9947023333333332
10.2,590000.0,660506.6666666666,40.0,81.66666666666667,66424.66666666667,133216.0,0.996311
10.3,540000.0,703733.3333333334,26.333333333333332,80.33333333333333,5792.0,133216.0,0.9816583333333334
10.4,270000.0,982266.6666666666,11.666666666666666,53.666666666666664,5792.0,133216.0,0.7554483333333334
10.5,100000.0,854026.6666666666,13.0,74.33333333333333,5792.0,133216.0,0.6154956666666667
10.6,120000.0,1005493.3333333334,12.333333333333334,61.666666666666664,49219.333333333336,133216.0,0.6177
10.7,355000.0,768413.3333333334,30.333333333333332,72.0,71727.33333333333,133216.0,0.8798443333333333
10.8,530000.0,715253.3333333334,35.333333333333336,80.66666666666667,71727.33333333333,133216.0,0.9779733333333334
10.9,535000.0,717080.0,38.333333333333336,79.0,70940.0,133216.0,0.9765566666666667
11.0,560000.0,684733.3333333334,41.333333333333336,81.33333333333333,70940.0,133216.0,0.98848
11.1,575000.0,677333.3333333334,43.666666666666664,81.33333333333333,71053.0,133216.0,0.9926156666666666
11.2,580000.0,665506.6666666666,45.666666666666664,81.66666666666667,72018.33333333333,133216.0,0.9945043333333334
11.3,590000.0,653986.6666666666,43.333333333333336,82.0,72056.33333333333,133216.0,0.9958300000000001
11.4,570000.0,679266.6666666666,46.0,81.66666666666667,72454.66666666667,133216.0,0.9919703333333333
11.5,600000.0,647400.0,47.0,84.0,72622.66666666667,133216.0,0.9981783333333333
11.6,600000.0,651160.0,48.666666666666664,83.66666666666667,74087.33333333333,133216.0,0.9979896666666667
11.7,610000.0,638400.0,46.666666666666664,83.66666666666667,74087.33333333333,133216.0,0.9994476666666667
11.8,585000.0,665040.0,45.666666666666664,82.33333333333333,73122.0,133216.0,0.9953876666666668
11.9,590000.0,653986.6666666666,47.666666666666664,82.0,73122.0,133216.0,0.9956596666666666
12.0,605000.0,647280.0,48.333333333333336,83.33333333333333,74087.33333333333,133216.0,0.9981033333333333
12.1,600000.0,647280.0,47.333333333333336,82.66666666666667,74087.33333333333,133216.0,0.9976073333333333
12.2,600000.0,647280.0,45.666666666666664,82.66666666666667,73122.0,133216.0,0.9961456666666667
12.3,580000.0,666746.6666666666,47.333333333333336,82.0,73122.0,133216.0,0.993182
12.4,600000.0,643986.6666666666,48.0,83.66666666666667,73122.0,133216.0,0.9973396666666666
12.5,605000.0,643400.0,48.0,82.66666666666667,73122.0,133216.0,0.9989596666666666
12.6,605000.0,645693.3333333334,47.333333333333336,83.66666666666667,74087.33333333333,133216.0,0.9984286666666667
12.7,590000.0,656160.0,45.333333333333336,83.66666666666667,73122.0,133216.0,0.9969576666666667
12.8,585000.0,664573.3333333334,47.333333333333336,82.66666666666667,72829.66666666667,133216.0,0.9949143333333333
12.9,610000.0,638866.6666666666,47.333333333333336,84.33333333333333,72983.0,133216.0,0.999234
13.0,590000.0,654453.3333333334,46.333333333333336,83.0,73122.66666666667,133216.0,0.9971863333333334
13.1,595000.0,657866.6666666666,45.0,82.33333333333333,72157.33333333333,133216.0,0.9936226666666667
13.2,585000.0,661160.0,45.666666666666664,82.0,72437.33333333333,133216.0,0.9935936666666666
13.3,590000.0,656626.6666666666,47.333333333333336,83.66666666666667,72671.33333333333,133216.0,0.9951036666666667
13.4,605000.0,643520.0,47.0,83.66666666666667,72797.0,133216.0,0.9984573333333334
13.5,590000.0,661626.6666666666,48.333333333333336,81.66666666666667,74727.66666666667,133216.0,0.9954303333333333
13.6,615000.0,630760.0,44.0,84.0,72797.0,133216.0,0.9994943333333334
13.7,565000.0,684853.3333333334,48.0,81.33333333333333,72797.0,133216.0,0.9894276666666667
13.8,615000.0,634760.0,48.0,84.33333333333333,73762.33333333333,133216.0,0.9993120000000001
13.9,595000.0,651040.0,46.0,82.33333333333333,72797.0,133216.0,0.997842
14.0,590000.0,657866.6666666666,46.333333333333336,83.0,72797.0,133216.0,0.996465
14.1,595000.0,655573.3333333334,45.666666666666664,81.66666666666667,72797.0,133216.0,0.9967126666666667
14.2,590000.0,658333.3333333334,47.333333333333336,83.33333333333333,73762.33333333333,133216.0,0.996149
14.3,605000.0,638520.0,46.333333333333336,83.66666666666667,72797.0,133216.0,0.9986566666666666
14.4,585000.0,663333.3333333334,48.333333333333336,81.66666666666667,74727.66666666667,133216.0,0.994722
14.5,610000.0,637933.3333333334,45.0,83.33333333333333,72562.66666666667,133216.0,0.999418
14.6,570000.0,677680.0,47.333333333333336,80.66666666666667,72119.0,133216.0,0.9923046666666666
14.7,615000.0,638053.3333333334,46.666666666666664,84.0,72119.0,133216.0,0.9994196666666667
14.8,590000.0,651506.6666666666,46.0,82.33333333333333,72168.66666666667,133216.0,0.9974006666666666
14.9,590000.0,657866.6666666666,47.333333333333336,83.0,73134.0,133216.0,0.996341
15.0,600000.0,653986.6666666666,45.0,82.0,72168.66666666667,133216.0,0.9969373333333333
15.1,575000.0,668920.0,47.666666666666664,83.66666666666667,73134.0,133216.0,0.9934176666666668
15.2,620000.0,631226.6666666666,45.333333333333336,83.66666666666667,72704.33333333333,133216.0,0.999731
15.3,580000.0,666746.6666666666,47.666666666666664,82.33333333333333,73669.66666666667,133216.0,0.9942723333333333
15.4,610000.0,638400.0,44.0,83.66666666666667,72704.33333333333,133216.0,0.9994476666666667
15.5,565000.0,682680.0,47.333333333333336,80.0,72704.33333333333,133216.0,0.990908
15.6,610000.0,636813.3333333334,47.333333333333336,83.66666666666667,72704.33333333333,133216.0,0.9989483333333333
15.7,590000.0,656160.0,46.666666666666664,82.33333333333333,72704.33333333333,133216.0,0.9970283333333333
15.8,600000.0,652746.6666666666,48.0,83.0,73669.66666666667,133216.0,0.9971456666666666
15.9,605000.0,638053.3333333334,44.666666666666664,83.0,72704.33333333333,133216.0,0.9990766666666667
16.0,575000.0,673800.0,47.666666666666664,82.66666666666667,73669.66666666667,133216.0,0.9922553333333334
16.1,615000.0,635106.6666666666,45.333333333333336,83.66666666666667,72442.0,133216.0,0.9997286666666666
16.2,575000.0,675626.6666666666,48.333333333333336,81.66666666666667,73928.33333333333,133216.0,0.9918173333333334
16.3,620000.0,622346.6666666666,45.666666666666664,85.0,72963.0,133216.0,0.9994483333333334
16.4,570000.0,682213.3333333334,47.666666666666664,80.33333333333333,73036.66666666667,133216.0,0.9917429999999999
16.5,620000.0,630106.6666666666,45.333333333333336,84.33333333333333,72660.66666666667,133216.0,0.999286
16.6,570000.0,677213.3333333334,47.666666666666664,80.0,72660.66666666667,133216.0,0.9913810000000001
16.7,610000.0,635106.6666666666,48.0,83.66666666666667,73626.0,133216.0,0.999461
16.8,605000.0,646813.3333333334,44.666666666666664,83.33333333333333,73095.0,133216.0,0.9978316666666668
16.9,575000.0,670506.6666666666,47.666666666666664,82.0,73095.0,133216.0,0.9925039999999999
17.0,610000.0,635106.6666666666,46.666666666666664,83.66666666666667,73145.0,133216.0,0.999122
17.1,590000.0,659453.3333333334,47.666666666666664,82.0,74110.33333333333,133216.0,0.9961720000000001
17.2,610000.0,634640.0,45.666666666666664,84.66666666666667,73145.0,133216.0,0.999492
17.3,585000.0,667213.3333333334,47.0,82.33333333333333,74110.33333333333,133216.0,0.995262
17.4,595000.0,650693.3333333334,46.333333333333336,83.66666666666667,73145.0,133216.0,0.9978236666666667
17.5,595000.0,657746.6666666666,48.0,82.0,73145.0,133216.0,0.9948106666666666
17.6,615000.0,632933.3333333334,47.666666666666664,84.66666666666667,74110.33333333333,133216.0,0.999367
17.7,595000.0,653986.6666666666,44.333333333333336,83.0,72698.0,133216.0,0.9968906666666667
17.8,580000.0,663920.0,46.666666666666664,82.33333333333333,72698.0,133216.0,0.9938363333333333
17.9,600000.0,652746.6666666666,47.0,83.0,72772.33333333333,133216.0,0.9971353333333334
18.0,595000.0,648986.6666666666,47.333333333333336,83.66666666666667,73296.66666666667,133216.0,0.9979110000000001
18.1,605000.0,647280.0,46.0,83.66666666666667,72331.33333333333,133216.0,0.9978496666666667
18.2,575000.0,671746.6666666666,47.333333333333336,81.33333333333333,73296.66666666667,133216.0,0.9925836666666666
18.3,610000.0,635106.6666666666,45.0,84.33333333333333,72331.33333333333,133216.0,0.9987206666666667
18.4,580000.0,667746.6666666666,46.666666666666664,82.0,72555.0,133216.0,0.9911763333333333
18.5,605000.0,649573.3333333334,47.333333333333336,84.0,74485.66666666667,133216.0,0.9978206666666667
18.6,595000.0,647280.0,45.0,83.33333333333333,72788.0,133216.0,0.9959956666666666
18.7,575000.0,667213.3333333334,46.333333333333336,81.66666666666667,72788.0,133216.0,0.993505
18.8,600000.0,654453.3333333334,47.333333333333336,81.66666666666667,72788.0,133216.0,0.9969243333333333
18.9,595000.0,650693.3333333334,47.666666666666664,83.0,72788.0,133216.0,0.9977446666666667
19.0,600000.0,650573.3333333334,48.333333333333336,82.66666666666667,73753.33333333333,133216.0,0.998326
19.1,600000.0,647400.0,46.666666666666664,82.33333333333333,73753.33333333333,133216.0,0.998074
19.2,600000.0,647280.0,45.333333333333336,84.33333333333333,72422.66666666667,133216.0,0.997251
19.3,590000.0,659453.3333333334,47.333333333333336,82.66666666666667,72471.33333333333,133216.0,0.9952719999999999
19.4,605000.0,645106.6666666666,47.333333333333336,83.66666666666667,73436.66666666667,133216.0,0.9988723333333334
19.5,600000.0,643986.6666666666,45.0,84.0,73436.66666666667,133216.0,0.9983173333333334
19.6,580000.0,672213.3333333334,45.0,82.0,72471.33333333333,133216.0,0.9929873333333333
19.7,585000.0,660040.0,47.0,82.33333333333333,72373.33333333333,133216.0,0.9936676666666667
19.8,600000.0,652746.6666666666,48.0,81.66666666666667,72863.33333333333,133216.0,0.9979286666666667
