Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
131.7,630000.0,630000.0,168.0,130.0,78811.0,186934.0,1.0
131.8,645000.0,600000.0,160.0,145.0,75915.0,186934.0,0.998695
131.9,555000.0,686200.0,167.0,128.0,75915.0,184038.0,0.98895
132.0,675000.0,586600.0,163.0,116.0,75915.0,184257.0,0.995114
132.1,705000.0,540000.0,161.0,122.0,75915.0,184257.0,0.982739
132.2,645000.0,600000.0,163.0,124.0,75915.0,184257.0,0.998695
132.3,630000.0,615000.0,162.0,125.0,78350.0,184257.0,0.999855
132.4,630000.0,615000.0,166.0,127.0,78350.0,184257.0,0.999855
132.5,645000.0,615000.0,167.0,128.0,78350.0,184257.0,0.999433
132.6,645000.0,600000.0,169.0,132.0,81246.0,185857.0,0.998695
132.7,645000.0,600000.0,163.0,141.0,78350.0,185857.0,0.998695
132.8,585000.0,667320.0,167.0,140.0,78350.0,185857.0,0.995698
132.9,645000.0,604040.0,168.0,140.0,78350.0,189041.0,0.998926
133.0,630000.0,617560.0,167.0,146.0,78350.0,186145.0,0.999901
133.1,615000.0,626360.0,166.0,125.0,78350.0,186145.0,0.999916
133.2,660000.0,587720.0,164.0,119.0,78350.0,186193.0,0.996655
133.3,690000.0,555000.0,164.0,124.0,78350.0,186193.0,0.988379
133.4,660000.0,600000.0,166.0,127.0,78350.0,186193.0,0.997738
133.5,645000.0,600000.0,169.0,129.0,81246.0,186193.0,0.998695
133.6,645000.0,600000.0,163.0,138.0,77639.0,186193.0,0.998695
133.7,585000.0,668880.0,166.0,137.0,77639.0,186193.0,0.995545
133.8,630000.0,615680.0,167.0,129.0,77639.0,186193.0,0.999868
133.9,630000.0,615680.0,167.0,134.0,77639.0,186193.0,0.999868
134.0,630000.0,621120.0,165.0,137.0,77639.0,186193.0,0.99995
134.1,615000.0,633880.0,166.0,140.0,77639.0,189089.0,0.999772
134.2,615000.0,624000.0,166.0,138.0,77639.0,186193.0,0.999947
134.3,630000.0,632600.0,167.0,117.0,77639.0,186281.0,0.999996
134.4,705000.0,539800.0,167.0,122.0,80535.0,186281.0,0.982692
134.5,690000.0,555000.0,158.0,127.0,77639.0,186281.0,0.988379
134.6,585000.0,660000.0,165.0,126.0,79013.0,186281.0,0.996384
134.7,645000.0,600000.0,167.0,129.0,79013.0,186281.0,0.998695
134.8,645000.0,615000.0,167.0,132.0,79013.0,186281.0,0.999433
134.9,630000.0,615000.0,165.0,140.0,79013.0,186281.0,0.999855
135.0,600000.0,639760.0,169.0,139.0,79013.0,186281.0,0.998973
135.1,645000.0,616400.0,167.0,135.0,79013.0,186281.0,0.999486
135.2,630000.0,607080.0,167.0,136.0,79013.0,189177.0,0.999657
135.3,630000.0,621040.0,169.0,147.0,81909.0,189265.0,0.999949
135.4,630000.0,620440.0,164.0,130.0,79013.0,186369.0,0.999942
135.5,630000.0,617320.0,165.0,118.0,79013.0,186369.0,0.999897
135.6,705000.0,540000.0,165.0,124.0,79013.0,186369.0,0.982739
135.7,645000.0,600000.0,168.0,127.0,81909.0,186369.0,0.998695
135.8,660000.0,600000.0,164.0,129.0,79013.0,183415.0,0.997738
135.9,600000.0,645000.0,167.0,133.0,76217.0,183415.0,0.998695
136.0,630000.0,619160.0,166.0,134.0,76217.0,184257.0,0.999925
136.1,630000.0,621040.0,166.0,128.0,76217.0,184257.0,0.999949
136.2,630000.0,615000.0,167.0,131.0,79113.0,184257.0,0.999855
136.3,630000.0,615000.0,162.0,133.0,76217.0,184257.0,0.999855
136.4,585000.0,664040.0,165.0,140.0,76217.0,187431.0,0.996012
136.5,630000.0,623600.0,166.0,141.0,76217.0,184399.0,0.999974
136.6,615000.0,635960.0,166.0,116.0,79113.0,5792.0,0.999719
136.7,690000.0,555120.0,152.0,76.0,5792.0,5792.0,0.988401
136.8,450000.0,105000.0,125.0,72.0,5792.0,5792.0,0.721286
136.9,105000.0,45000.0,126.0,69.0,5792.0,5792.0,0.862069
137.0,75000.0,30000.0,137.0,71.0,73418.0,5792.0,0.844828
137.1,645000.0,30000.0,136.0,84.0,70224.0,184399.0,0.546411
137.2,630000.0,375000.0,142.0,101.0,75652.0,184399.0,0.939514
137.3,720000.0,525000.0,148.0,108.0,83881.0,184399.0,0.976056
137.4,645000.0,615000.0,150.0,109.0,85530.0,184023.0,0.999433
137.5,675000.0,570000.0,156.0,113.0,85530.0,184023.0,0.992937
137.6,675000.0,570000.0,161.0,117.0,85530.0,184023.0,0.992937
137.7,690000.0,555000.0,169.0,128.0,88426.0,186919.0,0.988379
137.8,705000.0,555000.0,167.0,143.0,85530.0,184023.0,0.986026
137.9,570000.0,666280.0,173.0,128.0,85530.0,184023.0,0.993971
138.0,705000.0,542520.0,172.0,122.0,85530.0,184303.0,0.98332
138.1,735000.0,525000.0,170.0,129.0,85530.0,184303.0,0.972973
138.2,645000.0,600000.0,170.0,134.0,85530.0,184303.0,0.998695
138.3,645000.0,600000.0,173.0,143.0,85530.0,184303.0,0.998695
138.4,660000.0,593640.0,171.0,141.0,85530.0,184303.0,0.997206
138.5,645000.0,604560.0,172.0,137.0,85530.0,184303.0,0.998954
138.6,630000.0,606400.0,171.0,143.0,83830.0,184303.0,0.999636
138.7,645000.0,604560.0,166.0,142.0,80934.0,184303.0,0.998954
138.8,600000.0,649440.0,169.0,136.0,80934.0,184303.0,0.998437
138.9,660000.0,599240.0,168.0,136.0,80934.0,187199.0,0.997677
139.0,615000.0,627400.0,170.0,139.0,80934.0,184303.0,0.9999
139.1,645000.0,598560.0,166.0,120.0,80934.0,184303.0,0.998607
139.2,675000.0,581240.0,166.0,120.0,80934.0,184447.0,0.99446
139.3,690000.0,555000.0,163.0,125.0,75825.0,184447.0,0.988379
139.4,630000.0,615000.0,166.0,126.0,77625.0,184447.0,0.999855
139.5,645000.0,600000.0,168.0,128.0,80521.0,172324.0,0.998695
139.6,645000.0,615000.0,162.0,128.0,77625.0,178358.0,0.999433
139.7,600000.0,645000.0,166.0,125.0,77625.0,178403.0,0.998695
139.8,645000.0,600000.0,166.0,127.0,77625.0,181324.0,0.998695
139.9,645000.0,600000.0,166.0,128.0,77625.0,181324.0,0.998695
140.0,630000.0,615000.0,164.0,130.0,77625.0,184220.0,0.999855
140.1,615000.0,645000.0,166.0,141.0,77625.0,184220.0,0.999433
140.2,615000.0,622200.0,167.0,131.0,77625.0,181324.0,0.999966
140.3,660000.0,591000.0,165.0,116.0,77625.0,184291.0,0.996967
140.4,705000.0,540000.0,166.0,122.0,77625.0,184291.0,0.982739
140.5,675000.0,585000.0,160.0,125.0,79501.0,184291.0,0.994924
140.6,615000.0,630000.0,166.0,125.0,79501.0,184107.0,0.999855
140.7,645000.0,600000.0,167.0,127.0,79501.0,184107.0,0.998695
140.8,645000.0,600000.0,170.0,129.0,82397.0,184107.0,0.998695
140.9,660000.0,600000.0,162.0,136.0,79501.0,184107.0,0.997738
141.0,570000.0,666400.0,169.0,136.0,79501.0,184107.0,0.993958
141.1,645000.0,602480.0,168.0,134.0,79501.0,184107.0,0.99884
141.2,645000.0,616480.0,168.0,136.0,79501.0,187003.0,0.999489
141.3,630000.0,606360.0,167.0,149.0,79501.0,187003.0,0.999635
141.4,615000.0,637880.0,167.0,126.0,79501.0,184203.0,0.999667
141.5,675000.0,568640.0,164.0,119.0,79501.0,184203.0,0.992739
141.6,690000.0,570000.0,165.0,123.0,79501.0,184203.0,0.991011
141.7,660000.0,585000.0,169.0,126.0,82397.0,184203.0,0.996384
141.8,675000.0,570000.0,161.0,130.0,76914.0,184203.0,0.992937
141.9,585000.0,660000.0,166.0,134.0,77369.0,184203.0,0.996384
142.0,630000.0,620560.0,167.0,132.0,77369.0,184203.0,0.999943
142.1,630000.0,615800.0,167.0,129.0,77369.0,184203.0,0.99987
142.2,630000.0,615000.0,165.0,137.0,77369.0,184203.0,0.999855
142.3,615000.0,636360.0,165.0,138.0,77369.0,184203.0,0.999709
142.4,615000.0,633000.0,166.0,146.0,77369.0,187099.0,0.999792
142.5,630000.0,625920.0,167.0,142.0,77369.0,184203.0,0.999989
142.6,615000.0,634160.0,169.0,118.0,80265.0,184203.0,0.999765
142.7,705000.0,542960.0,158.0,121.0,77369.0,184075.0,0.98342
142.8,630000.0,615000.0,161.0,122.0,77369.0,184075.0,0.999855
142.9,645000.0,600000.0,163.0,124.0,77369.0,183044.0,0.998695
143.0,645000.0,600000.0,165.0,126.0,77369.0,183044.0,0.998695
143.1,645000.0,615000.0,165.0,127.0,77369.0,183044.0,0.999433
143.2,630000.0,615000.0,164.0,128.0,76661.0,183044.0,0.999855
143.3,615000.0,630000.0,165.0,131.0,76661.0,183044.0,0.999855
143.4,630000.0,621880.0,165.0,128.0,76661.0,183356.0,0.999958
143.5,615000.0,630000.0,169.0,131.0,79557.0,186935.0,0.999855
143.6,645000.0,600000.0,161.0,145.0,76661.0,186935.0,0.998695
143.7,585000.0,669240.0,165.0,129.0,76661.0,184039.0,0.995509
143.8,645000.0,603360.0,165.0,115.0,76661.0,183479.0,0.998889
143.9,720000.0,525000.0,161.0,122.0,76661.0,184137.0,0.976056
144.0,645000.0,600000.0,163.0,124.0,76661.0,184137.0,0.998695
144.1,630000.0,615000.0,163.0,125.0,78350.0,184137.0,0.999855
144.2,630000.0,630000.0,167.0,126.0,78350.0,184137.0,1.0
144.3,660000.0,585000.0,167.0,129.0,78350.0,184137.0,0.996384
144.4,630000.0,615000.0,169.0,134.0,81246.0,184137.0,0.999855
144.5,645000.0,600000.0,163.0,142.0,78350.0,184137.0,0.998695
144.6,585000.0,668560.0,167.0,137.0,78350.0,184833.0,0.995576
144.7,645000.0,605280.0,167.0,137.0,78350.0,187729.0,0.998992
144.8,630000.0,613000.0,168.0,147.0,78350.0,184833.0,0.999813
144.9,630000.0,625640.0,164.0,125.0,78350.0,184833.0,0.999988
145.0,645000.0,603600.0,165.0,118.0,78350.0,184833.0,0.998902
145.1,705000.0,540000.0,164.0,124.0,78350.0,184833.0,0.982739
145.2,645000.0,600000.0,167.0,126.0,78350.0,184833.0,0.998695
145.3,645000.0,600000.0,170.0,129.0,81246.0,184833.0,0.998695
145.4,660000.0,600000.0,163.0,135.0,77639.0,184833.0,0.997738
145.5,585000.0,651080.0,166.0,137.0,77639.0,184833.0,0.99715
145.6,630000.0,619040.0,167.0,129.0,77639.0,185183.0,0.999923
145.7,630000.0,615680.0,167.0,133.0,80535.0,185183.0,0.999868
145.8,630000.0,630000.0,164.0,139.0,77639.0,185183.0,1.0
145.9,600000.0,637360.0,167.0,143.0,77639.0,188071.0,0.999089
146.0,630000.0,619040.0,167.0,137.0,77639.0,185175.0,0.999923
146.1,630000.0,626600.0,167.0,116.0,77639.0,185263.0,0.999993
146.2,690000.0,553400.0,168.0,121.0,80535.0,185351.0,0.988075
146.3,690000.0,555000.0,159.0,126.0,77639.0,185351.0,0.988379
146.4,600000.0,660000.0,165.0,125.0,78790.0,185351.0,0.997738
146.5,660000.0,585000.0,167.0,128.0,78790.0,185351.0,0.996384
146.6,630000.0,615000.0,169.0,130.0,81686.0,185351.0,0.999855
146.7,645000.0,600000.0,164.0,139.0,78790.0,185351.0,0.998695
146.8,600000.0,652120.0,168.0,138.0,78790.0,185351.0,0.99827
146.9,645000.0,603000.0,167.0,135.0,78790.0,185351.0,0.998869
147.0,630000.0,612400.0,167.0,138.0,78790.0,188247.0,0.999799
147.1,630000.0,626840.0,167.0,149.0,78790.0,188247.0,0.999994
147.2,615000.0,632760.0,138.0,131.0,5792.0,185351.0,0.999797
147.3,255000.0,915360.0,125.0,69.0,5792.0,5792.0,0.758516
147.4,120000.0,0.0,125.0,72.0,5792.0,5792.0,0.5
147.5,90000.0,45000.0,136.0,70.0,74723.0,5792.0,0.9
147.6,660000.0,60000.0,136.0,69.0,74723.0,5792.0,0.590164
147.7,645000.0,0.0,137.0,93.0,76944.0,185351.0,0.5
147.8,675000.0,480000.0,148.0,104.0,84252.0,185263.0,0.972286
147.9,705000.0,555000.0,147.0,109.0,85530.0,185263.0,0.986026
148.0,660000.0,585000.0,153.0,119.0,85530.0,188159.0,0.996384
148.1,630000.0,615000.0,162.0,127.0,85530.0,185263.0,0.999855
148.2,600000.0,645000.0,172.0,116.0,85530.0,185263.0,0.998695
148.3,735000.0,510000.0,166.0,122.0,85530.0,185263.0,0.968372
148.4,690000.0,570000.0,168.0,126.0,85530.0,185263.0,0.991011
148.5,660000.0,585000.0,172.0,129.0,85530.0,185263.0,0.996384
148.6,660000.0,585000.0,172.0,136.0,85530.0,185263.0,0.996384
148.7,645000.0,604840.0,175.0,143.0,88426.0,185263.0,0.998969
148.8,675000.0,574040.0,170.0,145.0,85530.0,184487.0,0.993509
148.9,615000.0,633520.0,171.0,141.0,85530.0,184839.0,0.99978
149.0,660000.0,593640.0,171.0,138.0,85530.0,184839.0,0.997206
149.1,645000.0,590560.0,174.0,141.0,88426.0,186463.0,0.998062
149.2,645000.0,603480.0,169.0,149.0,83881.0,187735.0,0.998895
149.3,630000.0,627120.0,171.0,134.0,83881.0,184839.0,0.999995
149.4,660000.0,582160.0,169.0,119.0,83881.0,185263.0,0.996088
149.5,705000.0,551640.0,169.0,124.0,83881.0,185263.0,0.985325
149.6,690000.0,555000.0,169.0,129.0,83881.0,185263.0,0.988379
149.7,645000.0,600000.0,167.0,135.0,77934.0,185263.0,0.998695
149.8,615000.0,633800.0,166.0,140.0,77934.0,185263.0,0.999773
149.9,630000.0,619560.0,166.0,131.0,77934.0,185263.0,0.99993
150.0,630000.0,616200.0,168.0,135.0,80830.0,185263.0,0.999877
150.1,630000.0,626600.0,162.0,141.0,77934.0,185263.0,0.999993
150.2,585000.0,657000.0,167.0,137.0,77934.0,185263.0,0.996651
150.3,645000.0,595600.0,167.0,138.0,77934.0,188159.0,0.998417
150.4,630000.0,619280.0,167.0,144.0,77934.0,188159.0,0.999926
150.5,615000.0,636800.0,166.0,124.0,77934.0,185263.0,0.999697
150.6,660000.0,585080.0,162.0,118.0,77934.0,185263.0,0.996392
150.7,690000.0,570000.0,162.0,123.0,77934.0,185263.0,0.991011
150.8,645000.0,600000.0,164.0,125.0,77934.0,185263.0,0.998695
150.9,645000.0,600000.0,168.0,127.0,80830.0,180339.0,0.998695
151.0,645000.0,600000.0,160.0,128.0,76661.0,180339.0,0.998695
151.1,585000.0,660000.0,166.0,125.0,76661.0,180339.0,0.996384
151.2,645000.0,615000.0,166.0,126.0,76661.0,182922.0,0.999433
151.3,645000.0,600000.0,165.0,127.0,76661.0,182922.0,0.998695
151.4,630000.0,615000.0,164.0,128.0,76661.0,182922.0,0.999855
151.5,615000.0,630000.0,164.0,138.0,76661.0,185818.0,0.999855
151.6,600000.0,653840.0,166.0,137.0,76661.0,183119.0,0.99816
151.7,630000.0,618840.0,166.0,115.0,76661.0,185290.0,0.99992
151.8,705000.0,540680.0,165.0,120.0,79557.0,185290.0,0.982897
151.9,690000.0,555000.0,158.0,125.0,76661.0,185290.0,0.988379
152.0,600000.0,660000.0,164.0,123.0,78361.0,185290.0,0.997738
152.1,660000.0,585000.0,166.0,127.0,78361.0,184946.0,0.996384
152.2,645000.0,600000.0,167.0,129.0,78361.0,184946.0,0.998695
152.3,630000.0,615000.0,166.0,134.0,78361.0,184946.0,0.999855
152.4,615000.0,630000.0,167.0,141.0,78361.0,184946.0,0.999855
152.5,630000.0,623040.0,167.0,136.0,78361.0,185090.0,0.999969
152.6,630000.0,618360.0,168.0,133.0,78361.0,187986.0,0.999913
152.7,630000.0,615000.0,170.0,146.0,81257.0,187986.0,0.999855
152.8,645000.0,610960.0,163.0,131.0,78361.0,185090.0,0.999266
152.9,630000.0,617840.0,165.0,117.0,78361.0,185202.0,0.999905
153.0,705000.0,540000.0,164.0,123.0,78361.0,185202.0,0.982739
153.1,645000.0,600000.0,167.0,126.0,78361.0,185202.0,0.998695
153.2,660000.0,585000.0,164.0,129.0,78361.0,185202.0,0.996384
153.3,615000.0,645000.0,166.0,131.0,77204.0,185202.0,0.999433
153.4,630000.0,615000.0,166.0,135.0,77204.0,185202.0,0.999855
153.5,630000.0,622560.0,167.0,129.0,77204.0,185202.0,0.999965
153.6,630000.0,615000.0,169.0,138.0,80100.0,185202.0,0.999855
153.7,630000.0,620880.0,163.0,141.0,77204.0,185202.0,0.999947
153.8,585000.0,663680.0,166.0,140.0,77204.0,188098.0,0.996045
153.9,630000.0,608120.0,167.0,145.0,77204.0,185202.0,0.999688
