Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
7.6,675000.0,573840.0,61.0,86.0,106873.0,133216.0,0.993481
7.7,690000.0,547200.0,62.0,86.0,107310.0,133216.0,0.986853
7.8,705000.0,552320.0,61.0,86.0,107747.0,133216.0,0.985468
7.9,705000.0,547200.0,60.0,88.0,108184.0,133216.0,0.984368
8.0,675000.0,568720.0,64.0,86.0,108640.0,133216.0,0.992751
8.1,705000.0,547200.0,63.0,86.0,109077.0,133216.0,0.984368
8.2,705000.0,530800.0,62.0,86.0,109514.0,133216.0,0.980517
8.3,690000.0,568720.0,62.0,84.0,109951.0,133216.0,0.990802
8.4,705000.0,530800.0,64.0,88.0,110405.0,133216.0,0.980517
8.5,690000.0,568720.0,66.0,84.0,110837.0,133216.0,0.990802
8.6,720000.0,530800.0,64.0,88.0,111251.0,133216.0,0.977631
8.7,720000.0,520560.0,63.0,88.0,111665.0,133216.0,0.974805
8.8,705000.0,552320.0,64.0,88.0,112097.0,133216.0,0.985468
8.9,690000.0,547200.0,64.0,88.0,112511.0,133216.0,0.986853
9.0,705000.0,552320.0,65.0,88.0,112943.0,133216.0,0.985468
9.1,705000.0,540680.0,65.0,87.0,113357.0,133216.0,0.982897
9.2,690000.0,553720.0,67.0,86.0,113789.0,133216.0,0.988136
9.3,735000.0,519160.0,64.0,87.0,114203.0,133216.0,0.971234
9.4,690000.0,558840.0,69.0,86.0,114653.0,133216.0,0.98909
9.5,735000.0,502760.0,66.0,89.0,115067.0,133216.0,0.965992
9.6,690000.0,563600.0,68.0,66.0,115499.0,140619.0,0.989936
9.7,720000.0,529400.0,67.0,22.0,115913.0,92672.0,0.9772570000000002
9.8,1035000.0,210440.0,58.0,3.0,116453.0,92672.0,0.695252
9.9,1245000.0,1400.0,59.0,67.0,117169.0,92672.0,0.501124
10.0,540000.0,717560.0,72.0,18.0,117577.0,92672.0,0.980454
10.1,1005000.0,240000.0,65.0,52.0,118087.0,95568.0,0.7259220000000001
10.2,855000.0,390000.0,68.0,43.0,118597.0,97016.0,0.87758
10.3,885000.0,360000.0,60.0,63.0,119022.0,99912.0,0.849026
10.4,750000.0,495000.0,68.0,56.0,119515.0,102808.0,0.9597380000000001
10.5,705000.0,555000.0,71.0,44.0,119940.0,104256.0,0.986026
10.6,930000.0,315000.0,66.0,55.0,120416.0,107152.0,0.803851
10.7,810000.0,435000.0,66.0,61.0,120875.0,108600.0,0.9168220000000001
10.8,765000.0,480000.0,69.0,61.0,121334.0,111496.0,0.9502070000000001
10.9,750000.0,510000.0,70.0,54.0,121759.0,112944.0,0.964989
11.0,750000.0,495000.0,72.0,54.0,122201.0,114392.0,0.9597380000000001
11.1,870000.0,375000.0,68.0,62.0,122660.0,115840.0,0.8635
11.2,750000.0,495000.0,71.0,62.0,123102.0,117288.0,0.9597380000000001
11.3,720000.0,525000.0,77.0,61.0,123548.0,120184.0,0.9760560000000001
11.4,765000.0,495000.0,74.0,59.0,123932.0,121632.0,0.956098
11.5,795000.0,450000.0,69.0,63.0,124316.0,121632.0,0.928687
11.6,780000.0,465000.0,70.0,63.0,124732.0,123080.0,0.939836
11.7,750000.0,495000.0,72.0,67.0,125148.0,124528.0,0.9597380000000001
11.8,750000.0,510000.0,74.0,68.0,125564.0,125976.0,0.964989
11.9,720000.0,525000.0,76.0,66.0,125964.0,127424.0,0.9760560000000001
12.0,750000.0,495000.0,75.0,65.0,126348.0,127424.0,0.9597380000000001
12.1,750000.0,495000.0,75.0,65.0,126748.0,128872.0,0.9597380000000001
12.2,765000.0,480000.0,72.0,65.0,127132.0,128872.0,0.9502070000000001
12.3,780000.0,480000.0,71.0,68.0,127532.0,130320.0,0.946352
12.4,720000.0,525000.0,75.0,69.0,127948.0,130320.0,0.9760560000000001
12.5,735000.0,510000.0,76.0,78.0,128348.0,131768.0,0.968372
12.6,750000.0,495000.0,76.0,90.0,128748.0,131768.0,0.9597380000000001
12.7,705000.0,543800.0,78.0,91.0,129132.0,133216.0,0.98361
12.8,720000.0,531000.0,41.0,62.0,81779.0,116048.0,0.977684
12.9,483880.0,627440.0,41.0,9.0,62432.0,92672.0,0.983587
13.0,1216800.0,4560.0,31.0,57.0,63554.0,92672.0,0.503747
13.1,630000.0,616600.0,34.0,34.0,64258.0,92672.0,0.9998840000000001
13.2,855000.0,390680.0,33.0,51.0,65154.0,95568.0,0.878011
13.3,660000.0,585000.0,32.0,52.0,65817.0,98464.0,0.996384
13.4,720000.0,540000.0,41.0,56.0,66685.0,101360.0,0.98
13.5,675000.0,570000.0,38.0,58.0,67336.0,104256.0,0.992937
13.6,690000.0,555000.0,43.0,62.0,68096.0,105704.0,0.988379
13.7,675000.0,570000.0,44.0,62.0,68786.0,108600.0,0.992937
13.8,690000.0,555000.0,44.0,62.0,69476.0,110048.0,0.988379
13.9,675000.0,585000.0,44.0,65.0,70128.0,112944.0,0.994924
14.0,660000.0,585000.0,44.0,63.0,70766.0,114392.0,0.996384
14.1,660000.0,585000.0,43.0,65.0,71375.0,115840.0,0.996384
14.2,645000.0,600000.0,46.0,64.0,72042.0,117288.0,0.998695
14.3,645000.0,615000.0,44.0,62.0,72611.0,118736.0,0.9994330000000001
14.4,660000.0,585000.0,46.0,64.0,73255.0,120184.0,0.996384
14.5,600000.0,645000.0,46.0,60.0,73815.0,121632.0,0.998695
14.6,675000.0,570000.0,44.0,65.0,74403.0,123080.0,0.992937
14.7,615000.0,630000.0,45.0,62.0,74988.0,124528.0,0.999855
14.8,615000.0,645000.0,49.0,60.0,75582.0,125976.0,0.9994330000000001
14.9,645000.0,600000.0,50.0,64.0,76176.0,125976.0,0.998695
15.0,630000.0,615000.0,53.0,64.0,76770.0,127424.0,0.999855
15.1,660000.0,585000.0,49.0,68.0,77310.0,128872.0,0.996384
15.2,630000.0,630000.0,51.0,68.0,77895.0,128872.0,1.0
15.3,630000.0,615000.0,50.0,68.0,78415.0,130320.0,0.999855
15.4,645000.0,600000.0,49.0,70.0,78961.0,130320.0,0.998695
15.5,615000.0,630000.0,50.0,68.0,79507.0,130320.0,0.999855
15.6,630000.0,615000.0,53.0,81.0,80079.0,131768.0,0.999855
15.7,645000.0,606840.0,50.0,90.0,80599.0,131768.0,0.999072
15.8,615000.0,638400.0,52.0,89.0,81126.0,133216.0,0.9996519999999999
15.9,630000.0,611760.0,54.0,89.0,81676.0,133216.0,0.999784
16.0,630000.0,626760.0,54.0,88.0,82201.0,133216.0,0.999993
16.1,660000.0,585480.0,53.0,93.0,82726.0,133216.0,0.996433
16.2,615000.0,628160.0,54.0,91.0,83251.0,133216.0,0.999888
16.3,645000.0,611760.0,53.0,89.0,83776.0,133216.0,0.999301
16.4,630000.0,606640.0,54.0,89.0,84284.0,133216.0,0.999643
16.5,630000.0,622000.0,56.0,89.0,84812.0,133216.0,0.999959
16.6,660000.0,595000.0,54.0,90.0,85316.0,133216.0,0.997325
16.7,630000.0,607000.0,57.0,89.0,85844.0,133216.0,0.999654
16.8,645000.0,606640.0,56.0,89.0,86348.0,133216.0,0.999062
16.9,660000.0,595360.0,54.0,91.0,86852.0,133216.0,0.997356
17.0,630000.0,611760.0,57.0,89.0,87380.0,133216.0,0.999784
17.1,645000.0,606640.0,56.0,89.0,87863.0,133216.0,0.999062
17.2,660000.0,588840.0,59.0,90.0,88392.0,133216.0,0.9967640000000001
17.3,645000.0,596760.0,58.0,91.0,88875.0,133216.0,0.998493
17.4,675000.0,573840.0,57.0,93.0,89381.0,133216.0,0.993481
17.5,645000.0,601520.0,57.0,91.0,89864.0,133216.0,0.9987850000000001
17.6,660000.0,590240.0,57.0,93.0,90370.0,133216.0,0.996896
17.7,645000.0,610360.0,58.0,90.0,90876.0,133216.0,0.9992389999999999
17.8,645000.0,591640.0,62.0,89.0,91395.0,133216.0,0.998142
17.9,675000.0,573840.0,59.0,91.0,91857.0,133216.0,0.993481
18.0,675000.0,585120.0,58.0,89.0,92341.0,133216.0,0.994938
18.1,645000.0,600480.0,60.0,91.0,92825.0,133216.0,0.9987239999999998
18.2,660000.0,580000.0,60.0,91.0,93309.0,133216.0,0.995855
18.3,660000.0,595360.0,62.0,91.0,93815.0,133216.0,0.997356
18.4,675000.0,573840.0,62.0,91.0,94299.0,133216.0,0.993481
18.5,660000.0,580000.0,62.0,89.0,94783.0,133216.0,0.995855
18.6,690000.0,568720.0,62.0,93.0,95289.0,133216.0,0.990802
18.7,645000.0,590240.0,62.0,91.0,95731.0,133216.0,0.998039
18.8,690000.0,563600.0,62.0,91.0,96214.0,133216.0,0.989936
18.9,660000.0,590240.0,62.0,89.0,96676.0,133216.0,0.996896
19.0,675000.0,568720.0,64.0,93.0,97159.0,133216.0,0.992751
19.1,675000.0,573840.0,63.0,93.0,97621.0,133216.0,0.993481
19.2,675000.0,580000.0,64.0,91.0,98104.0,133216.0,0.994303
19.3,675000.0,573840.0,64.0,91.0,98566.0,133216.0,0.993481
19.4,660000.0,585120.0,64.0,89.0,99028.0,133216.0,0.996396
19.5,705000.0,547200.0,63.0,91.0,99511.0,133216.0,0.984368
19.6,675000.0,562200.0,65.0,94.0,99987.0,133216.0,0.991756
19.7,660000.0,591640.0,67.0,91.0,100447.0,133216.0,0.997026
19.8,690000.0,557440.0,65.0,91.0,100887.0,133216.0,0.9888340000000001
19.9,690000.0,553360.0,65.0,91.0,101347.0,133216.0,0.988067
20.0,675000.0,573840.0,67.0,93.0,101807.0,133216.0,0.993481
20.1,705000.0,547200.0,66.0,93.0,102267.0,133216.0,0.984368
20.2,690000.0,563600.0,64.0,93.0,102707.0,133216.0,0.989936
20.3,675000.0,568720.0,66.0,93.0,103167.0,133216.0,0.992751
20.4,690000.0,563600.0,66.0,93.0,103627.0,133216.0,0.989936
20.5,690000.0,547200.0,66.0,95.0,104087.0,133216.0,0.986853
20.6,675000.0,573840.0,68.0,93.0,104547.0,133216.0,0.993481
20.7,720000.0,536960.0,66.0,95.0,104999.0,133216.0,0.979235
20.8,660000.0,588840.0,68.0,92.0,105436.0,133216.0,0.9967640000000001
20.9,690000.0,548600.0,69.0,93.0,105873.0,133216.0,0.987135
21.0,705000.0,547200.0,68.0,93.0,106310.0,133216.0,0.984368
21.1,705000.0,547200.0,69.0,95.0,106766.0,133216.0,0.984368
21.2,675000.0,563600.0,71.0,93.0,107203.0,133216.0,0.9919759999999999
21.3,705000.0,547200.0,70.0,93.0,107640.0,133216.0,0.984368
21.4,705000.0,536960.0,69.0,91.0,108077.0,133216.0,0.9820220000000001
21.5,705000.0,547200.0,68.0,93.0,108514.0,133216.0,0.984368
21.6,690000.0,562200.0,71.0,94.0,108970.0,133216.0,0.989691
21.7,705000.0,548600.0,70.0,93.0,109407.0,133216.0,0.984673
21.8,720000.0,525680.0,68.0,95.0,109844.0,133216.0,0.976244
21.9,690000.0,551960.0,71.0,92.0,110300.0,133216.0,0.987797
22.0,705000.0,547200.0,70.0,94.0,110717.0,133216.0,0.984368
22.1,690000.0,558840.0,74.0,93.0,111167.0,133216.0,0.98909
22.2,705000.0,536960.0,74.0,93.0,111581.0,133216.0,0.9820220000000001
22.3,720000.0,530800.0,72.0,95.0,111995.0,133216.0,0.977631
22.4,705000.0,536960.0,73.0,93.0,112427.0,133216.0,0.9820220000000001
22.5,705000.0,547200.0,74.0,93.0,112859.0,133216.0,0.984368
22.6,705000.0,547200.0,74.0,93.0,113273.0,133216.0,0.984368
22.7,705000.0,542080.0,75.0,93.0,113705.0,133216.0,0.983219
22.8,720000.0,530800.0,75.0,95.0,114137.0,133216.0,0.977631
22.9,705000.0,536960.0,75.0,93.0,114551.0,133216.0,0.9820220000000001
23.0,720000.0,535560.0,75.0,94.0,114983.0,133216.0,0.9788770000000001
23.1,735000.0,514040.0,74.0,95.0,115415.0,133216.0,0.969655
23.2,705000.0,536960.0,76.0,48.0,115847.0,92672.0,0.9820220000000001
23.3,810000.0,441000.0,50.0,10.0,84504.0,92672.0,0.91996
23.4,740720.0,11640.0,38.0,63.0,56657.0,92672.0,0.515711
23.5,465000.0,796960.0,45.0,20.0,57342.0,92672.0,0.935282
23.6,990000.0,255000.0,34.0,57.0,58312.0,95568.0,0.74155
23.7,525000.0,720000.0,39.0,45.0,59012.0,98464.0,0.9760560000000001
23.8,795000.0,450000.0,35.0,57.0,59852.0,101360.0,0.928687
23.9,630000.0,615000.0,37.0,55.0,60602.0,102808.0,0.999855
24.0,645000.0,615000.0,41.0,54.0,61384.0,105704.0,0.9994330000000001
24.1,660000.0,585000.0,41.0,55.0,62119.0,108600.0,0.996384
24.2,645000.0,600000.0,43.0,56.0,62845.0,110048.0,0.998695
24.3,660000.0,585000.0,41.0,58.0,63538.0,111496.0,0.996384
24.4,630000.0,630000.0,42.0,58.0,64210.0,114392.0,1.0
24.5,645000.0,600000.0,43.0,61.0,64914.0,115840.0,0.998695
24.6,630000.0,615000.0,44.0,61.0,65585.0,117288.0,0.999855
24.7,615000.0,630000.0,45.0,60.0,66236.0,118736.0,0.999855
24.8,630000.0,615000.0,44.0,62.0,66856.0,120184.0,0.999855
24.9,645000.0,615000.0,45.0,64.0,67538.0,121632.0,0.9994330000000001
25.0,600000.0,645000.0,46.0,64.0,68142.0,123080.0,0.998695
25.1,630000.0,615000.0,48.0,66.0,68802.0,124528.0,0.999855
25.2,615000.0,630000.0,47.0,65.0,69402.0,125976.0,0.999855
25.3,630000.0,630000.0,48.0,67.0,70028.0,125976.0,1.0
25.4,615000.0,630000.0,47.0,68.0,70608.0,127424.0,0.999855
25.5,600000.0,645000.0,48.0,68.0,71188.0,128872.0,0.998695
25.6,630000.0,615000.0,48.0,69.0,71797.0,128872.0,0.999855
25.7,615000.0,630000.0,47.0,70.0,72375.0,130320.0,0.999855
25.8,615000.0,645000.0,47.0,69.0,72935.0,130320.0,0.9994330000000001
25.9,600000.0,645000.0,49.0,74.0,73523.0,131768.0,0.998695
26.0,600000.0,645000.0,50.0,87.0,74083.0,131768.0,0.998695
26.1,615000.0,640600.0,49.0,90.0,74643.0,131768.0,0.999584
26.2,600000.0,635040.0,51.0,90.0,75219.0,133216.0,0.999196
26.3,630000.0,627640.0,50.0,89.0,75759.0,133216.0,0.999996
26.4,615000.0,637000.0,49.0,92.0,76299.0,133216.0,0.999691
26.5,600000.0,644920.0,52.0,89.0,76866.0,133216.0,0.9987
26.6,645000.0,595360.0,51.0,91.0,77433.0,133216.0,0.998401
26.7,615000.0,643520.0,50.0,91.0,77962.0,133216.0,0.9994869999999999
26.8,600000.0,638400.0,53.0,89.0,78508.0,133216.0,0.9990390000000001
26.9,630000.0,616880.0,53.0,91.0,79054.0,133216.0,0.999889
27.0,630000.0,616880.0,51.0,91.0,79574.0,133216.0,0.999889
27.1,615000.0,638400.0,53.0,91.0,80120.0,133216.0,0.9996519999999999
27.2,630000.0,615480.0,53.0,90.0,80666.0,133216.0,0.999864
27.3,645000.0,601880.0,53.0,93.0,81191.0,133216.0,0.998805
27.4,630000.0,616880.0,53.0,93.0,81716.0,133216.0,0.999889
27.5,600000.0,653400.0,55.0,90.0,82241.0,133216.0,0.998188
27.6,630000.0,612120.0,56.0,91.0,82766.0,133216.0,0.999793
27.7,645000.0,611760.0,55.0,89.0,83291.0,133216.0,0.999301
27.8,645000.0,595360.0,54.0,93.0,83816.0,133216.0,0.998401
27.9,630000.0,622000.0,57.0,91.0,84347.0,133216.0,0.999959
28.0,645000.0,611760.0,58.0,91.0,84875.0,133216.0,0.999301
28.1,645000.0,595360.0,57.0,93.0,85379.0,133216.0,0.998401
28.2,660000.0,595360.0,54.0,93.0,85859.0,133216.0,0.997356
28.3,630000.0,616880.0,56.0,93.0,86387.0,133216.0,0.999889
28.4,615000.0,631880.0,60.0,90.0,86915.0,133216.0,0.9998169999999998
28.5,660000.0,585480.0,58.0,91.0,87417.0,133216.0,0.996433
28.6,645000.0,605240.0,57.0,92.0,87900.0,133216.0,0.99899
28.7,660000.0,585480.0,58.0,95.0,88406.0,133216.0,0.996433
28.8,645000.0,605240.0,59.0,92.0,88912.0,133216.0,0.99899
28.9,630000.0,607000.0,59.0,93.0,89395.0,133216.0,0.999654
29.0,645000.0,616880.0,61.0,89.0,89901.0,133216.0,0.999504
