Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
7.5,300000.0,960000.0,23.0,102.0,61287.0,125976.0,0.784698
7.6,315000.0,930000.0,44.0,82.0,61992.0,125976.0,0.803851
7.7,630000.0,615000.0,39.0,88.0,62586.0,127424.0,0.999855
7.8,180000.0,1065000.0,33.0,96.0,62685.0,128872.0,0.66432
7.9,465000.0,780000.0,44.0,86.0,63378.0,128872.0,0.939836
8.0,630000.0,630000.0,29.0,101.0,63799.0,130320.0,1.0
8.1,0.0,1245000.0,45.0,86.0,64055.0,130320.0,0.5
8.2,645000.0,600000.0,46.0,92.0,64759.0,131768.0,0.998695
8.3,480000.0,765000.0,24.0,137.0,64919.0,131768.0,0.9502070000000001
8.4,180000.0,1069560.0,47.0,114.0,65463.0,131768.0,0.663658
8.5,675000.0,580280.0,46.0,88.0,66147.0,91224.0,0.994338
8.6,660000.0,576840.0,26.0,78.0,66519.0,91224.0,0.9955000000000002
8.7,675000.0,579600.0,30.0,90.0,67263.0,94120.0,0.9942509999999999
8.8,330000.0,915000.0,26.0,94.0,67542.0,95568.0,0.819144
8.9,360000.0,885000.0,49.0,76.0,68236.0,97016.0,0.849026
9.0,705000.0,555000.0,48.0,76.0,68926.0,98464.0,0.986026
9.1,690000.0,555000.0,28.0,98.0,69316.0,99912.0,0.988379
9.2,210000.0,1035000.0,35.0,91.0,69616.0,99912.0,0.6948760000000002
9.3,495000.0,750000.0,50.0,78.0,70322.0,101360.0,0.9597380000000001
9.4,720000.0,540000.0,47.0,83.0,70960.0,102808.0,0.98
9.5,435000.0,810000.0,30.0,100.0,71134.0,104256.0,0.9168220000000001
9.6,300000.0,945000.0,50.0,79.0,71714.0,104256.0,0.788396
9.7,720000.0,525000.0,51.0,81.0,72407.0,105704.0,0.9760560000000001
9.8,555000.0,690000.0,32.0,102.0,72659.0,107152.0,0.988379
9.9,180000.0,1080000.0,52.0,82.0,73107.0,107152.0,0.662162
10.0,750000.0,495000.0,52.0,82.0,73807.0,108600.0,0.9597380000000001
10.1,600000.0,645000.0,31.0,103.0,74059.0,108600.0,0.998695
10.2,150000.0,1095000.0,53.0,85.0,74507.0,110048.0,0.634463
10.3,765000.0,495000.0,52.0,84.0,75196.0,110048.0,0.956098
10.4,600000.0,645000.0,33.0,105.0,75466.0,110048.0,0.998695
10.5,150000.0,1095000.0,53.0,85.0,75871.0,111496.0,0.634463
10.6,765000.0,480000.0,54.0,85.0,76573.0,111496.0,0.9502070000000001
10.7,525000.0,720000.0,34.0,105.0,76762.0,111496.0,0.9760560000000001
10.8,255000.0,1005000.0,55.0,84.0,77275.0,111496.0,0.738384
10.9,795000.0,450000.0,54.0,84.0,77966.0,111496.0,0.928687
11.0,420000.0,825000.0,34.0,105.0,78070.0,111496.0,0.904306
11.1,360000.0,885000.0,55.0,86.0,78642.0,111496.0,0.849026
11.2,795000.0,465000.0,48.0,91.0,79240.0,111496.0,0.935809
11.3,315000.0,930000.0,35.0,105.0,79344.0,111496.0,0.803851
11.4,495000.0,750000.0,57.0,85.0,80046.0,111496.0,0.9597380000000001
11.5,825000.0,420000.0,38.0,103.0,80514.0,111496.0,0.904306
11.6,135000.0,1110000.0,47.0,95.0,80744.0,111496.0,0.619849
11.7,675000.0,585000.0,57.0,84.0,81419.0,111496.0,0.994924
11.8,690000.0,555000.0,37.0,105.0,81744.0,111496.0,0.988379
11.9,135000.0,1110000.0,58.0,85.0,82119.0,111496.0,0.619849
12.0,840000.0,405000.0,59.0,86.0,82819.0,111496.0,0.891203
12.1,495000.0,765000.0,38.0,105.0,82969.0,111496.0,0.956098
12.2,360000.0,885000.0,58.0,84.0,83519.0,111496.0,0.849026
12.3,840000.0,405000.0,49.0,95.0,84085.0,111496.0,0.891203
