Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
13,615000,630000,40,39,77221,75184,0.999855
13.1,630000,615000,35,38,74325,75184,0.999855
13.2,615000,645000,36,36,74916,75184,0.999433
13.3,630000,615000,37,38,74916,75184,0.999855
13.4,615000,630000,39,40,74916,75184,0.999855
13.5,615000,630000,42,42,77812,78080,0.999855
13.6,630000,630000,35,36,74916,75184,1
13.7,615000,630000,36,37,74916,75184,0.999855
13.8,615000,630000,38,39,74916,75184,0.999855
13.9,615000,630000,41,40,77812,75184,0.999855
14,630000,615000,35,38,74916,75184,0.999855
14.1,615000,645000,36,36,74916,75184,0.999433
14.2,630000,615000,37,38,74916,74469,0.999855
14.3,615000,630000,39,40,74916,74469,0.999855
14.4,615000,630000,42,42,77812,77365,0.999855
14.5,630000,630000,35,35,74916,74469,1
14.6,630000,615000,36,38,74916,74469,0.999855
14.7,615000,630000,38,39,74916,74469,0.999855
14.8,615000,630000,41,40,77812,74469,0.999855
14.9,630000,615000,35,39,74916,74469,0.999855
15,600000,660000,37,34,74916,74469,0.997738
15.1,645000,600000,37,37,74916,74469,0.998695
15.2,615000,630000,39,39,74325,74469,0.999855
15.3,630000,615000,42,42,77221,77365,0.999855
15.4,630000,630000,35,35,74916,74469,1
15.5,615000,630000,37,36,74916,74469,0.999855
15.6,630000,615000,37,39,76954,74469,0.999855
15.7,615000,630000,41,40,79850,74469,0.999855
15.8,630000,615000,38,40,76954,74469,0.999855
15.9,615000,645000,40,35,76954,74469,0.999433
16,660000,585000,40,39,76954,74469,0.996384
16.1,630000,615000,41,40,76954,74469,0.999855
16.2,630000,615000,43,42,76954,77365,0.999855
16.3,645000,615000,37,35,76954,74469,0.999433
16.4,630000,615000,39,38,76954,74469,0.999855
16.5,630000,615000,41,39,76954,74469,0.999855
16.6,645000,600000,42,41,79850,74469,0.998695
16.7,630000,615000,37,40,76954,74469,0.999855
16.8,615000,645000,39,35,76954,74469,0.999433
16.9,660000,585000,39,40,76297,74469,0.996384
17,615000,630000,41,37,76297,72360,0.999855
17.1,645000,600000,41,41,76297,75256,0.998695
17.2,630000,630000,36,32,76297,72360,1
17.3,660000,585000,36,35,76297,72360,0.996384
17.4,630000,615000,37,36,76466,72360,0.999855
17.5,630000,615000,40,37,79362,72360,0.999855
17.6,660000,585000,35,39,76466,72467,0.996384
17.7,600000,660000,39,33,77519,73005,0.997738
17.8,675000,570000,38,37,77519,73005,0.992937
17.9,630000,615000,41,38,77519,73005,0.999855
18,645000,600000,42,42,77519,75901,0.998695
18.1,630000,630000,38,33,77519,73005,1
18.2,660000,585000,38,37,77519,73005,0.996384
18.3,630000,615000,41,38,77519,73005,0.999855
18.4,645000,600000,42,39,80415,73005,0.998695
18.5,660000,600000,36,37,77519,73005,0.997738
18.6,615000,630000,38,35,77519,73005,0.999855
18.7,660000,585000,39,38,77519,73005,0.996384
18.8,630000,615000,41,39,77519,73005,0.999855
18.9,645000,600000,43,42,79719,75901,0.998695
19,645000,615000,36,35,76823,73005,0.999433
19.1,630000,615000,39,36,76823,72360,0.999855
19.2,645000,600000,40,38,76823,72360,0.998695
19.3,630000,615000,42,38,79719,75256,0.999855
19.4,660000,600000,36,34,76823,71780,0.997738
19.5,645000,600000,37,35,76823,71780,0.998695
19.6,630000,615000,39,36,76823,71780,0.999855
19.7,645000,600000,40,37,77211,71780,0.998695
19.8,645000,600000,42,37,77211,71780,0.998695
19.9,660000,600000,36,35,77211,71780,0.997738
