Time,Flow1_Bbr_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
10.8,210000,1.03496e+06,23,113,70739,133216,0.694883
10.9,285000,955040,26,117,70739,133216,0.774015
11,300000,953640,22,118,67843,133216,0.786255
11.1,270000,981680,23,112,82727,133216,0.755696
11.2,270000,971800,27,117,82727,133216,0.757925
11.3,300000,953640,28,116,82727,133216,0.786255
11.4,330000,912000,28,118,82727,133216,0.819951
11.5,315000,928760,29,117,82727,133216,0.804173
11.6,330000,927000,28,118,84237,133216,0.815948
11.7,315000,928760,30,117,86147,133216,0.804173
11.8,330000,917120,33,117,89043,133216,0.818575
11.9,360000,885360,35,119,86147,133216,0.848925
12,390000,868960,27,117,95774,133216,0.873564
12.1,300000,938640,33,117,98787,133216,0.789989
12.2,360000,890480,35,117,98787,133216,0.847484
12.3,375000,874080,37,119,98787,133216,0.862332
12.4,390000,862440,37,118,98787,133216,0.875433
12.5,390000,857320,37,56,98787,92672,0.876909
12.6,810000,431120,10,82,97016,92672,0.914753
12.7,225000,1.02e+06,22,79,52693,97016,0.710353
12.8,315000,945000,29,71,56432,98464,0.8
12.9,405000,840000,32,71,63457,101360,0.891203
13,435000,810000,36,74,63457,102808,0.916822
13.1,465000,780000,36,78,63457,105704,0.939836
13.2,435000,810000,38,79,63457,107152,0.916822
13.3,465000,795000,37,80,63457,110048,0.935809
13.4,465000,780000,34,81,63457,111496,0.939836
13.5,405000,840000,37,82,63457,112944,0.891203
13.6,420000,825000,39,83,63457,115840,0.904306
13.7,450000,810000,38,84,63457,117288,0.924528
13.8,435000,810000,37,87,63457,118736,0.916822
13.9,420000,825000,37,85,63457,120184,0.904306
14,390000,855000,39,87,63457,121632,0.87758
14.1,435000,810000,38,90,63457,123080,0.916822
14.2,435000,825000,37,89,63457,123080,0.912571
14.3,390000,855000,37,89,61176,124528,0.87758
14.4,435000,810000,35,90,61176,125976,0.916822
14.5,360000,885000,37,92,61176,127424,0.849026
14.6,390000,870000,40,88,61176,127424,0.873267
14.7,435000,810000,36,93,61176,128872,0.916822
14.8,360000,885000,39,93,64072,130320,0.849026
14.9,450000,795000,34,94,56505,130320,0.928687
15,330000,915000,34,98,56505,131768,0.819144
15.1,360000,900000,36,113,56505,131768,0.844828
15.2,405000,839880,33,119,56505,131768,0.891238
15.3,330000,917640,35,118,56505,131768,0.818436
15.4,405000,847440,32,118,56505,133216,0.889051
15.5,315000,928400,35,118,56505,133216,0.804266
15.6,375000,868600,37,117,56505,133216,0.863902
15.7,390000,853960,34,120,56505,133216,0.877881
15.8,345000,906880,35,118,56505,133216,0.832329
15.9,390000,862440,33,117,56505,133216,0.875433
16,345000,908280,32,118,55000,133216,0.831946
16.1,360000,878840,35,117,55000,133216,0.850772
16.2,360000,897000,32,120,55000,133216,0.845661
16.3,330000,916760,36,117,57896,133216,0.818672
16.4,405000,837200,28,119,55000,133216,0.892016
16.5,285000,966680,34,118,55000,133216,0.771247
16.6,360000,885360,35,116,55000,133216,0.848925
16.7,375000,868600,30,119,51250,133216,0.863902
16.8,315000,938640,33,119,54146,133216,0.801623
16.9,375000,870360,27,120,51250,133216,0.863396
17,285000,959800,32,117,51250,133216,0.772877
17.1,360000,895600,31,119,51250,133216,0.846052
17.2,330000,913400,31,118,51250,133216,0.819574
17.3,330000,916760,34,117,54146,133216,0.818672
17.4,375000,875480,28,120,51250,133216,0.861932
17.5,300000,949920,31,118,51250,133216,0.787173
17.6,360000,880240,30,118,49707,133216,0.850374
17.7,315000,938640,30,118,49707,133216,0.801623
17.8,330000,912000,33,118,52603,133216,0.819951
17.9,345000,901760,27,118,49707,133216,0.833736
18,300000,955040,31,116,48114,133216,0.785911
18.1,360000,885360,28,120,48114,133216,0.848925
18.2,300000,944800,29,118,48114,133216,0.788445
18.3,315000,938640,32,118,51010,133216,0.801623
18.4,345000,900360,27,119,48114,133216,0.834122
18.5,300000,956440,30,116,48114,133216,0.785568
18.6,330000,912000,29,118,48114,133216,0.819951
18.7,315000,928400,30,118,48114,133216,0.804266
18.8,330000,928400,31,116,51010,133216,0.815579
18.9,330000,912000,27,118,48114,133216,0.819951
19,300000,949920,30,114,48114,133216,0.787173
19.1,330000,921880,28,117,47143,133216,0.817305
19.2,300000,945160,29,116,47143,133216,0.788356
19.3,345000,901760,29,118,50039,133216,0.833736
