Time,Bbr_1_Bps,Cubic_2_Bps,Bbr_1_PktLoss,Cubic_2_PktLoss,Bbr_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
0.4,541080,556080,21,27,53576,53576,0.999813
0.5,615000,630000,53,36,94120,69504,0.999855
0.6,750000,495000,53,49,105704,72400,0.959738
0.7,675000,585000,68,40,114392,75296,0.994924
0.8,840000,405000,66,44,114392,76744,0.891203
0.9,705000,540000,61,50,114392,79640,0.982739
1,750000,495000,67,47,114392,82536,0.959738
1.1,780000,480000,53,54,116261,83984,0.946352
1.2,555000,690000,34,46,116261,86880,0.988379
1.3,525000,720000,37,47,82687,91224,0.976056
1.4,540000,705000,47,52,82687,94120,0.982739
1.5,585000,660000,46,56,82687,97016,0.996384
1.6,555000,705000,49,56,82687,101360,0.986026
1.7,585000,660000,47,60,82687,104256,0.996384
1.8,540000,705000,47,61,82687,107152,0.982739
1.9,510000,735000,50,60,82687,110048,0.968372
2,600000,660000,46,67,82687,114392,0.997738
2.1,480000,765000,46,70,82687,117288,0.950207
2.2,540000,705000,48,70,82687,121632,0.982739
2.3,510000,735000,42,75,78448,124528,0.968372
2.4,465000,780000,44,78,78448,128872,0.939836
2.5,495000,765000,43,84,78448,131768,0.956098
2.6,435000,810000,47,97,78448,133216,0.916822
2.7,480000,762400,49,104,81344,133216,0.950872
2.8,450000,795480,43,52,61004,92672,0.928554
2.9,840000,415600,15,91,61004,92672,0.897466
3,300000,950160,31,44,57995,92672,0.787114
3.1,555000,691640,30,62,64701,92672,0.988129
3.2,480000,765000,34,78,67597,97016,0.950207
3.3,420000,825000,37,77,64701,99912,0.904306
3.4,465000,795000,39,76,64701,102808,0.935809
3.5,510000,735000,39,78,64701,104256,0.968372
3.6,495000,750000,38,81,67597,105704,0.959738
3.7,435000,810000,35,83,64701,108600,0.916822
3.8,450000,795000,38,84,64701,111496,0.928687
3.9,465000,795000,39,82,64701,112944,0.935809
4,450000,795000,35,86,64701,114392,0.928687
4.1,420000,825000,38,87,64701,117288,0.904306
4.2,450000,795000,41,85,64701,118736,0.928687
4.3,450000,810000,35,90,64701,120184,0.924528
4.4,405000,840000,38,89,64701,121632,0.891203
4.5,465000,780000,40,90,54541,123080,0.939836
4.6,420000,825000,27,95,54541,123080,0.904306
4.7,315000,945000,31,91,54541,124528,0.8
4.8,390000,855000,34,89,54541,125976,0.87758
4.9,375000,870000,30,93,54541,125976,0.8635
5,330000,915000,29,93,51234,127424,0.819144
5.1,405000,840000,29,92,51234,128872,0.891203
5.2,330000,930000,28,96,51234,128872,0.815157
5.3,300000,945000,30,94,51234,130320,0.788396
5.4,390000,855000,33,95,54130,131768,0.87758
5.5,330000,915000,27,119,51234,131768,0.819144
5.6,300000,957160,30,121,51234,131768,0.785391
5.7,420000,827320,29,120,51234,131768,0.903637
5.8,285000,960160,29,122,51234,133216,0.772791
5.9,315000,932120,30,121,51234,133216,0.803301
6,420000,825920,27,121,50546,133216,0.90404
6.1,270000,981680,28,121,50546,133216,0.755696
6.2,300000,950280,31,118,50546,133216,0.787084
6.3,420000,825920,23,122,47245,133216,0.90404
6.4,225000,1.0182e+06,24,121,44349,133216,0.71069
6.5,255000,993320,31,114,44349,133216,0.740843
6.6,390000,857320,24,121,44349,133216,0.876909
6.7,255000,993320,22,122,41785,133216,0.740843
6.8,240000,1.01344e+06,32,112,44681,133216,0.724241
6.9,375000,863840,19,122,41785,133216,0.865273
7,210000,1.04996e+06,24,119,41785,133216,0.692314
7.1,285000,961560,27,114,41785,133216,0.772458
7.2,330000,917120,22,120,41785,133216,0.818575
7.3,240000,1.00832e+06,24,118,41785,133216,0.725258
7.4,300000,938640,26,116,41785,133216,0.789989
7.5,300000,960160,23,120,41785,133216,0.784659
7.6,255000,981680,23,118,39411,133216,0.74334
7.7,285000,965280,27,116,42307,133216,0.771577
7.8,315000,938640,19,122,39411,133216,0.801623
7.9,210000,1.03496e+06,22,118,37472,133216,0.694883
8,300000,948520,22,117,37472,133216,0.78752
8.1,255000,988200,21,118,37472,133216,0.741935
8.2,240000,1.00832e+06,21,118,37472,133216,0.725258
8.3,255000,996680,22,113,37472,133216,0.740131
8.4,270000,976920,19,120,35043,133216,0.756766
8.5,225000,1.02984e+06,21,118,35043,133216,0.708527
8.6,255000,981680,23,118,37939,133216,0.74334
8.7,270000,981680,18,120,35043,133216,0.755696
