Time,NewReno_1_Bps,Cubic_2_Bps,NewReno_1_PktLoss,Cubic_2_PktLoss,NewReno_1_Cwnd,Cubic_2_Cwnd,JainsFairnessIndex
11.2,750000,495000,71,62,123102,117288,0.959738
11.3,720000,525000,77,61,123548,120184,0.976056
11.4,765000,495000,74,59,123932,121632,0.956098
11.5,795000,450000,69,63,124316,121632,0.928687
11.6,780000,465000,70,63,124732,123080,0.939836
11.7,750000,495000,72,67,125148,124528,0.959738
11.8,750000,510000,74,68,125564,125976,0.964989
11.9,720000,525000,76,66,125964,127424,0.976056
12,750000,495000,75,65,126348,127424,0.959738
12.1,750000,495000,75,65,126748,128872,0.959738
12.2,765000,480000,72,65,127132,128872,0.950207
12.3,780000,480000,71,68,127532,130320,0.946352
12.4,720000,525000,75,69,127948,130320,0.976056
12.5,735000,510000,76,78,128348,131768,0.968372
12.6,750000,495000,76,90,128748,131768,0.959738
12.7,705000,543800,78,91,129132,133216,0.98361
12.8,720000,531000,41,62,81779,116048,0.977684
12.9,483880,627440,41,9,62432,92672,0.983587
13,1.2168e+06,4560,31,57,63554,92672,0.503747
13.1,630000,616600,34,34,64258,92672,0.999884
13.2,855000,390680,33,51,65154,95568,0.878011
13.3,660000,585000,32,52,65817,98464,0.996384
13.4,720000,540000,41,56,66685,101360,0.98
13.5,675000,570000,38,58,67336,104256,0.992937
13.6,690000,555000,43,62,68096,105704,0.988379
13.7,675000,570000,44,62,68786,108600,0.992937
13.8,690000,555000,44,62,69476,110048,0.988379
13.9,675000,585000,44,65,70128,112944,0.994924
14,660000,585000,44,63,70766,114392,0.996384
14.1,660000,585000,43,65,71375,115840,0.996384
14.2,645000,600000,46,64,72042,117288,0.998695
14.3,645000,615000,44,62,72611,118736,0.999433
14.4,660000,585000,46,64,73255,120184,0.996384
14.5,600000,645000,46,60,73815,121632,0.998695
14.6,675000,570000,44,65,74403,123080,0.992937
14.7,615000,630000,45,62,74988,124528,0.999855
14.8,615000,645000,49,60,75582,125976,0.999433
14.9,645000,600000,50,64,76176,125976,0.998695
15,630000,615000,53,64,76770,127424,0.999855
15.1,660000,585000,49,68,77310,128872,0.996384
15.2,630000,630000,51,68,77895,128872,1
15.3,630000,615000,50,68,78415,130320,0.999855
15.4,645000,600000,49,70,78961,130320,0.998695
15.5,615000,630000,50,68,79507,130320,0.999855
15.6,630000,615000,53,81,80079,131768,0.999855
15.7,645000,606840,50,90,80599,131768,0.999072
15.8,615000,638400,52,89,81126,133216,0.999652
15.9,630000,611760,54,89,81676,133216,0.999784
16,630000,626760,54,88,82201,133216,0.999993
16.1,660000,585480,53,93,82726,133216,0.996433
16.2,615000,628160,54,91,83251,133216,0.999888
16.3,645000,611760,53,89,83776,133216,0.999301
16.4,630000,606640,54,89,84284,133216,0.999643
16.5,630000,622000,56,89,84812,133216,0.999959
16.6,660000,595000,54,90,85316,133216,0.997325
16.7,630000,607000,57,89,85844,133216,0.999654
16.8,645000,606640,56,89,86348,133216,0.999062
16.9,660000,595360,54,91,86852,133216,0.997356
17,630000,611760,57,89,87380,133216,0.999784
17.1,645000,606640,56,89,87863,133216,0.999062
17.2,660000,588840,59,90,88392,133216,0.996764
17.3,645000,596760,58,91,88875,133216,0.998493
17.4,675000,573840,57,93,89381,133216,0.993481
17.5,645000,601520,57,91,89864,133216,0.998785
17.6,660000,590240,57,93,90370,133216,0.996896
17.7,645000,610360,58,90,90876,133216,0.999239
17.8,645000,591640,62,89,91395,133216,0.998142
17.9,675000,573840,59,91,91857,133216,0.993481
18,675000,585120,58,89,92341,133216,0.994938
18.1,645000,600480,60,91,92825,133216,0.998724
18.2,660000,580000,60,91,93309,133216,0.995855
18.3,660000,595360,62,91,93815,133216,0.997356
18.4,675000,573840,62,91,94299,133216,0.993481
18.5,660000,580000,62,89,94783,133216,0.995855
18.6,690000,568720,62,93,95289,133216,0.990802
18.7,645000,590240,62,91,95731,133216,0.998039
18.8,690000,563600,62,91,96214,133216,0.989936
18.9,660000,590240,62,89,96676,133216,0.996896
19,675000,568720,64,93,97159,133216,0.992751
19.1,675000,573840,63,93,97621,133216,0.993481
19.2,675000,580000,64,91,98104,133216,0.994303
19.3,675000,573840,64,91,98566,133216,0.993481
19.4,660000,585120,64,89,99028,133216,0.996396
19.5,705000,547200,63,91,99511,133216,0.984368
19.6,675000,562200,65,94,99987,133216,0.991756
19.7,660000,591640,67,91,100447,133216,0.997026
