Time,NewReno_1_Bps,NewReno_2_Bps,NewReno_1_PktLoss,NewReno_2_PktLoss,NewReno_1_Cwnd,NewReno_2_Cwnd,JainsFairnessIndex
11.3,825000,420000,81,49,130812,100220,0.904306
11.4,840000,405000,93,48,131232,100480,0.891203
11.5,865160,390000,99,50,131697,100760,0.874652
11.6,828080,420000,101,50,126640,101040,0.903418
11.7,830680,420000,34,50,62596,101320,0.902671
11.8,482560,765000,37,27,62629,98464,0.951245
11.9,881640,364600,34,2,63585,49232,0.853151
12,1.11e+06,135680,39,26,64833,49568,0.620435
12.1,885000,360000,31,25,65630,50069,0.849026
12.2,900000,345000,36,14,66622,50315,0.834221
12.3,990000,270000,40,25,67705,50889,0.753846
12.4,870000,375000,39,20,68545,51296,0.8635
12.5,960000,285000,37,19,69475,51656,0.772829
12.6,975000,270000,35,26,70388,52136,0.757199
12.7,885000,360000,43,22,71345,52534,0.849026
12.8,960000,300000,41,24,72244,52963,0.784698
12.9,915000,330000,39,22,73058,53353,0.819144
13,945000,300000,41,23,73954,53743,0.788396
13.1,930000,315000,41,24,74822,54162,0.803851
13.2,930000,330000,42,24,75662,54580,0.815157
13.3,915000,330000,45,24,76526,54998,0.819144
13.4,945000,300000,43,25,77336,55373,0.788396
13.5,900000,345000,45,24,78154,55780,0.834221
13.6,915000,330000,47,22,78960,56150,0.819144
13.7,960000,300000,44,25,79740,56557,0.784698
13.8,930000,315000,46,26,80572,56956,0.803851
13.9,915000,330000,46,26,81325,57352,0.819144
14,915000,330000,47,26,82100,57748,0.819144
14.1,930000,330000,48,25,82875,58108,0.815157
14.2,930000,315000,48,26,83650,58497,0.803851
14.3,915000,330000,50,26,84403,58882,0.819144
14.4,915000,330000,49,26,85123,59267,0.819144
14.5,930000,315000,50,26,85867,59617,0.803851
14.6,930000,330000,48,26,86587,60000,0.815157
14.7,915000,330000,50,26,87331,60374,0.819144
14.8,945000,300000,49,28,88046,60748,0.788396
14.9,915000,330000,51,29,88759,61122,0.819144
15,915000,345000,52,30,89472,61530,0.830118
15.1,915000,330000,54,28,90185,61865,0.819144
15.2,915000,330000,53,28,90875,62228,0.819144
15.3,915000,330000,55,29,91570,62591,0.819144
15.4,900000,345000,57,28,92252,62954,0.834221
15.5,930000,330000,56,28,92912,63317,0.815157
15.6,915000,330000,57,28,93594,63676,0.819144
15.7,915000,330000,59,29,94276,64028,0.819144
15.8,900000,345000,59,28,94936,64380,0.834221
15.9,960000,300000,58,32,95604,64764,0.784698
16,885000,360000,59,30,96234,65116,0.849026
16.1,930000,315000,59,32,96885,65468,0.803851
16.2,885000,360000,61,30,97515,65811,0.849026
16.3,930000,315000,59,31,98145,66152,0.803851
16.4,915000,345000,59,30,98775,66493,0.830118
16.5,930000,315000,59,32,99426,66834,0.803851
16.6,885000,360000,63,30,100066,67175,0.849026
16.7,945000,300000,60,34,100666,67547,0.788396
16.8,900000,360000,60,32,101266,67880,0.844828
16.9,915000,330000,62,33,101886,68210,0.819144
17,900000,345000,60,32,102466,68540,0.834221
17.1,885000,360000,64,32,103086,68900,0.849026
17.2,915000,330000,63,32,103686,69230,0.819144
17.3,930000,330000,64,33,104306,69560,0.815157
17.4,915000,330000,63,35,104903,69920,0.819144
17.5,900000,345000,63,34,105473,70239,0.834221
17.6,915000,330000,65,34,106062,70558,0.819144
17.7,900000,360000,63,34,106613,70906,0.844828
17.8,900000,345000,64,34,107183,71225,0.834221
17.9,885000,360000,65,34,107753,71573,0.849026
18,915000,330000,66,34,108342,71892,0.819144
18.1,885000,360000,70,32,108931,72211,0.849026
18.2,930000,330000,66,35,109482,72551,0.815157
18.3,900000,345000,69,34,110071,72859,0.834221
18.4,915000,330000,68,36,110626,73195,0.819144
18.5,915000,330000,65,38,111148,73531,0.819144
18.6,900000,360000,68,36,111706,73839,0.844828
18.7,915000,330000,67,39,112246,74175,0.819144
18.8,870000,375000,67,36,112768,74483,0.8635
18.9,885000,360000,69,34,113308,74791,0.849026
19,900000,345000,71,35,113866,75119,0.834221
19.1,930000,330000,72,38,114424,75443,0.815157
19.2,900000,345000,70,37,114946,75740,0.834221
19.3,885000,360000,71,37,115486,76064,0.849026
19.4,930000,315000,70,40,116026,76388,0.803851
19.5,885000,375000,71,39,116562,76712,0.85923
19.6,900000,345000,71,39,117072,77009,0.834221
19.7,870000,375000,72,36,117565,77306,0.8635
19.8,915000,330000,71,38,118075,77630,0.819144
19.9,885000,360000,74,38,118602,77943,0.849026
20,900000,360000,73,39,119095,78255,0.844828
20.1,915000,330000,74,39,119622,78541,0.819144
20.2,870000,375000,74,38,120115,78853,0.8635
20.3,915000,330000,74,40,120625,79165,0.819144
20.4,900000,360000,72,40,121118,79477,0.844828
20.5,885000,360000,76,41,121645,79789,0.849026
20.6,885000,360000,77,39,122155,80075,0.849026
20.7,900000,345000,75,40,122648,80387,0.834221
20.8,885000,360000,77,40,123158,80697,0.849026
20.9,900000,360000,77,40,123649,80997,0.844828
21,900000,345000,75,42,124113,81297,0.834221
21.1,870000,375000,78,39,124593,81572,0.8635
21.2,900000,345000,78,42,125073,81897,0.834221
21.3,900000,360000,78,40,125553,82172,0.844828
21.4,885000,360000,78,42,126017,82497,0.849026
21.5,900000,345000,78,42,126497,82772,0.834221
21.6,885000,360000,77,42,126961,83072,0.849026
21.7,900000,345000,80,43,127457,83372,0.834221
21.8,870000,390000,80,41,127921,83672,0.873267
21.9,900000,345000,80,42,128401,83968,0.834221
22,885000,360000,79,41,128865,84232,0.849026
22.1,870000,375000,82,40,129345,84520,0.8635
22.2,915000,345000,81,43,129825,84832,0.830118
22.3,900000,345000,79,42,130289,85096,0.834221
22.4,885000,360000,84,44,130769,85408,0.849026
22.5,885000,360000,100,45,131237,85696,0.849026
22.6,867000,390000,111,43,131732,85984,0.874125
22.7,894880,345000,110,44,132317,86272,0.83564
22.8,895600,360000,51,44,64112,86560,0.846052
22.9,449080,720000,51,20,63309,86848,0.949035
23,930000,300000,36,43,64052,87352,0.792177
23.1,630000,615000,38,30,64756,87675,0.999855
23.2,855000,390000,38,36,65648,88043,0.87758
23.3,735000,510000,35,39,66361,88457,0.968372
23.4,780000,480000,38,45,67198,88894,0.946352
23.5,720000,525000,38,44,67933,89285,0.976056
23.6,705000,540000,46,40,68743,89653,0.982739
23.7,735000,510000,47,41,69493,90044,0.968372
23.8,750000,510000,48,39,70232,90412,0.964989
23.9,750000,495000,46,38,70928,90780,0.959738
24,765000,480000,46,38,71653,91148,0.950207
24.1,735000,510000,45,39,72348,91523,0.968372
24.2,750000,495000,46,36,73048,91853,0.959738
24.3,780000,480000,44,36,73748,92205,0.946352
24.4,765000,480000,44,38,74448,92579,0.950207
24.5,765000,480000,43,39,75139,92931,0.950207
24.6,750000,495000,42,40,75787,93305,0.959738
24.7,780000,480000,42,40,76489,93657,0.946352
24.8,765000,480000,44,42,77191,94031,0.950207
24.9,765000,480000,43,43,77859,94383,0.950207
25,720000,525000,44,42,78483,94757,0.976056
25.1,765000,480000,45,42,79159,95109,0.950207
25.2,780000,480000,46,42,79835,95454,0.946352
25.3,735000,510000,47,43,80485,95811,0.968372
25.4,750000,495000,46,42,81092,96147,0.959738
25.5,765000,480000,47,46,81742,96525,0.950207
25.6,750000,510000,47,44,82367,96861,0.964989
25.7,765000,480000,49,45,83017,97197,0.950207
25.8,720000,525000,51,42,83642,97533,0.976056
25.9,765000,480000,51,44,84252,97890,0.950207
26,735000,510000,56,42,84900,98226,0.968372
26.1,780000,480000,55,45,85500,98583,0.946352
26.2,750000,495000,55,44,86100,98919,0.959738
26.3,765000,480000,56,46,86724,99276,0.950207
26.4,765000,480000,56,46,87324,99612,0.950207
26.5,750000,510000,56,47,87901,99964,0.964989
26.6,780000,465000,57,50,88499,100304,0.939836
26.7,765000,480000,56,50,89074,100624,0.950207
26.8,735000,510000,57,48,89649,100944,0.968372
26.9,765000,480000,57,48,90224,101264,0.950207
27,780000,480000,55,49,90799,101584,0.946352
27.1,750000,495000,58,48,91387,101904,0.959738
27.2,765000,480000,57,50,91937,102244,0.950207
27.3,735000,510000,58,48,92487,102564,0.968372
27.4,780000,480000,57,49,93037,102884,0.946352
27.5,735000,510000,60,49,93609,103224,0.968372
27.6,750000,495000,61,48,94159,103544,0.959738
27.7,795000,450000,60,52,94731,103884,0.928687
27.8,735000,510000,61,50,95281,104204,0.968372
27.9,765000,495000,61,50,95808,104524,0.956098
28,765000,480000,60,50,96333,104844,0.950207
28.1,765000,480000,61,52,96879,105167,0.950207
28.2,765000,480000,63,52,97425,105471,0.950207
28.3,750000,510000,61,51,97929,105775,0.964989
28.4,765000,480000,63,51,98475,106079,0.950207
28.5,750000,495000,63,52,99000,106402,0.959738
28.6,765000,480000,62,52,99525,106706,0.950207
28.7,750000,495000,65,51,100061,107010,0.959738
28.8,795000,465000,64,53,100581,107314,0.935809
28.9,750000,495000,62,54,101061,107637,0.959738
29,750000,495000,63,53,101561,107941,0.959738
29.1,750000,495000,65,52,102081,108245,0.959738
29.2,765000,495000,66,53,102601,108568,0.956098
29.3,780000,465000,65,55,103101,108872,0.939836
29.4,750000,495000,65,54,103601,109176,0.959738
29.5,735000,510000,68,52,104121,109480,0.968372
29.6,780000,465000,67,55,104621,109803,0.939836
29.7,765000,495000,66,53,105107,110088,0.956098
29.8,765000,480000,67,55,105601,110408,0.950207
29.9,750000,495000,68,54,106076,110696,0.959738
30,765000,480000,69,56,106570,111002,0.950207
30.1,765000,495000,66,55,107026,111290,0.956098
30.2,750000,495000,69,55,107520,111578,0.959738
30.3,765000,480000,70,55,108014,111866,0.950207
30.4,750000,495000,68,54,108470,112154,0.959738
30.5,765000,480000,70,56,108964,112460,0.950207
30.6,780000,480000,70,56,109458,112748,0.946352
30.7,750000,495000,70,58,109933,113054,0.959738
30.8,780000,465000,69,59,110406,113342,0.939836
30.9,750000,495000,71,58,110874,113630,0.959738
31,750000,510000,71,56,111324,113918,0.964989
31.1,765000,480000,71,56,111774,114206,0.950207
31.2,765000,480000,72,59,112242,114512,0.950207
31.3,765000,480000,71,59,112692,114800,0.950207
31.4,750000,495000,74,58,113160,115088,0.959738
31.5,750000,510000,72,56,113592,115376,0.964989
31.6,780000,465000,74,57,114078,115664,0.939836
31.7,780000,465000,73,59,114528,115952,0.939836
31.8,735000,510000,74,59,114978,116258,0.968372
31.9,765000,495000,73,56,115428,116526,0.956098
32,765000,480000,75,60,115896,116832,0.950207
32.1,765000,480000,74,58,116346,117087,0.950207
32.2,750000,495000,76,60,116796,117376,0.959738
32.3,750000,495000,78,59,117238,117648,0.959738
32.4,780000,480000,77,59,117663,117920,0.946352
32.5,765000,480000,76,59,118088,118192,0.950207
32.6,750000,495000,76,60,118513,118481,0.959738
32.7,765000,480000,78,61,118955,118753,0.950207
32.8,780000,480000,76,59,119380,119008,0.946352
32.9,750000,495000,76,60,119805,119297,0.959738
33,765000,480000,78,62,120247,119586,0.950207
33.1,765000,480000,77,62,120672,119858,0.950207
33.2,765000,480000,76,62,121097,120130,0.950207
33.3,750000,510000,78,61,121539,120402,0.964989
33.4,765000,480000,78,61,121964,120674,0.950207
33.5,750000,495000,80,62,122406,120963,0.959738
33.6,765000,480000,79,62,122831,121235,0.950207
33.7,765000,495000,81,61,123273,121507,0.956098
33.8,765000,480000,80,62,123677,121779,0.950207
33.9,780000,465000,80,63,124093,122051,0.939836
34,750000,495000,78,64,124477,122340,0.959738
34.1,735000,510000,84,62,124909,122612,0.968372
34.2,780000,480000,80,62,125293,122884,0.946352
34.3,765000,480000,81,65,125709,123173,0.950207
34.4,735000,510000,83,63,126109,123439,0.968372
34.5,780000,465000,83,64,126525,123695,0.939836
34.6,780000,480000,81,64,126925,123951,0.946352
34.7,735000,510000,82,64,127325,124223,0.968372
34.8,765000,480000,84,64,127741,124479,0.950207
34.9,765000,480000,83,65,128141,124735,0.950207
35,765000,480000,84,65,128557,124991,0.950207
35.1,765000,495000,84,64,128957,125247,0.956098
35.2,765000,480000,83,66,129357,125519,0.950207
35.3,765000,480000,84,66,129773,125775,0.950207
35.4,750000,495000,86,66,130189,126031,0.959738
35.5,765000,495000,86,67,130589,126303,0.956098
35.6,750000,495000,90,66,130973,126559,0.959738
35.7,769360,480000,107,66,131368,126815,0.949089
35.8,772000,465000,99,67,127552,127071,0.94198
35.9,805120,450000,38,55,62976,117288,0.92588
36,578000,665320,50,12,63141,61540,0.995092
36.1,1.18688e+06,62280,48,53,64529,61574,0.55233
36.2,690000,569160,47,32,65233,61940,0.990874
36.3,915000,330000,52,33,66266,62336,0.819144
36.4,900000,345000,47,42,67103,62864,0.834221
36.5,795000,450000,54,32,68021,63194,0.928687
36.6,885000,360000,56,36,68921,63653,0.849026
36.7,870000,390000,55,35,69761,64037,0.873267
36.8,870000,375000,55,34,70607,64421,0.8635
36.9,885000,360000,55,36,71448,64837,0.849026
37,885000,360000,54,39,72289,65253,0.849026
37.1,855000,405000,58,38,73130,65665,0.886878
37.2,840000,405000,61,35,73942,66037,0.891203
37.3,870000,375000,59,36,74726,66440,0.8635
37.4,885000,360000,57,37,75488,66812,0.849026
37.5,855000,390000,58,35,76271,67184,0.87758
37.6,885000,375000,60,36,77081,67587,0.85923
37.7,885000,360000,59,38,77857,67979,0.849026
37.8,885000,360000,59,43,78611,68399,0.849026
37.9,840000,405000,61,42,79365,68789,0.891203
38,855000,405000,65,39,80145,69149,0.886878
38.1,855000,390000,64,38,80865,69509,0.87758
38.2,870000,375000,65,39,81590,69899,0.8635
38.3,855000,390000,66,39,82315,70276,0.87758
38.4,870000,375000,67,40,83040,70653,0.8635
38.5,885000,375000,64,40,83740,71001,0.85923
38.6,870000,375000,63,41,84418,71378,0.8635
38.7,840000,405000,65,38,85114,71726,0.891203
38.8,855000,390000,65,36,85786,72074,0.87758
38.9,900000,360000,65,39,86506,72446,0.844828
39,855000,390000,67,39,87202,72810,0.87758
39.1,885000,360000,66,41,87876,73174,0.849026
39.2,840000,405000,67,40,88520,73538,0.891203
39.3,885000,360000,66,43,89187,73902,0.849026
39.4,870000,390000,67,41,89854,74238,0.873267
39.5,840000,405000,69,42,90521,74630,0.891203
39.6,885000,360000,66,42,91165,74964,0.849026
39.7,855000,390000,70,43,91825,75315,0.87758
39.8,870000,390000,70,43,92463,75666,0.873267
39.9,870000,375000,69,44,93079,76017,0.8635
40,855000,390000,70,44,93717,76368,0.87758
40.1,855000,390000,70,44,94333,76719,0.87758
40.2,870000,375000,72,44,94993,77043,0.8635
40.3,840000,420000,73,44,95596,77421,0.9
40.4,885000,360000,70,44,96184,77742,0.849026
40.5,840000,405000,72,43,96793,78080,0.891203
40.6,870000,375000,73,43,97402,78392,0.8635
40.7,855000,405000,74,42,98011,78730,0.886878
40.8,855000,390000,76,44,98620,79094,0.87758
40.9,855000,390000,77,44,99229,79432,0.87758
41,855000,390000,76,45,99817,79770,0.87758
41.1,870000,375000,77,46,100399,80108,0.8635
