Time,Flow1_Bbr_Bps,Flow2_Bbr_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
13.1,645000,600000,34,36,75018,73662,0.998695
13.2,615000,645000,37,36,75018,73662,0.999433
13.3,630000,615000,39,38,75018,75150,0.999855
13.4,630000,615000,39,42,75018,78046,0.999855
13.5,600000,645000,40,34,75018,75150,0.998695
13.6,660000,600000,35,38,75018,75150,0.997738
13.7,600000,645000,39,38,74469,75150,0.998695
13.8,630000,615000,39,40,74469,75150,0.999855
13.9,615000,630000,42,39,77365,75150,0.999855
14,645000,600000,34,37,74469,75150,0.998695
14.1,600000,660000,37,37,74469,75150,0.997738
14.2,630000,615000,39,40,74469,75150,0.999855
14.3,615000,630000,39,41,74469,78046,0.999855
14.4,615000,630000,39,35,74469,75150,0.999855
14.5,660000,600000,34,38,74469,75150,0.997738
14.6,585000,660000,38,38,73769,74468,0.996384
14.7,630000,615000,38,40,73769,74469,0.999855
14.8,615000,630000,40,41,76665,74469,0.999855
14.9,630000,615000,33,36,73769,74469,0.999855
15,600000,660000,36,36,73769,74469,0.997738
15.1,630000,615000,37,38,73769,74469,0.999855
15.2,615000,630000,39,39,73769,74469,0.999855
15.3,615000,630000,38,36,73769,74469,0.999855
15.4,645000,615000,33,37,73769,74469,0.999433
15.5,600000,645000,36,37,73769,74469,0.998695
15.6,615000,630000,38,38,73769,74469,0.999855
15.7,615000,630000,41,41,76665,77365,0.999855
15.8,630000,615000,34,36,73769,74469,0.999855
15.9,615000,645000,36,36,73769,74333,0.999433
16,615000,630000,37,37,73168,74333,0.999855
16.1,630000,615000,38,39,73168,74333,0.999855
16.2,615000,630000,38,37,73168,74333,0.999855
16.3,630000,630000,33,36,73168,74333,1
16.4,600000,645000,36,36,73168,74333,0.998695
16.5,615000,630000,38,37,73885,74333,0.999855
16.6,630000,615000,41,42,76781,77365,0.999855
16.7,615000,630000,35,35,73885,74469,0.999855
16.8,630000,630000,36,36,73885,74469,1
16.9,615000,630000,38,38,73885,74469,0.999855
17,630000,615000,39,40,73885,74469,0.999855
17.1,615000,630000,39,37,73885,74469,0.999855
17.2,645000,615000,35,36,73885,74469,0.999433
17.3,615000,630000,37,38,73885,74469,0.999855
17.4,615000,630000,39,39,73885,74469,0.999855
17.5,615000,630000,42,42,76781,77365,0.999855
17.6,630000,615000,34,35,73885,74469,0.999855
17.7,630000,630000,35,37,73885,74469,1
17.8,615000,630000,37,38,73083,74469,0.999855
17.9,615000,630000,38,38,73083,73797,0.999855
18,630000,615000,37,38,73083,73797,0.999855
18.1,615000,645000,34,34,73662,73797,0.999433
18.2,630000,615000,35,36,73662,73769,0.999855
18.3,615000,630000,37,36,73662,73769,0.999855
18.4,630000,615000,38,40,76781,76781,0.999855
18.5,615000,645000,36,34,73885,73885,0.999433
18.6,630000,615000,36,36,73885,74333,0.999855
18.7,630000,615000,37,38,73885,74333,0.999855
18.8,615000,630000,39,39,73885,74333,0.999855
18.9,615000,630000,42,40,76781,74469,0.999855
19,645000,615000,34,36,73885,74469,0.999433
19.1,600000,645000,37,36,73885,74469,0.998695
19.2,630000,615000,38,39,73885,74469,0.999855
19.3,615000,630000,40,40,73885,77365,0.999855
19.4,630000,630000,37,35,73885,74469,1
19.5,630000,615000,35,36,73885,74469,0.999855
19.6,615000,630000,37,38,73885,74469,0.999855
19.7,615000,630000,39,39,73769,74469,0.999855
19.8,615000,630000,42,41,76665,77365,0.999855
19.9,630000,630000,34,34,73769,74469,1
