Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
12.9,823240,420000,107,54,133544,105711,0.904813
13,828000,420000,106,55,132256,105711,0.903441
13.1,832600,420000,104,52,132784,103822,0.902119
13.2,789040,465000,106,49,130984,103822,0.93741
13.3,887440,360000,91,52,132872,103822,0.848338
13.4,795120,450000,101,50,132872,101872,0.928654
13.5,859760,390000,100,50,133968,101872,0.876205
13.6,841280,405000,103,53,135494,101872,0.890832
13.7,790080,465000,105,49,136942,103320,0.937131
13.8,874600,360000,102,52,136942,101418,0.851981
13.9,804040,450000,105,48,132096,101418,0.926179
14,844760,405000,105,49,132096,101418,0.889825
14.1,842320,405000,105,50,137209,101418,0.890531
14.2,827480,420000,104,51,133968,102866,0.903591
14.3,826960,420000,102,49,136100,102866,0.903741
14.4,842320,405000,102,50,133968,101118,0.890531
14.5,853600,390000,102,50,134975,101118,0.877985
14.6,830680,420000,105,47,136423,99462,0.902671
14.7,838600,405000,104,50,137871,99462,0.891609
14.8,854120,405000,100,49,132096,99462,0.88713
14.9,873200,375000,98,50,131496,99462,0.862583
15,816560,420000,102,51,136801,100910,0.906745
15.1,831040,420000,104,48,132096,99415,0.902567
15.2,863480,390000,100,50,132008,99415,0.875134
15.3,831560,420000,102,48,137306,99415,0.902418
15.4,848320,390000,100,49,138754,97989,0.879519
15.5,863840,390000,100,49,133968,97989,0.875031
15.6,847440,405000,100,48,137922,97989,0.889051
15.7,825920,420000,104,49,139370,99437,0.90404
15.8,868960,375000,102,47,139370,98140,0.863798
15.9,840920,405000,101,48,133968,98140,0.890936
16,863840,390000,99,48,133968,98140,0.875031
16.1,853960,390000,99,48,140042,98140,0.877881
16.2,836680,420000,102,49,132696,99588,0.90095
16.3,852560,390000,101,47,139311,99588,0.878287
16.4,840400,405000,101,48,140759,99588,0.891087
16.5,859080,390000,100,50,140759,98477,0.876401
16.6,863840,390000,97,50,142207,98477,0.875031
16.7,798760,435000,102,50,142207,99925,0.920023
16.8,852560,405000,102,48,143655,99925,0.887578
16.9,841280,405000,100,49,132096,99925,0.890832
17,878840,375000,99,51,132096,101373,0.860975
17.1,816040,420000,100,50,144441,101373,0.906896
17.2,814640,435000,102,52,132696,102821,0.915504
17.3,842320,405000,98,51,132696,102821,0.890531
17.4,814640,435000,102,50,132096,102821,0.915504
17.5,867560,390000,100,53,132096,104269,0.873965
17.6,825920,420000,98,53,144708,104269,0.90404
17.7,837040,405000,100,52,144708,104269,0.892063
17.8,809520,435000,100,54,133968,105717,0.916958
17.9,824880,435000,100,52,145629,104824,0.912605
18,825920,420000,100,52,133968,104824,0.90404
18.1,828760,420000,99,49,133968,104824,0.903223
18.2,827160,420000,99,52,145115,104824,0.903683
18.3,825040,420000,101,53,146563,106272,0.904294
18.4,820120,420000,101,53,133968,106272,0.905715
18.5,825920,435000,102,53,146060,107720,0.912311
18.6,820280,420000,97,53,147508,107720,0.905668
18.7,824000,420000,99,52,147508,106884,0.904594
18.8,832440,420000,97,54,133968,106884,0.902165
18.9,835120,420000,100,54,147046,106884,0.901396
19,793640,450000,101,52,132096,106884,0.929064
19.1,820280,420000,103,53,132096,108332,0.905668
19.2,814640,435000,102,51,148008,108332,0.915504
19.3,815680,435000,100,52,149456,107599,0.915209
19.4,846400,405000,100,54,132184,107599,0.889351
19.5,814280,435000,102,53,132184,107599,0.915606
19.6,805280,435000,101,55,149053,109047,0.918165
19.7,820280,435000,102,53,150501,109047,0.913906
19.8,825920,420000,99,56,150501,110495,0.90404
19.9,825400,420000,100,55,151949,110495,0.90419
