Time,Flow1_NewReno_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
12.9,510000,729600,71,104,114761,133216,0.969571
13,615000,643520,64,112,115067,133216,0.999487
13.1,510000,729600,70,104,115427,133216,0.969571
13.2,600000,643520,68,106,115769,133216,0.998777
13.3,570000,681440,67,108,116093,133216,0.992133
13.4,555000,691680,72,102,116471,133216,0.988123
13.5,630000,626760,64,113,116761,133216,0.999993
13.6,495000,746360,77,96,117152,133216,0.960614
13.7,705000,547200,65,114,117441,133216,0.984368
13.8,450000,799280,77,96,117798,133216,0.927499
13.9,675000,573840,70,106,118121,133216,0.993481
14,540000,708080,72,102,118444,133216,0.982187
14.1,585000,665040,76,98,118801,133216,0.995917
14.2,615000,631880,73,103,119124,133216,0.999817
14.3,525000,714600,82,92,119498,133216,0.97714
14.4,690000,567320,74,103,119821,133216,0.990569
14.5,540000,708080,76,101,120144,133216,0.982187
14.6,585000,650040,82,94,120518,133216,0.997234
14.7,660000,590240,68,112,120773,133216,0.996896
14.8,570000,685160,78,99,121181,133216,0.991652
14.9,645000,596760,69,110,121470,133216,0.998493
15,585000,665040,71,108,121810,133216,0.995917
15.1,540000,708080,77,102,122167,133216,0.982187
15.2,705000,552320,64,118,122456,133216,0.985468
15.3,450000,792760,74,105,122796,133216,0.929309
15.4,690000,558840,71,110,123153,133216,0.98909
15.5,570000,674920,65,117,123420,133216,0.992947
15.6,555000,698200,76,104,123804,133216,0.987111
15.7,600000,643520,70,110,124076,133216,0.998777
15.8,600000,653400,70,111,124396,133216,0.998188
15.9,525000,719720,80,98,124748,133216,0.976112
16,705000,547200,69,114,125036,133216,0.984368
16.1,495000,751120,80,100,125388,133216,0.959468
16.2,615000,622000,81,100,125724,133216,0.999968
16.3,675000,583720,79,103,126060,133216,0.994769
16.4,540000,698200,83,98,126380,133216,0.983938
16.5,645000,616880,86,92,126748,133216,0.999504
16.6,660000,573840,72,112,126988,133216,0.995147
16.7,630000,616880,76,106,127356,133216,0.999889
16.8,570000,681440,79,104,127676,133216,0.992133
16.9,720000,530800,67,120,127964,133216,0.977631
17,465000,777760,76,108,128284,133216,0.940437
17.1,660000,595360,76,108,128636,133216,0.997356
17.2,600000,643520,71,116,128908,133216,0.998777
17.3,540000,717960,79,105,129260,133216,0.98038
17.4,585000,655160,84,98,129612,133216,0.99681
17.5,705000,547200,73,112,129900,133216,0.984368
17.6,555000,686560,80,104,130252,133216,0.988896
17.7,570000,686560,87,94,130604,133216,0.991469
17.8,720000,525680,90,100,130956,133216,0.976244
