Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,660000,585000,32,35,65535,65535,0.996384
0.6,600000,645000,33,37,66983,66983,0.998695
0.7,570000,675000,38,35,68431,68431,0.992937
0.8,660000,585000,35,39,69879,69879,0.996384
0.9,615000,645000,39,37,71327,71327,0.999433
1,615000,630000,41,35,72775,71327,0.999855
1.1,615000,630000,40,38,72775,72775,0.999855
1.2,615000,630000,46,35,74223,74223,0.999855
1.3,735000,525000,36,45,75671,75671,0.972973
1.4,540000,705000,43,41,77119,77119,0.982739
1.5,630000,615000,40,45,78567,78567,0.999855
1.6,600000,645000,44,42,78567,78567,0.998695
1.7,615000,630000,50,39,80015,80015,0.999855
1.8,675000,585000,42,47,81463,81463,0.994924
1.9,600000,645000,47,45,82911,82911,0.998695
2,615000,630000,50,43,82911,82911,0.999855
2.1,600000,645000,53,41,84359,84359,0.998695
2.2,645000,615000,49,47,85807,85807,0.999433
2.3,615000,630000,51,45,87255,85807,0.999855
2.4,750000,495000,41,57,87255,87255,0.959738
2.5,600000,645000,46,55,88703,88703,0.998695
2.6,570000,675000,49,53,90151,90151,0.992937
2.7,675000,585000,48,54,90151,90151,0.994924
2.8,600000,645000,47,58,91599,91599,0.998695
2.9,585000,660000,53,53,93047,93047,0.996384
3,705000,540000,48,57,93047,93047,0.982739
3.1,600000,660000,49,60,94495,94495,0.997738
3.2,555000,690000,52,56,94495,94495,0.988379
3.3,765000,480000,44,65,95943,95943,0.950207
3.4,510000,735000,53,59,97391,97391,0.968372
3.5,645000,600000,56,57,97391,97391,0.998695
3.6,615000,645000,58,55,98839,98839,0.999433
3.7,600000,645000,55,61,100287,100287,0.998695
3.8,630000,615000,65,52,100287,100287,0.999855
3.9,675000,570000,53,65,101735,101735,0.992937
4,555000,705000,58,60,101735,101735,0.986026
4.1,705000,540000,56,65,103183,103183,0.982739
4.2,540000,705000,59,63,104631,104631,0.982739
4.3,660000,585000,65,56,104631,104631,0.996384
4.4,645000,600000,61,65,106079,106079,0.998695
4.5,660000,600000,57,67,106079,106079,0.997738
4.6,510000,735000,68,57,107527,107527,0.968372
4.7,630000,615000,71,56,108975,107527,0.999855
4.8,765000,480000,54,75,108975,108975,0.950207
4.9,495000,765000,64,65,110423,110423,0.956098
5,675000,570000,69,61,110423,110423,0.992937
5.1,570000,675000,66,67,111871,111871,0.992937
5.2,645000,600000,71,61,111871,111871,0.998695
5.3,690000,555000,62,73,113319,113319,0.988379
5.4,660000,600000,58,75,113319,113319,0.997738
5.5,510000,735000,69,67,114767,114767,0.968372
5.6,705000,540000,66,71,114767,114767,0.982739
5.7,540000,705000,75,63,116215,116215,0.982739
5.8,645000,615000,76,58,116215,111213,0.999433
5.9,660000,585000,68,67,117663,111213,0.996384
6,600000,645000,79,58,119987,111213,0.998695
6.1,765000,480000,56,77,113211,112661,0.950207
6.2,540000,705000,71,65,114659,112661,0.982739
6.3,630000,630000,69,66,114659,114109,1
6.4,615000,630000,68,68,116107,114109,0.999855
6.5,615000,630000,75,59,116107,111677,0.999855
6.6,615000,630000,73,63,117555,111677,0.999855
6.7,735000,525000,67,70,119657,111677,0.972973
6.8,615000,630000,62,71,114082,113125,0.999855
6.9,735000,510000,57,78,114082,113125,0.968372
7,465000,780000,64,69,110878,114573,0.939836
7.1,750000,495000,62,72,110878,114573,0.959738
7.2,450000,810000,72,63,112326,116021,0.924528
7.3,705000,540000,74,61,113774,116021,0.982739
7.4,600000,645000,62,72,113774,113124,0.998695
7.5,585000,660000,77,58,115222,113124,0.996384
7.6,720000,540000,57,77,112471,114572,0.98
7.7,525000,720000,70,64,112471,114572,0.976056
7.8,630000,615000,68,68,112471,116020,0.999855
7.9,570000,675000,69,65,110069,116020,0.992937
8,630000,615000,71,64,110069,117468,0.999855
8.1,555000,705000,68,67,111517,117468,0.986026
8.2,750000,495000,61,77,111517,118916,0.959738
8.3,510000,735000,64,72,112965,116729,0.968372
8.4,765000,480000,57,79,112965,116729,0.950207
8.5,405000,855000,67,72,114413,118177,0.886878
8.6,855000,390000,62,76,114413,118177,0.87758
8.7,345000,900000,69,67,112487,119625,0.834221
8.8,795000,450000,69,67,112487,119625,0.928687
8.9,480000,765000,67,73,112092,121073,0.950207
9,690000,570000,77,62,112092,121073,0.991011
9.1,570000,675000,59,78,112092,119315,0.992937
9.2,645000,600000,73,65,113540,119315,0.998695
9.3,615000,630000,56,81,113540,119179,0.999855
9.4,540000,720000,75,64,114988,119179,0.98
9.5,630000,615000,65,74,114988,119179,0.999855
9.6,555000,690000,75,63,116436,117670,0.988379
9.7,630000,615000,70,67,116436,117670,0.999855
9.8,570000,675000,77,59,115035,116228,0.992937
9.9,720000,540000,71,65,115035,116228,0.98
10,495000,750000,73,63,113650,116228,0.959738
10.1,795000,450000,62,72,113650,114848,0.928687
10.2,495000,750000,66,71,115098,116296,0.959738
10.3,855000,405000,57,78,115098,114951,0.886878
10.4,345000,900000,70,68,116546,114951,0.834221
10.5,900000,345000,64,72,116546,113659,0.834221
10.6,330000,915000,73,64,117994,113659,0.819144
10.7,870000,375000,74,63,116739,113659,0.8635
10.8,465000,795000,69,68,116739,115107,0.935809
10.9,735000,510000,80,58,116739,115107,0.968372
11,585000,660000,61,77,118187,116555,0.996384
11.1,720000,525000,73,65,118187,115435,0.976056
11.2,600000,660000,60,79,119635,115435,0.997738
11.3,630000,615000,72,66,118501,115435,0.999855
11.4,615000,630000,64,76,118501,116883,0.999855
11.5,585000,660000,75,64,118501,116883,0.996384
11.6,645000,600000,69,72,118860,115852,0.998695
11.7,585000,675000,81,59,118860,115852,0.994924
11.8,720000,525000,68,70,118860,114849,0.976056
11.9,510000,735000,78,59,117802,114849,0.968372
12,810000,435000,63,72,117802,113648,0.916822
12.1,435000,825000,75,61,116623,113648,0.912571
12.2,900000,345000,59,78,116623,113879,0.834221
12.3,405000,840000,69,68,118071,113879,0.891203
12.4,900000,345000,59,76,116833,113879,0.834221
12.5,345000,900000,70,66,116833,112708,0.834221
12.6,840000,420000,70,64,116833,112708,0.9
12.7,405000,840000,71,66,117103,114156,0.891203
12.8,795000,450000,79,56,117103,114156,0.928687
12.9,525000,720000,68,69,117103,115604,0.976056
13,810000,450000,70,67,117103,115604,0.924528
13.1,510000,735000,61,78,117423,117052,0.968372
13.2,735000,510000,68,72,117423,116007,0.968372
13.3,510000,735000,62,77,117423,116007,0.968372
13.4,690000,555000,70,68,116329,116007,0.988379
13.5,540000,720000,67,71,116329,115054,0.98
13.6,645000,600000,77,57,115163,115054,0.998695
13.7,690000,555000,63,71,115163,114078,0.988379
13.8,495000,750000,77,57,113993,114078,0.959738
13.9,855000,405000,56,78,113993,115526,0.886878
14,345000,900000,75,60,115441,115526,0.834221
14.1,960000,285000,58,78,115441,116974,0.772829
14.2,345000,900000,68,71,116889,116974,0.834221
14.3,825000,420000,70,70,116889,118422,0.904306
14.4,375000,885000,68,71,118337,117570,0.85923
14.5,825000,420000,77,63,117304,117570,0.904306
14.6,390000,855000,71,69,117304,119018,0.87758
14.7,825000,420000,80,61,116315,119018,0.904306
14.8,465000,795000,70,68,116315,118180,0.935809
14.9,810000,435000,74,65,115352,118180,0.916822
15,480000,765000,65,75,115352,119628,0.950207
15.1,780000,465000,68,70,115352,119628,0.939836
15.2,480000,765000,58,79,114373,118634,0.950207
15.3,675000,585000,69,67,114373,118634,0.994924
15.4,570000,675000,59,78,113333,117582,0.992937
15.5,570000,675000,77,60,113333,117582,0.992937
15.6,660000,585000,63,74,113581,116471,0.996384
15.7,495000,765000,77,59,113581,116471,0.956098
15.8,810000,435000,63,73,113581,116699,0.916822
15.9,375000,870000,75,61,112496,116699,0.8635
16,930000,315000,55,80,112496,116699,0.803851
16.1,375000,870000,64,71,112496,115468,0.8635
16.2,870000,390000,61,75,113944,115468,0.873267
16.3,345000,900000,64,70,113944,114236,0.834221
16.4,810000,435000,72,63,115392,114236,0.916822
16.5,420000,825000,73,65,116840,115684,0.904306
16.6,840000,420000,74,62,116840,114481,0.9
16.7,480000,765000,69,68,118288,114481,0.950207
16.8,720000,525000,75,63,117337,114481,0.976056
16.9,600000,645000,61,78,117337,115929,0.998695
17,615000,630000,77,62,116464,115929,0.999855
17.1,660000,600000,61,78,116464,117377,0.997738
17.2,525000,720000,79,60,116464,117377,0.976056
17.3,675000,570000,67,74,117912,118825,0.992937
17.4,510000,735000,79,60,117098,117893,0.968372
17.5,765000,495000,65,72,117098,117893,0.956098
17.6,420000,825000,79,60,117098,117893,0.904306
17.7,870000,375000,66,73,116251,119341,0.8635
17.8,375000,870000,74,64,116251,118375,0.8635
17.9,900000,345000,62,78,116779,118375,0.834221
18,405000,855000,66,72,116779,117403,0.886878
18.1,900000,345000,58,80,116779,117403,0.834221
18.2,390000,855000,59,79,115709,117403,0.87758
18.3,825000,420000,63,76,115709,117850,0.904306
18.4,390000,870000,65,73,114584,117850,0.873267
18.5,795000,450000,69,68,114584,117850,0.928687
18.6,375000,870000,72,65,113363,116686,0.8635
18.7,855000,390000,72,63,113363,116686,0.87758
18.8,465000,780000,66,70,113363,115477,0.939836
18.9,705000,555000,73,61,113655,115477,0.986026
19,630000,615000,57,77,113655,114225,0.999855
19.1,525000,720000,78,57,113655,114225,0.976056
19.2,690000,555000,66,71,115103,115673,0.988379
19.3,480000,780000,78,57,115103,115673,0.946352
19.4,780000,465000,71,66,116551,114479,0.939836
19.5,435000,810000,76,60,116551,114479,0.916822
19.6,885000,360000,65,73,117999,115927,0.849026
19.7,435000,810000,69,72,117999,115927,0.916822
19.8,885000,375000,61,80,119447,117375,0.85923
19.9,420000,825000,62,77,118501,117375,0.904306
