Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,660000,585000,32,35,65535,65535,0.996384
0.6,600000,645000,33,37,66983,66983,0.998695
0.7,570000,675000,38,35,68431,68431,0.992937
0.8,660000,585000,35,39,69879,69879,0.996384
0.9,615000,645000,39,37,71327,71327,0.999433
1,615000,630000,41,35,72775,71327,0.999855
1.1,615000,630000,40,38,72775,72775,0.999855
1.2,615000,630000,46,35,74223,74223,0.999855
1.3,735000,525000,36,45,75671,75671,0.972973
1.4,540000,705000,43,41,77119,77119,0.982739
1.5,630000,615000,40,45,78567,78567,0.999855
1.6,600000,645000,44,42,78567,78567,0.998695
1.7,615000,630000,50,39,80015,80015,0.999855
1.8,675000,585000,42,47,81463,81463,0.994924
1.9,600000,645000,47,45,82911,82911,0.998695
2,615000,630000,50,43,82911,82911,0.999855
2.1,600000,645000,53,41,84359,84359,0.998695
2.2,645000,615000,49,47,85807,85807,0.999433
2.3,615000,630000,51,45,87255,85807,0.999855
2.4,750000,495000,41,57,87255,87255,0.959738
2.5,600000,645000,46,55,88703,88703,0.998695
2.6,570000,675000,49,53,90151,90151,0.992937
2.7,675000,585000,48,54,90151,90151,0.994924
2.8,600000,645000,47,58,91599,91599,0.998695
2.9,585000,660000,53,53,93047,93047,0.996384
3,705000,540000,48,57,93047,93047,0.982739
3.1,600000,660000,49,60,94495,94495,0.997738
3.2,555000,690000,52,56,94495,94495,0.988379
3.3,765000,480000,44,65,95943,95943,0.950207
3.4,510000,735000,53,59,97391,97391,0.968372
3.5,645000,600000,56,57,97391,97391,0.998695
3.6,615000,645000,58,55,98839,98839,0.999433
3.7,600000,645000,55,61,100287,100287,0.998695
3.8,630000,615000,65,52,100287,100287,0.999855
3.9,675000,570000,53,65,101735,101735,0.992937
4,555000,705000,58,60,101735,101735,0.986026
4.1,705000,540000,56,65,103183,103183,0.982739
4.2,540000,705000,59,63,104631,104631,0.982739
4.3,660000,585000,65,56,104631,104631,0.996384
4.4,645000,600000,61,65,106079,106079,0.998695
4.5,660000,600000,57,67,106079,106079,0.997738
4.6,510000,735000,68,57,107527,107527,0.968372
4.7,630000,615000,71,56,108975,107527,0.999855
4.8,765000,480000,54,75,108975,108975,0.950207
4.9,495000,765000,64,65,110423,110423,0.956098
5,675000,570000,69,61,110423,110423,0.992937
5.1,570000,675000,66,67,111871,111871,0.992937
5.2,645000,600000,71,61,111871,111871,0.998695
5.3,690000,555000,62,73,113319,113319,0.988379
5.4,660000,600000,58,75,113319,113319,0.997738
5.5,510000,735000,69,67,114767,114767,0.968372
5.6,705000,540000,66,71,114767,114767,0.982739
5.7,540000,705000,75,64,116215,116215,0.982739
5.8,645000,615000,76,63,116215,116215,0.999433
5.9,660000,585000,65,71,111525,117663,0.996384
6,510000,735000,77,60,111525,117663,0.968372
6.1,765000,480000,57,81,112973,119111,0.950207
6.2,510000,735000,70,70,112973,119111,0.968372
6.3,720000,540000,62,79,116604,120559,0.98
6.4,495000,750000,65,70,110274,116550,0.959738
6.5,645000,600000,66,69,110274,116550,0.998695
6.6,585000,660000,64,70,111722,114392,0.996384
6.7,555000,705000,74,55,108121,112873,0.986026
6.8,660000,585000,62,68,108121,114321,0.996384
6.9,630000,615000,61,67,108121,111108,0.999855
7,645000,600000,59,69,109569,111108,0.998695
7.1,600000,645000,63,67,109569,111108,0.998695
7.2,585000,675000,70,61,111017,112556,0.994924
7.3,570000,675000,74,58,111017,112556,0.992937
7.4,765000,480000,58,73,109626,114004,0.950207
7.5,510000,735000,64,68,109626,114004,0.968372
7.6,630000,630000,68,65,109626,115452,1
7.7,600000,645000,65,66,111074,112908,0.998695
7.8,615000,630000,67,62,108680,112908,0.999855
7.9,645000,600000,64,67,108680,114356,0.998695
8,690000,555000,56,75,108680,111948,0.988379
8.1,540000,720000,63,69,110128,111948,0.98
8.2,570000,675000,72,58,110128,111948,0.992937
8.3,675000,570000,68,65,111576,113396,0.992937
8.4,585000,660000,69,65,111576,113396,0.996384
8.5,705000,555000,61,72,113024,111388,0.986026
8.6,525000,720000,64,66,111103,111388,0.976056
8.7,630000,615000,72,60,111103,112836,0.999855
8.8,630000,615000,69,62,112551,111037,0.999855
8.9,675000,570000,66,66,112551,111037,0.992937
9,630000,630000,67,66,113999,112485,1
9.1,660000,585000,61,71,113999,112485,0.996384
9.2,585000,660000,65,70,115447,113933,0.996384
9.3,570000,675000,74,59,113893,113933,0.992937
9.4,675000,585000,71,64,113893,115381,0.994924
9.5,615000,630000,70,66,113893,115381,0.999855
9.6,705000,540000,64,74,115341,116829,0.982739
9.7,600000,645000,62,75,115341,116829,0.998695
9.8,630000,615000,63,75,116789,115443,0.999855
9.9,540000,720000,70,67,115453,115443,0.98
10,645000,600000,70,66,115453,116891,0.998695
10.1,615000,630000,72,64,114169,116891,0.999855
10.2,585000,660000,75,60,114169,117141,0.996384
10.3,645000,615000,67,69,112933,117141,0.999433
10.4,660000,585000,65,70,112933,117141,0.996384
10.5,555000,690000,67,70,114381,115984,0.988379
10.6,720000,525000,57,79,113203,115984,0.976056
10.7,570000,675000,64,73,113203,117432,0.992937
10.8,585000,675000,67,68,113203,117432,0.994924
10.9,585000,660000,65,71,114651,116369,0.996384
11,570000,675000,79,58,114651,116369,0.992937
11.1,645000,600000,73,66,116099,117817,0.998695
11.2,675000,585000,71,69,116099,117817,0.994924
11.3,630000,615000,70,70,117547,119265,0.999855
11.4,645000,600000,66,73,117547,118291,0.998695
11.5,615000,630000,66,72,116633,118291,0.999855
11.6,615000,630000,63,76,116633,118291,0.999855
11.7,645000,615000,63,77,118081,117308,0.999433
11.8,540000,705000,69,71,117130,117308,0.982739
11.9,660000,585000,67,71,117130,117786,0.996384
12,570000,675000,72,67,116159,117786,0.992937
12.1,615000,645000,75,64,116159,117786,0.999433
12.2,675000,570000,70,67,115187,116713,0.992937
12.3,540000,705000,77,61,115187,116713,0.982739
12.4,630000,615000,70,66,115187,115484,0.999855
12.5,660000,585000,69,66,114112,115484,0.996384
12.6,570000,690000,70,63,114112,115484,0.991011
12.7,735000,510000,61,75,115560,115690,0.968372
12.8,555000,690000,66,69,114418,115690,0.988379
12.9,630000,615000,68,69,114418,114493,0.999855
13,630000,630000,63,73,115866,114493,1
13.1,600000,645000,74,61,115866,113337,0.998695
13.2,645000,600000,70,68,117314,113337,0.998695
13.3,690000,555000,66,69,117314,113337,0.988379
13.4,630000,615000,71,69,117742,114785,0.999855
13.5,615000,645000,66,70,117742,114785,0.999433
13.6,705000,540000,63,73,117742,113790,0.982739
13.7,510000,735000,73,62,116811,113790,0.968372
13.8,720000,525000,65,72,116811,115238,0.976056
13.9,585000,675000,72,65,116811,115238,0.994924
14,600000,645000,76,63,118259,116686,0.998695
14.1,585000,660000,73,64,118259,115753,0.996384
14.2,675000,570000,77,62,118789,115753,0.992937
14.3,540000,705000,79,61,118789,115753,0.982739
14.4,795000,465000,68,71,118789,117201,0.935809
14.5,480000,765000,76,62,117889,117201,0.950207
14.6,795000,450000,63,77,117889,117782,0.928687
14.7,480000,765000,70,68,116726,117782,0.950207
14.8,735000,525000,65,73,116726,117782,0.972973
14.9,570000,675000,60,76,115517,116893,0.992937
15,630000,615000,70,67,115517,116893,0.999855
15.1,630000,615000,59,77,115517,115981,0.999855
15.2,660000,585000,69,69,115656,115981,0.996384
15.3,555000,705000,67,71,115656,116434,0.986026
15.4,705000,540000,63,73,115656,116434,0.982739
15.5,615000,630000,65,71,117104,115378,0.999855
15.6,570000,675000,72,66,117104,115378,0.992937
15.7,675000,585000,67,72,118552,115378,0.994924
15.8,570000,675000,76,60,118552,114267,0.992937
15.9,615000,630000,75,63,120000,114267,0.999855
16,615000,630000,76,63,118918,114267,0.999855
16.1,600000,645000,82,58,118918,115715,0.998695
16.2,630000,630000,76,62,118918,115715,1
16.3,705000,540000,76,66,120366,117163,0.982739
16.4,525000,720000,83,58,120366,116150,0.976056
16.5,765000,480000,70,68,119328,116150,0.950207
16.6,480000,780000,80,58,119328,115120,0.946352
16.7,840000,405000,63,75,119712,115120,0.891203
16.8,480000,765000,73,65,119712,115120,0.950207
16.9,795000,450000,61,75,118591,113841,0.928687
17,525000,720000,65,73,118591,115289,0.976056
17.1,720000,540000,68,70,117370,115289,0.98
17.2,615000,630000,60,77,117370,113952,0.999855
17.3,705000,540000,67,70,117370,113952,0.982739
17.4,570000,675000,63,72,116067,112540,0.992937
17.5,705000,555000,66,70,116067,112540,0.986026
17.6,630000,615000,66,71,117515,113988,0.999855
17.7,600000,645000,71,66,116201,113988,0.998695
17.8,600000,645000,69,66,116201,112581,0.998695
17.9,615000,630000,76,60,116201,112581,0.999855
18,570000,690000,79,57,114938,114029,0.991011
18.1,630000,615000,75,61,114938,114029,0.999855
18.2,645000,600000,73,63,116386,115477,0.998695
18.3,540000,705000,80,58,116386,115477,0.982739
18.4,780000,480000,64,73,116665,116925,0.946352
18.5,510000,735000,74,63,116665,115733,0.968372
18.6,795000,450000,59,79,116665,115733,0.928687
18.7,510000,735000,66,70,115559,115733,0.968372
18.8,735000,510000,63,76,115559,117181,0.968372
18.9,585000,675000,58,80,115559,118629,0.994924
19,660000,585000,67,73,115921,118629,0.996384
19.1,540000,705000,65,74,115921,117591,0.982739
19.2,735000,510000,67,72,115921,117591,0.968372
19.3,570000,690000,65,74,115921,116581,0.991011
19.4,645000,600000,68,70,117369,116581,0.998695
19.5,615000,630000,67,71,116391,116581,0.999855
19.6,630000,615000,67,71,116391,118029,0.999855
19.7,570000,675000,71,70,117839,117051,0.992937
19.8,645000,615000,72,64,116934,117051,0.999433
19.9,555000,690000,76,63,116934,116054,0.988379
