Time,Flow1_Dctcp_Bps,Flow2_Dctcp_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
0.4,601080,511080,24,30,53576,53576,0.993494
0.5,660000,585000,32,35,65535,65535,0.996384
0.6,600000,645000,33,37,66983,66983,0.998695
0.7,570000,675000,38,35,68431,68431,0.992937
0.8,660000,585000,35,39,69879,69879,0.996384
0.9,615000,645000,39,37,71327,71327,0.999433
1,615000,630000,41,35,72775,71327,0.999855
1.1,615000,630000,40,38,72775,72775,0.999855
1.2,615000,630000,46,35,74223,74223,0.999855
1.3,735000,525000,36,45,75671,75671,0.972973
1.4,540000,705000,43,41,77119,77119,0.982739
1.5,630000,615000,40,45,78567,78567,0.999855
1.6,600000,645000,44,42,78567,78567,0.998695
1.7,615000,630000,50,39,80015,80015,0.999855
1.8,675000,585000,42,47,81463,81463,0.994924
1.9,600000,645000,47,45,82911,82911,0.998695
2,615000,630000,50,43,82911,82911,0.999855
2.1,600000,645000,53,41,84359,84359,0.998695
2.2,645000,615000,49,47,85807,85807,0.999433
2.3,615000,630000,51,45,87255,85807,0.999855
2.4,750000,495000,41,57,87255,87255,0.959738
2.5,600000,645000,46,55,88703,88703,0.998695
2.6,570000,675000,49,53,90151,90151,0.992937
2.7,675000,585000,48,54,90151,90151,0.994924
2.8,600000,645000,47,58,91599,91599,0.998695
2.9,585000,660000,53,53,93047,93047,0.996384
3,705000,540000,48,57,93047,93047,0.982739
3.1,600000,660000,49,60,94495,94495,0.997738
3.2,555000,690000,52,56,94495,94495,0.988379
3.3,765000,480000,44,65,95943,95943,0.950207
3.4,510000,735000,53,59,97391,97391,0.968372
3.5,645000,600000,56,57,97391,97391,0.998695
3.6,615000,645000,58,55,98839,98839,0.999433
3.7,600000,645000,55,61,100287,100287,0.998695
3.8,630000,615000,65,52,100287,100287,0.999855
3.9,675000,570000,53,65,101735,101735,0.992937
4,555000,705000,58,60,101735,101735,0.986026
4.1,705000,540000,56,65,103183,103183,0.982739
4.2,540000,705000,59,63,104631,104631,0.982739
4.3,660000,585000,65,56,104631,104631,0.996384
4.4,645000,600000,61,65,106079,106079,0.998695
4.5,660000,600000,57,67,106079,106079,0.997738
4.6,510000,735000,68,57,107527,107527,0.968372
4.7,630000,615000,71,56,108975,107527,0.999855
4.8,765000,480000,54,75,108975,108975,0.950207
4.9,495000,765000,64,65,110423,110423,0.956098
5,675000,570000,69,61,110423,110423,0.992937
5.1,570000,675000,66,67,111871,111871,0.992937
5.2,645000,600000,71,61,111871,111871,0.998695
5.3,690000,555000,62,73,113319,113319,0.988379
5.4,660000,600000,58,75,113319,113319,0.997738
5.5,510000,735000,69,67,114767,114767,0.968372
5.6,705000,540000,66,71,114767,114767,0.982739
5.7,540000,705000,75,64,116215,118334,0.982739
5.8,645000,615000,76,58,116215,111213,0.999433
5.9,660000,585000,69,66,117663,111213,0.996384
6,600000,645000,77,57,117663,111213,0.998695
6.1,750000,495000,56,77,113211,112661,0.959738
6.2,540000,705000,68,66,113211,112661,0.982739
6.3,660000,600000,67,64,114659,108626,0.997738
6.4,645000,600000,68,64,116107,108626,0.998695
6.5,615000,630000,73,60,116107,110074,0.999855
6.6,615000,630000,69,65,117555,111522,0.999855
6.7,750000,510000,62,73,117555,111522,0.964989
6.8,600000,645000,69,69,119657,112970,0.998695
6.9,690000,555000,59,74,114082,112970,0.988379
7,465000,780000,71,66,115530,114418,0.939836
7.1,690000,555000,73,60,115530,111214,0.988379
7.2,570000,690000,74,60,116978,111214,0.991011
7.3,675000,570000,73,58,114091,111214,0.992937
7.4,675000,570000,62,71,114091,112662,0.992937
7.5,675000,570000,61,72,114091,112662,0.992937
7.6,585000,675000,65,68,115539,111395,0.994924
7.7,615000,630000,67,64,112990,111395,0.999855
7.8,645000,600000,70,62,112990,111395,0.998695
7.9,630000,615000,71,63,114438,111395,0.999855
8,720000,525000,61,74,114438,110590,0.976056
8.1,555000,705000,69,65,115886,110590,0.986026
8.2,690000,555000,67,68,115886,110590,0.988379
8.3,525000,720000,73,60,117334,108432,0.976056
8.4,660000,585000,79,55,117334,108432,0.996384
8.5,645000,615000,75,59,118782,109880,0.999433
8.6,705000,540000,70,63,116808,109880,0.982739
8.7,660000,585000,64,70,116808,111328,0.996384
8.8,705000,540000,58,76,114943,111328,0.982739
8.9,555000,690000,65,71,114943,112776,0.988379
9,645000,615000,68,65,114943,110995,0.999433
9.1,600000,645000,70,62,114714,110995,0.998695
9.2,690000,555000,72,62,114714,110995,0.988379
9.3,660000,585000,62,71,114714,112443,0.996384
9.4,570000,690000,71,66,116162,113891,0.991011
9.5,660000,585000,67,68,116162,112368,0.996384
9.6,585000,660000,71,64,117610,112368,0.996384
9.7,600000,645000,78,57,117610,112368,0.998695
9.8,600000,645000,75,61,119058,110914,0.998695
9.9,750000,510000,71,63,119058,110914,0.964989
10,630000,615000,72,66,120506,112362,0.999855
10.1,735000,510000,63,74,120506,112362,0.968372
10.2,615000,630000,66,74,121954,113810,0.999855
10.3,735000,525000,62,77,121954,113810,0.972973
10.4,555000,690000,66,75,123402,114025,0.988379
10.5,780000,465000,64,77,123402,114025,0.939836
10.6,480000,765000,70,71,123745,114025,0.950207
10.7,795000,450000,69,72,123745,112836,0.928687
10.8,480000,780000,75,66,123745,112836,0.946352
10.9,780000,465000,74,65,122628,111645,0.939836
11,555000,690000,73,65,122628,111645,0.988379
11.1,705000,540000,80,60,124076,111645,0.982739
11.2,675000,585000,68,70,122927,110455,0.994924
11.3,630000,615000,79,58,122927,110455,0.999855
11.4,690000,555000,65,72,122927,109131,0.988379
11.5,615000,630000,74,62,121774,109131,0.999855
11.6,645000,600000,73,65,121774,109208,0.998695
11.7,630000,630000,76,60,120619,109208,1
11.8,600000,645000,80,53,120619,107854,0.998695
11.9,630000,615000,76,57,119375,107854,0.999855
12,735000,510000,71,62,119375,107854,0.968372
12.1,660000,600000,72,63,120823,106597,0.997738
12.2,735000,510000,60,73,119556,106597,0.968372
12.3,660000,585000,59,73,119556,108045,0.996384
12.4,735000,510000,60,73,119556,108045,0.968372
12.5,495000,750000,74,63,121004,108328,0.959738
12.6,795000,465000,68,66,119875,108328,0.935809
12.7,585000,660000,71,62,119875,108328,0.996384
12.8,645000,600000,77,56,119875,108328,0.998695
12.9,675000,570000,66,71,121323,109776,0.992937
13,645000,615000,77,60,122771,109776,0.999433
13.1,585000,660000,76,62,122771,111224,0.996384
13.2,660000,585000,79,61,124219,110270,0.996384
13.3,600000,645000,83,55,124219,110270,0.998695
13.4,675000,570000,79,63,125667,111718,0.992937
13.5,675000,585000,80,60,124722,111718,0.994924
13.6,615000,630000,83,60,124722,113166,0.999855
13.7,735000,510000,75,67,124722,113166,0.968372
13.8,585000,660000,83,58,126170,112326,0.996384
13.9,765000,495000,71,71,126170,112326,0.956098
14,600000,645000,76,63,125347,111328,0.998695
14.1,750000,495000,66,74,125347,111328,0.959738
14.2,630000,615000,68,70,124375,110275,0.999855
14.3,720000,525000,64,75,124375,110275,0.976056
14.4,645000,615000,63,75,124699,109089,0.999433
14.5,720000,525000,66,73,124699,109089,0.976056
14.6,585000,660000,68,70,124699,109219,0.996384
14.7,690000,555000,71,65,123490,109219,0.988379
14.8,585000,675000,75,63,123490,109219,0.994924
14.9,780000,465000,72,63,122160,107788,0.939836
15,600000,645000,73,63,122160,107788,0.998695
15.1,765000,480000,70,66,120757,107788,0.950207
15.2,585000,660000,67,69,120757,107560,0.996384
15.3,645000,615000,74,61,120757,107560,0.999433
15.4,600000,645000,75,60,120757,107560,0.998695
15.5,690000,555000,80,55,120757,107560,0.988379
15.6,570000,675000,82,54,120757,109008,0.992937
15.7,660000,600000,81,54,122205,107591,0.997738
15.8,720000,525000,74,63,122205,107591,0.976056
15.9,660000,585000,75,62,123653,109039,0.996384
16,735000,510000,66,72,123653,109039,0.968372
16.1,645000,600000,69,73,125101,110487,0.998695
16.2,750000,510000,64,76,123918,110487,0.964989
16.3,600000,645000,64,74,123918,111935,0.998695
16.4,660000,585000,69,70,122774,110772,0.996384
16.5,585000,660000,72,66,122774,110772,0.996384
16.6,720000,540000,72,66,122774,110772,0.98
16.7,615000,630000,74,63,121735,109604,0.999855
16.8,750000,495000,72,66,121735,109604,0.959738
16.9,615000,630000,72,68,123183,111052,0.999855
17,765000,480000,65,75,123183,111052,0.950207
17.1,570000,690000,68,73,124631,112500,0.991011
17.2,705000,540000,72,69,124631,111402,0.982739
17.3,570000,675000,69,69,123638,111402,0.992937
17.4,705000,540000,74,64,123638,111402,0.982739
17.5,540000,720000,78,62,124065,111639,0.98
17.6,750000,495000,81,60,124065,111639,0.959738
17.7,495000,750000,85,55,124065,110429,0.959738
17.8,780000,465000,83,54,122757,110429,0.939836
17.9,555000,690000,80,58,122757,110429,0.988379
18,690000,570000,81,54,121333,109083,0.991011
18.1,705000,540000,69,67,121333,109083,0.982739
18.2,645000,600000,73,63,119849,110531,0.998695
18.3,735000,510000,61,75,119849,110531,0.968372
18.4,630000,630000,63,72,119849,110695,1
18.5,675000,570000,66,70,119873,110695,0.992937
18.6,555000,690000,69,67,119873,110695,0.988379
18.7,765000,480000,69,67,119873,110695,0.950207
18.8,540000,705000,74,63,121321,109537,0.982739
18.9,855000,405000,64,72,119985,109537,0.886878
19,525000,720000,65,69,119985,108417,0.976056
19.1,705000,540000,69,63,118701,108417,0.982739
19.2,540000,705000,69,65,118701,109865,0.982739
19.3,675000,585000,81,54,118701,109865,0.994924
19.4,555000,690000,81,55,120149,111313,0.988379
19.5,660000,585000,81,54,120149,110334,0.996384
19.6,705000,540000,73,65,121597,110334,0.982739
19.7,585000,660000,78,62,121597,111782,0.996384
19.8,795000,465000,64,75,123045,111782,0.935809
19.9,555000,690000,71,68,123045,113230,0.988379
