Time,Flow1_Cubic_Bps,Flow2_Cubic_Bps,Flow1_PktLoss,Flow2_PktLoss,Flow1_Cwnd,Flow2_Cwnd,JainsFairnessIndex
12.9,525680,723080,112,101,133216,133216,0.975621
13,631880,623400,109,104,133216,133216,0.999954
13.1,719720,530800,92,120,133216,133216,0.977686
13.2,520560,723080,102,109,133216,133216,0.974167
13.3,600480,650040,108,104,133216,133216,0.998432
13.4,605240,643520,117,94,133216,133216,0.999061
13.5,698200,547200,104,108,133216,133216,0.985512
13.6,643520,595360,98,114,133216,133216,0.998491
13.7,547200,702960,116,96,133216,133216,0.984714
13.8,643520,600480,110,104,133216,133216,0.998804
13.9,729600,525680,94,118,133216,133216,0.974289
14,525680,723080,112,101,133216,133216,0.975621
14.1,616880,623400,110,104,133216,133216,0.999972
14.2,723080,530800,93,120,133216,133216,0.977025
14.3,532200,708080,102,110,133216,133216,0.980287
14.4,588840,665040,109,104,133216,133216,0.99632
14.5,601880,643520,118,94,133216,133216,0.998883
14.6,701560,547200,105,108,133216,133216,0.98495
14.7,655160,595360,98,114,133216,133216,0.997718
14.8,547200,702960,116,96,133216,133216,0.984714
14.9,643520,600480,110,102,133216,133216,0.998804
15,729600,525680,94,118,133216,133216,0.974289
15.1,525680,708080,110,102,133216,133216,0.978611
15.2,616880,638400,110,102,133216,133216,0.999706
15.3,723080,530800,93,118,133216,133216,0.977025
15.4,532200,708080,102,110,133216,133216,0.980287
15.5,588840,665040,107,104,133216,133216,0.99632
15.6,601880,643520,118,94,133216,133216,0.998883
15.7,701560,547200,105,108,133216,133216,0.98495
15.8,655160,595360,98,114,133216,133216,0.997718
15.9,547200,702960,116,96,133216,133216,0.984714
16,643520,600480,110,102,133216,133216,0.998804
16.1,729600,514040,94,119,133216,133216,0.970833
16.2,525680,719720,110,102,133216,133216,0.9763
16.3,616880,638400,110,102,133216,133216,0.999706
16.4,708080,530800,94,118,133216,133216,0.979934
16.5,547200,708080,102,110,133216,133216,0.98384
16.6,573840,665040,108,104,133216,133216,0.99461
16.7,616880,643520,118,94,133216,133216,0.999553
16.8,686560,547200,106,106,133216,133216,0.987402
16.9,670160,583720,98,115,133216,133216,0.99527
17,547200,698200,116,98,133216,133216,0.985512
17.1,631880,616880,111,102,133216,133216,0.999856
17.2,741240,514040,94,119,133216,133216,0.96828
17.3,525680,719720,110,102,133216,133216,0.9763
17.4,605240,638400,111,102,133216,133216,0.99929
17.5,719720,530800,94,118,133216,133216,0.977686
17.6,547200,701560,102,109,133216,133216,0.98495
17.7,573840,671560,108,104,133216,133216,0.993881
17.8,600480,643520,118,94,133216,133216,0.998804
17.9,702960,547200,106,106,133216,133216,0.984714
18,670160,583720,98,115,133216,133216,0.99527
18.1,547200,698200,114,98,133216,133216,0.985512
18.2,631880,616880,111,102,133216,133216,0.999856
18.3,741240,499040,94,120,133216,133216,0.963267
18.4,525680,734720,110,102,133216,133216,0.973229
18.5,605240,638400,109,102,133216,133216,0.99929
18.6,719720,530800,94,118,133216,133216,0.977686
18.7,547200,686560,102,110,133216,133216,0.987402
18.8,573840,686560,108,104,133216,133216,0.992065
18.9,600480,643520,118,94,133216,133216,0.998804
19,702960,547200,106,106,133216,133216,0.984714
19.1,670160,568720,98,116,133216,133216,0.99334
19.2,547200,713200,114,98,133216,133216,0.98295
19.3,616880,616880,112,102,133216,133216,1
19.4,756240,499040,92,120,133216,133216,0.95971
19.5,525680,718320,108,104,133216,133216,0.976581
19.6,590240,654800,110,102,133216,133216,0.997318
19.7,718320,530800,96,118,133216,133216,0.97796
19.8,563600,686560,102,110,133216,133216,0.990419
19.9,567320,686560,109,104,133216,133216,0.991038
